EC,Weighted Score,Observed Freq,Reactions
1.14.13,392.0,8,R07509 R09865 R09921 R10026 R10057
1.14.14,45.0,,
1.14.11,34.5,,
1.14.99,29.4,1,R07654
1.14.15,25.5,,
1.14.-,18.9,,
1.17.4,11.6,,
1.14.18,10.9,,
1.17.1,9.7,,
1.14.16,9.0,,
1.14.12,7.7,,
1.17.99,6.0,,
1.7.1,5.9,,
1.5.99,3.0,,
1.1.1,2.8,,
1.1.4,2.7,,
1.10.99,2.7,,
1.3.99,2.0,,
1.97.1,2.0,,
1.10.3,2.0,,
1.13.11,2.0,,
1.17.2,2.0,,
1.6.6,1.9,,
2.6.3,1.9,,
1.14.17,1.8,,
1.7.2,1.5,,
1.17.3,1.5,,
1.7.3,1.5,,
3.7.1,1.0,,
1.3.7,1.0,,
1.14.20,1.0,,
1.1.-,1.0,,
1.8.99,1.0,,
1.4.-,1.0,,
1.-.-,1.0,,
1.17.7,1.0,,
4.1.99,1.0,,
1.1.99,0.9,,
1.17.-,0.9,,
1.13.12,0.8,,
3.8.1,0.8,,
2.1.1,0.5,,
1.5.1,0.5,,
3.5.99,0.3,,
