COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
153;;c352+c64+c5<=>c92+c66;
154;;c262+c262+c5<=>c353+c354;
155;;c293+c355+c18+c5<=>c294+c355+c44;
156;;c356+c14<=>c357+c61+c5;
157;;c358+c66<=>c359+c64+c5;
158;;c360+c361<=>c362+c363+c363+c5;
159;;c364+c66<=>c365+c64+c5;
160;;c366+c114<=>c367+c116+c5;
161;;c368<=>c369;
162;;c370+c371+c372+c11<=>c373+c374+c14+c14+c5;
163;;c296+c10+c5<=>c297+c13;
164;;c375+c52<=>c376+c53+c5;
165;;c377+c378+c262+c379+c379+c68<=>c119+c380+c380+c70+c70;
166;;c381+c70<=>c382+c68+c5;
167;;c383+c10+c5+c5+c5<=>c384+c13;
168;;c385<=>c320;
169;;c386+c371+c372+c11<=>c387+c374+c14+c14;
170;;c388+c5<=>c389+c19;
171;;c390+c70<=>c391+c68+c5;
172;;c392+c393<=>c394;
173;;c395+c7<=>c396+c4+c5;
174;;c397+c25+c25+c11+c11<=>c398+c27+c27+c19+c14+c14+c14+c5+c5;
175;;c399<=>c400;
176;;c401+c116+c5<=>c402+c11;
177;;c403+c66<=>c404+c64+c5;
178;;c405+c10<=>c406+c13;
179;;c407+c11<=>c408+c5;
180;;c409+c380+c380+c11+c5+c5<=>c410+c379+c379+c14;
181;;c411+c179+c44<=>c412+c73+c177+c14;
182;;c413+c19+c19+c19+c116+c116+c116+c116<=>c414+c124+c124+c124+c5+c5+c5;
183;;c415+c118<=>c416+c14;
184;;c300+c139+c44<=>c417+c301+c52;
185;;c418+c116<=>c419+c114;
186;;c420+c380+c380+c19+c5<=>c421+c379+c379+c116;
187;;c316+c52<=>c252+c53+c5;
188;;c386+c371+c372+c11<=>c422+c374+c14+c14;
189;;c423+c98+c5<=>c424+c44;
190;;c247+c126<=>c425+c128;
191;;c426+c64+c5<=>c142+c66;
192;;c427+c136+c136+c11+c5+c5<=>c428+c138+c138+c14+c14;
193;;c429+c430<=>c431+c432;
194;;c433+c434+c5<=>c435+c14;
195;;c436+c437+c66+c14<=>c438+c64+c11+c5;
196;;c439+c18<=>c440+c110;
197;;c441+c13<=>c442+c10+c5;
198;;c443+c13+c116<=>c326+c114+c10+c5;
199;;c444+c13<=>c141+c10+c5;
200;;c445+c61+c5<=>c446+c14;
201;;c447+c448<=>c449+c450;
202;;c451+c393<=>c452+c155;
203;;c453+c5<=>c454;
