MetaCyc Rxn	Euclidean distance to query
UDPGLUCEPIM-RXN_f	0.0
UDPGLUCEPIM-RXN_r	0.0
5.1.1.17-RXN_f	0.0
5.1.1.17-RXN_r	0.0
3.4.24.75-RXN	0.0
RXN-9141	0.0
RXN-9797_f	0.0
RXN-9797_r	0.0
3.1.4.43-RXN	0.0
RXN-14178_f	0.0
RXN-14178_r	0.0
RXN-20681_f	0.0
RXN-20681_r	0.0
HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN	0.0
DTDPDEHYDRHAMEPIM-RXN	0.0
THROMBOXANE-A-SYNTHASE-RXN	0.0
RXN-14816_f	0.0
RXN-14816_r	0.0
PROSTAGLANDIN-D-SYNTHASE-RXN	0.0
RXN-14761	0.0
RXN-18190_f	0.0
RXN-18190_r	0.0
RXN-9985	0.0
5.1.99.4-RXN_f	0.0
5.1.99.4-RXN_r	0.0
GLUTRACE-RXN_f	0.0
GLUTRACE-RXN_r	0.0
RXN-14459_f	0.0
RXN-14459_r	0.0
RXN-12065	0.0
RXN66-504	0.0
RXN-4286_f	0.0
RXN-4286_r	0.0
RXN-18185	0.0
MALEYLACETOACETATE-ISOMERASE-RXN	0.0
RXN-17843	0.0
3.1.1.76-RXN	0.0
RXN-12134	0.0
RXNQT-4164	0.0
HYDROXY-MANDELATE-RACEMASE-RXN	0.0
MYO-INOSOSE-2-DEHYDRATASE-RXN	0.0
RXN-8269	0.0
ALDOSE1EPIM-RXN_f	0.0
ALDOSE1EPIM-RXN_r	0.0
RIBULP3EPIM-RXN_f	0.0
RIBULP3EPIM-RXN_r	0.0
ALLANTOIN-RACEMASE-RXN_f	0.0
ALLANTOIN-RACEMASE-RXN_r	0.0
TRANS-RXN0-279	0.0
RXN-11354_f	0.0
RXN-11354_r	0.0
GALACTUROISOM-RXN_f	0.0
GALACTUROISOM-RXN_r	0.0
RXN-14364_f	0.0
RXN-14364_r	0.0
RXN-10381	0.0
RXN-8042	0.0
NUCLEOSIDE-DEOXYRIBOSYLTRANSFERASE-RXN	0.0
UDP-GLUCURONATE-4-EPIMERASE-RXN_f	0.0
UDP-GLUCURONATE-4-EPIMERASE-RXN_r	0.0
RXN-9845_f	0.0
RXN-9845_r	0.0
RXN-7771	0.0
RXN-17080_f	0.0
RXN-17080_r	0.0
RXN66-25_f	0.0
RXN66-25_r	0.0
4.2.1.99-RXN_f	0.0
4.2.1.99-RXN_r	0.0
RXN-15226	0.0
RXN-11993	0.0
5.1.1.15-RXN_f	0.0
