Reaction ID,BridgIT
R09385,1.14.13.239;1.13.11.48;1.13.12.23;1.13.99.1
R11842,2.5.1.41;1.3.1.96;2.4.1.269;2.4.2.34;2.1.3.12;4.4.1.20
R00430,2.7.7.96;2.7.1.40;2.7.3.3;2.7.14.1;2.7.2.2;6.3.5.5;2.7.11.7;2.7.4.26;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.28;2.7.99.1
R00764,
R09739,
R03396,
R09637,
R07276,2.6.1.79;2.6.99.2;2.7.8.29
R09299,
R05277,
R02243,4.1.1.11;4.1.3.16;4.1.2.18;4.2.1.155;1.3.8.6;1.1.1.381;2.1.2.11;4.1.99.2;4.2.99.21;3.1.1.82
R12274,3.3.2.10;1.14.14.1;3.1.1.35;2.5.1.18;4.2.1.139;3.7.1.8;3.1.2.25;3.2.1.21;2.3.1.85;3.3.1.1;3.2.2.3;2.1.1.246
R07813,
R05231,
R09518,
R02517,1.14.13.236;1.14.14.9;1.14.15.3;1.14.18.1;1.14.12.9;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.2;1.14.11.28;1.10.3.4;1.14.19.17
R05163,2.3.1.215;6.2.1.1;2.1.3.12;6.1.2.2;2.3.3.9;2.3.2.19;2.1.2.13;1.2.1.95;6.3.4.10;6.3.1.20
R01899,
R04478,3.1.1.44;3.11.1.2;3.6.1.7;3.1.2.16;3.1.3.1;2.3.1.85;4.2.1.155;3.1.4.13;3.7.1.8;4.2.3.1;3.2.1.175;3.1.6.17;3.1.7.6;3.1.5.1;2.4.1.17;4.6.1.13;5.1.3.14
R12898,
R11100,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239
R12314,3.1.3.10;3.1.1.93;3.1.4.49;3.2.1.175;2.4.1.17;3.1.6.3;5.1.3.14;3.6.1.57;3.1.2.5;4.2.3.1;4.6.1.13;2.3.1.85;3.1.5.1;3.1.7.2;4.2.1.155;3.11.1.3;3.7.1.8
R06447,
R04812,
R10732,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
R00424,
R10549,
R08603,1.14.18.5;1.14.11.17;1.14.15.18;1.14.19.17;1.10.3.3;1.14.13.181;1.14.12.25;1.14.14.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.7
R07673,2.4.2.22;2.4.1.118;2.4.99.18
R02718,
R11881,
R12866,
R10292,2.4.1.238;2.4.2.34;2.4.99.18
R10469,
R00710,
R09251,
R03898,1.11.1.21
R08237,2.4.2.14;2.4.1.35;2.4.99.18
R12683,3.3.2.9;4.2.1.139;2.5.1.18;3.2.1.31;3.1.1.1;3.2.2.1;1.14.14.1;3.1.2.32;3.7.1.8;2.3.1.85;3.3.1.1;2.1.1.246
R02227,2.7.1.87;2.7.7.96;2.7.11.7;2.7.2.13;2.7.3.3;2.7.14.1;6.3.5.5;2.7.4.2;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.44;2.7.99.1
R13189,2.1.1.72;2.1.2.3;2.1.3.2;2.3.1.101;2.8.4.4
