Reaction ID,BridgIT
R03681,2.4.1.186;2.4.2.40;2.4.99.18
R02297,2.4.2.1;2.4.1.118;2.4.99.18
R11326,
R10782,3.1.7.2;3.1.3.7;3.1.4.52;3.6.1.20;3.1.5.1;4.6.1.13;3.2.1.184;2.4.1.17;5.1.3.14;3.1.1.31;4.2.3.1;3.1.6.9;3.1.2.30;4.2.1.155;3.11.1.3;3.7.1.8;2.3.1.85
R09764,
R10443,3.6.1.5;3.6.5.1;3.6.3.55;3.6.4.1;3.1.3.81
R13248,
R12867,
R13043,
R05222,2.7.6.5;2.7.7.96;2.7.1.86;2.7.8.44;2.7.4.8;2.7.2.8;2.7.14.1;2.7.3.3;2.7.11.7;2.7.10.1;2.7.12.1;6.3.5.5;2.7.99.1
R12023,
R13273,
R08190,3.1.2.2;4.2.1.155;2.3.1.85;3.1.1.85;3.1.3.4;3.1.6.3;4.2.3.1;3.6.1.7;3.11.1.3;3.1.4.46;3.2.1.175;3.1.7.3;3.1.5.1;3.7.1.8;2.4.1.17;4.6.1.13;5.1.3.14
R09563,
R09086,2.7.1.212;2.7.8.4;2.7.6.1;2.7.7.46;2.7.2.7;6.3.5.5;2.7.3.8;2.7.11.2;2.7.4.26;2.7.14.1;2.7.99.1;2.7.10.1;2.7.12.1
R05297,1.11.1.21
R00842,
R11045,
R00821,4.1.1.46;4.1.2.38;1.3.8.6;4.2.99.21;4.2.1.155;1.1.1.276;4.1.3.40;4.1.99.2;2.1.2.11;3.1.1.82
R01225,2.1.2.7;2.3.1.101;2.1.1.86;2.1.3.2;2.8.4.4
R11330,4.1.1.88;4.2.1.155;1.1.1.276;5.4.99.3;1.1.3.13;1.1.5.4;1.4.3.5;1.1.99.9;1.2.1.23;2.3.1.85;1.3.1.20;5.3.3.1;1.17.1.4
R12823,
R07405,1.13.99.1;1.14.13.128;1.13.12.1;1.13.11.47
R12817,
R09765,2.4.99.12;2.4.1.92;2.4.2.34
R10255,2.7.8.38;2.7.1.180;2.7.7.2;2.7.6.1;2.7.2.1;2.7.99.1;2.7.11.15;2.7.4.14;6.3.5.5;2.7.3.8;2.7.14.1;2.7.10.1;2.7.12.1
R03558,2.4.1.172;2.4.2.9;2.4.99.18
R01341,1.1.3.15;1.1.5.4;4.2.1.155;4.1.1.4;1.1.1.38;5.4.99.3;1.4.3.5;1.1.99.9;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1
R03291,
R01978,2.3.3.10;2.3.1.182;6.2.1.1;2.3.2.14;1.2.1.95;6.3.1.20;2.1.3.7;6.3.4.10;6.1.2.2;2.1.2.5
R08648,2.2.1.6;1.2.4.1;4.1.1.1
R08654,4.4.1.8;4.5.1.2
R03787,
R01776,2.3.1.31;6.2.1.1;2.3.3.9;6.1.2.2;2.3.2.30;1.2.1.95;2.1.3.12;6.3.1.20;6.3.4.10;2.1.2.13
R10840,5.5.1.1;2.5.1.119;4.2.99.12;4.3.1.17;4.2.1.2;4.1.1.88;2.3.1.85;1.1.1.276;4.2.3.3;3.5.1.110;1.2.1.31;1.4.1.18;1.3.8.6;3.5.5.4;1.1.3.47;3.7.1.21;3.2.1.22;2.7.8.23;3.1.7.9;3.3.1.1;1.14.13.109;1.17.98.2;4.3.3.3
R01519,1.14.18.5;1.14.15.16;1.14.11.28;1.14.19.29;1.10.3.1;1.14.13.185;1.14.14.1;1.14.12.10;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.7
R10452,2.1.1.278;2.8.4.4;2.1.3.3;2.3.1.32;2.1.2.13
R12261,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
R00182,3.2.2.4;3.2.1.170;4.3.3.5;3.1.1.93
R13159,2.4.1.309;2.4.99.9;2.4.2.35
R10819,3.2.1.22;3.1.1.93;3.2.2.19;4.3.3.5
R13266,2.3.1.179;2.3.2.30;6.2.1.51;2.3.3.10;1.2.1.95;6.3.1.20;6.3.4.10;6.1.2.2;2.1.3.5;2.1.2.5
R07640,2.7.8.34;2.7.6.5;2.7.7.96;2.7.1.86;2.7.4.21;2.7.2.3;2.7.11.7;2.7.3.3;2.7.14.1;6.3.5.5;2.7.10.1;2.7.12.1;2.7.99.1
R07751,1.1.1.320;1.2.1.85;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.3.46;5.4.99.3;4.1.1.3;1.1.99.9;1.4.3.5;1.1.5.4;4.2.1.155
R09679,
R09810,1.3.3.10;1.5.3.5;1.4.3.3;2.6.1.82;1.21.3.3;1.5.1.1;2.5.1.46
R13244,3.1.3.56;3.1.4.11;4.6.1.13;3.6.1.20;3.1.7.2;3.1.1.31;3.2.1.42;2.4.1.17;5.1.3.14;4.2.3.1;3.1.5.1;3.1.6.1;3.11.1.3;3.1.2.5;2.3.1.85;3.7.1.8;4.2.1.155
R05681,
R02679,
R04630,2.4.99.9;2.4.1.92;2.4.2.49
R08999,1.14.13.127;1.14.18.1;1.14.12.12;1.14.14.9;1.14.15.3;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.2;1.14.11.28;1.10.3.4;1.14.19.19
R09214,1.13.11.1;1.13.12.4;1.13.99.1;1.14.13.239
R12787,3.2.2.1;3.1.1.2;3.1.2.16;3.3.2.15;4.2.1.22;2.3.1.85;3.7.1.8;3.2.1.31;3.3.1.1;1.14.14.1;2.1.1.246;2.5.1.18
R10892,6.3.4.4;6.3.2.6;6.3.1.19;6.2.1.39;6.3.5.3;6.3.3.3;3.5.4.41;3.5.1.96;3.4.14.13;3.4.13.4;2.3.2.2;3.13.1.6;3.4.17.23;3.4.19.13;1.4.1.13;1.4.7.1;4.3.3.6;3.1.1.1;3.5.5.4;3.4.11.1;3.5.99.5;3.5.3.21
R01775,
R04216,2.1.3.2;2.1.2.13;2.1.1.300;2.3.1.32;2.8.4.4
R02762,
R02450,
R09227,1.14.12.7;1.14.13.227;1.14.15.3;1.14.14.1;1.14.18.1;1.2.3.9;1.14.99.2;1.14.21.11;1.14.11.40;1.14.16.4;1.10.3.4;1.14.19.17
R03718,2.3.1.65;2.3.3.17;6.2.1.11;2.3.2.30;6.3.4.10;6.3.1.20;1.2.1.95;2.1.3.2;2.1.2.5;6.1.2.2
R02406,
R05711,1.7.1.6;1.7.99.1;1.7.3.3
R11190,3.4.14.13;2.3.2.2;3.5.1.18;3.4.17.21;3.4.19.13;3.4.13.4;4.2.1.48;3.5.2.11;3.4.11.1;3.13.1.6;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.3.13;3.5.5.4;3.1.1.1;1.2.7.12;3.5.4.16;3.5.99.6;4.3.2.4;2.1.2.3;3.8.1.8
R06934,4.1.2.45;4.1.1.77;4.1.99.11;1.1.1.38;1.3.8.6;4.1.3.39;4.2.99.21;2.1.2.11;4.2.1.155;3.1.1.82
R00366,1.4.3.19;1.1.3.15;1.5.3.1;1.5.99.6;1.4.9.2;1.1.5.4;1.1.99.9;1.4.4.2;1.4.1.21;1.5.1.22
R04920,2.3.1.158;6.1.2.2;2.1.3.12;2.1.2.13;2.3.2.14;6.2.1.51;1.2.1.95;6.3.4.10;6.3.1.20;2.3.3.13
R02426,3.1.4.52;3.1.3.94;3.6.1.20;3.2.1.42;2.4.1.17;3.1.1.31;3.1.7.2;5.1.3.14;4.6.1.13;3.1.6.9;3.1.5.1;4.2.3.1;3.11.1.3;3.1.2.31;2.3.1.85;3.7.1.8;4.2.1.155
R04263,
R09760,2.4.1.92;2.4.2.34;2.5.1.7;2.1.3.12;1.3.1.96;4.4.1.20
