,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,NaN,P0AFI7,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Escherichia coli (strain K12) OX=83333,1.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,1.0,0.0,0.70711,NaN,-1,0.707107,42.6,13.9,22.8,28.7,25545.15,9.5982,50.000,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
2,NaN,P46883,Primary amine oxidase,Escherichia coli (strain K12) OX=83333,1.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,1.0,0.0,0.70711,NaN,-1,0.707107,31.0,26.6,19.0,25.5,84378.66,5.7133,45.178,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
3,NaN,C4ZYA1,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496,2.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,3.0,0.0,0.70711,NaN,-1,0.707107,42.6,13.9,22.8,28.7,25545.15,9.5982,50.000,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
4,NaN,B7M0J5,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Escherichia coli O8 (strain IAI1) OX=585034,3.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,3.0,0.0,0.70711,NaN,-1,0.707107,45.0,13.4,21.3,28.2,25559.18,9.5982,50.000,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
5,NaN,B7NB92,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC) OX=585056,3.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,3.0,0.0,0.70711,NaN,-1,0.707107,42.6,13.9,22.8,28.7,25545.15,9.5982,50.000,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
6,NaN,Q8FH87,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310,3.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,3.0,0.0,0.70711,NaN,-1,0.707107,43.6,13.4,23.3,27.7,25603.19,9.3362,50.459,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
7,NaN,Q0THJ0,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663,3.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,3.0,0.0,0.70711,NaN,-1,0.707107,43.6,13.4,23.3,27.7,25603.19,9.3362,50.459,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
8,NaN,B7L5J1,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Escherichia coli (strain 55989 / EAEC) OX=585055,3.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,3.0,0.0,0.70711,NaN,-1,0.707107,45.0,13.4,21.3,28.2,25559.18,9.5982,50.000,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
9,NaN,B7MVB6,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Escherichia coli O81 (strain ED1a) OX=585397,3.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,3.0,0.0,0.70711,NaN,-1,0.707107,43.6,13.4,23.3,27.7,25603.19,9.3362,50.459,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
10,NaN,B6IB77,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Escherichia coli (strain SE11) OX=409438,3.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,3.0,0.0,0.70711,NaN,-1,0.707107,45.0,13.4,21.3,28.2,25559.18,9.5982,50.000,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
11,NaN,B1LEP8,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Escherichia coli (strain SMS-3-5 / SECEC) OX=439855,3.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,3.0,0.0,0.70711,NaN,-1,0.707107,42.1,13.9,23.3,28.7,25531.12,9.5982,50.000,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
12,NaN,B7NTZ4,Pyridoxine/pyridoxamine 5'-phosphate oxidase,Escherichia coli O7:K1 (strain IAI39 / ExPEC) OX=585057,3.0,MNXR104952,-,1.4.3.21;1.4.3.22;1.4.3.4;1.4.3.5;1.4.3.6;1.5.3.17,3.0,0.0,0.70711,NaN,-1,0.707107,43.6,13.4,22.8,28.2,25545.15,9.5982,50.000,[NH3+]CCc1c[nH]c2ccccc12>>[H]O[H],O=O.[NH3+]CCc1c[nH]c2ccccc12>>[NH4+].O=CCc1c[nH]c2ccccc12.OO
