,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,52.120029,P21165,Xaa-Pro dipeptidase,Escherichia coli (strain K12) OX=83333,1.0,MNXR131515,MNXR130375_0.5728929180270029_0.47466841018139827|MNXR115443_0.5099359981627324_nan|MNXR131516_0.3843898484033567_0.6002169915231111|MNXR130374_0.46081222724947235_0.5156805875441491|MNXR131514_0.4748881212507983_0.4556171793829363|MNXR130376_0.4646105061633948_0.4581278568506518,3.4.13.9,1.0,0.0,0.54872,0.515681,1,0.532199,42.9,23.7,19.2,18.0,50176.17,5.8883,42.889,CC(C)C[C@H]([NH3+])C(=O)[O-].O=C([O-])[C@@H]1CCC[NH2+]1>>CC(C)CC(N)C(=O)N1CCCC1C(=O)O.[H]O[H],NC(CO)C(=O)N1CCCC1C(=O)O>>O=C([O-])[C@@H]1CCC[NH2+]1.[NH3+][C@@H](CO)C(=O)[O-]
2,50.920029,B1XAK9,Xaa-Pro dipeptidase,Escherichia coli (strain K12 / DH10B) OX=316385,2.0,MNXR131515,MNXR130375_0.5728929180270029_0.47466841018139827|MNXR115443_0.5099359981627324_nan|MNXR131516_0.3843898484033567_0.6002169915231111|MNXR130374_0.46081222724947235_0.5156805875441491|MNXR131514_0.4748881212507983_0.4556171793829363|MNXR130376_0.4646105061633948_0.4581278568506518,3.4.13.9,3.0,0.0,0.54872,0.515681,1,0.532199,42.9,23.7,19.2,18.0,50176.17,5.8883,42.889,CC(C)C[C@H]([NH3+])C(=O)[O-].O=C([O-])[C@@H]1CCC[NH2+]1>>CC(C)CC(N)C(=O)N1CCCC1C(=O)O.[H]O[H],NC(CO)C(=O)N1CCCC1C(=O)O>>O=C([O-])[C@@H]1CCC[NH2+]1.[NH3+][C@@H](CO)C(=O)[O-]
3,50.920029,C5A021,Xaa-Pro dipeptidase,Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496,2.0,MNXR131515,MNXR130375_0.5728929180270029_0.47466841018139827|MNXR115443_0.5099359981627324_nan|MNXR131516_0.3843898484033567_0.6002169915231111|MNXR130374_0.46081222724947235_0.5156805875441491|MNXR131514_0.4748881212507983_0.4556171793829363|MNXR130376_0.4646105061633948_0.4581278568506518,3.4.13.9,3.0,0.0,0.54872,0.515681,1,0.532199,42.9,23.7,19.2,18.0,50176.17,5.8883,42.889,CC(C)C[C@H]([NH3+])C(=O)[O-].O=C([O-])[C@@H]1CCC[NH2+]1>>CC(C)CC(N)C(=O)N1CCCC1C(=O)O.[H]O[H],NC(CO)C(=O)N1CCCC1C(=O)O>>O=C([O-])[C@@H]1CCC[NH2+]1.[NH3+][C@@H](CO)C(=O)[O-]
4,49.920029,Q1R465,Xaa-Pro dipeptidase,Escherichia coli (strain UTI89 / UPEC) OX=364106,3.0,MNXR131515,MNXR130375_0.5728929180270029_0.47466841018139827|MNXR115443_0.5099359981627324_nan|MNXR131516_0.3843898484033567_0.6002169915231111|MNXR130374_0.46081222724947235_0.5156805875441491|MNXR131514_0.4748881212507983_0.4556171793829363|MNXR130376_0.4646105061633948_0.4581278568506518,3.4.13.9,3.0,0.0,0.54872,0.515681,1,0.532199,42.6,23.7,19.2,18.3,50189.17,5.8883,42.889,CC(C)C[C@H]([NH3+])C(=O)[O-].O=C([O-])[C@@H]1CCC[NH2+]1>>CC(C)CC(N)C(=O)N1CCCC1C(=O)O.[H]O[H],NC(CO)C(=O)N1CCCC1C(=O)O>>O=C([O-])[C@@H]1CCC[NH2+]1.[NH3+][C@@H](CO)C(=O)[O-]
5,49.920029,B1IW60,Xaa-Pro dipeptidase,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks) OX=481805,3.0,MNXR131515,MNXR130375_0.5728929180270029_0.47466841018139827|MNXR115443_0.5099359981627324_nan|MNXR131516_0.3843898484033567_0.6002169915231111|MNXR130374_0.46081222724947235_0.5156805875441491|MNXR131514_0.4748881212507983_0.4556171793829363|MNXR130376_0.4646105061633948_0.4581278568506518,3.4.13.9,3.0,0.0,0.54872,0.515681,1,0.532199,42.9,23.7,19.2,18.0,50176.17,5.8883,42.889,CC(C)C[C@H]([NH3+])C(=O)[O-].O=C([O-])[C@@H]1CCC[NH2+]1>>CC(C)CC(N)C(=O)N1CCCC1C(=O)O.[H]O[H],NC(CO)C(=O)N1CCCC1C(=O)O>>O=C([O-])[C@@H]1CCC[NH2+]1.[NH3+][C@@H](CO)C(=O)[O-]
6,49.920029,B7NV19,Xaa-Pro dipeptidase,Escherichia coli O7:K1 (strain IAI39 / ExPEC) OX=585057,3.0,MNXR131515,MNXR130375_0.5728929180270029_0.47466841018139827|MNXR115443_0.5099359981627324_nan|MNXR131516_0.3843898484033567_0.6002169915231111|MNXR130374_0.46081222724947235_0.5156805875441491|MNXR131514_0.4748881212507983_0.4556171793829363|MNXR130376_0.4646105061633948_0.4581278568506518,3.4.13.9,3.0,0.0,0.54872,0.515681,1,0.532199,42.6,23.7,19.2,18.3,50162.15,5.8883,42.889,CC(C)C[C@H]([NH3+])C(=O)[O-].O=C([O-])[C@@H]1CCC[NH2+]1>>CC(C)CC(N)C(=O)N1CCCC1C(=O)O.[H]O[H],NC(CO)C(=O)N1CCCC1C(=O)O>>O=C([O-])[C@@H]1CCC[NH2+]1.[NH3+][C@@H](CO)C(=O)[O-]
7,49.920029,B7NFE8,Xaa-Pro dipeptidase,Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC) OX=585056,3.0,MNXR131515,MNXR130375_0.5728929180270029_0.47466841018139827|MNXR115443_0.5099359981627324_nan|MNXR131516_0.3843898484033567_0.6002169915231111|MNXR130374_0.46081222724947235_0.5156805875441491|MNXR131514_0.4748881212507983_0.4556171793829363|MNXR130376_0.4646105061633948_0.4581278568506518,3.4.13.9,3.0,0.0,0.54872,0.515681,1,0.532199,42.9,23.7,19.2,18.0,50176.17,5.8883,42.889,CC(C)C[C@H]([NH3+])C(=O)[O-].O=C([O-])[C@@H]1CCC[NH2+]1>>CC(C)CC(N)C(=O)N1CCCC1C(=O)O.[H]O[H],NC(CO)C(=O)N1CCCC1C(=O)O>>O=C([O-])[C@@H]1CCC[NH2+]1.[NH3+][C@@H](CO)C(=O)[O-]
8,49.920029,B7N2F3,Xaa-Pro dipeptidase,Escherichia coli O81 (strain ED1a) OX=585397,3.0,MNXR131515,MNXR130375_0.5728929180270029_0.47466841018139827|MNXR115443_0.5099359981627324_nan|MNXR131516_0.3843898484033567_0.6002169915231111|MNXR130374_0.46081222724947235_0.5156805875441491|MNXR131514_0.4748881212507983_0.4556171793829363|MNXR130376_0.4646105061633948_0.4581278568506518,3.4.13.9,3.0,0.0,0.54872,0.515681,1,0.532199,42.6,23.7,19.0,18.5,50217.19,5.8883,42.889,CC(C)C[C@H]([NH3+])C(=O)[O-].O=C([O-])[C@@H]1CCC[NH2+]1>>CC(C)CC(N)C(=O)N1CCCC1C(=O)O.[H]O[H],NC(CO)C(=O)N1CCCC1C(=O)O>>O=C([O-])[C@@H]1CCC[NH2+]1.[NH3+][C@@H](CO)C(=O)[O-]
9,49.920029,B6I4I7,Xaa-Pro dipeptidase,Escherichia coli (strain SE11) OX=409438,3.0,MNXR131515,MNXR130375_0.5728929180270029_0.47466841018139827|MNXR115443_0.5099359981627324_nan|MNXR131516_0.3843898484033567_0.6002169915231111|MNXR130374_0.46081222724947235_0.5156805875441491|MNXR131514_0.4748881212507983_0.4556171793829363|MNXR130376_0.4646105061633948_0.4581278568506518,3.4.13.9,3.0,0.0,0.54872,0.515681,1,0.532199,42.9,23.9,19.0,18.0,50183.16,5.7678,42.664,CC(C)C[C@H]([NH3+])C(=O)[O-].O=C([O-])[C@@H]1CCC[NH2+]1>>CC(C)CC(N)C(=O)N1CCCC1C(=O)O.[H]O[H],NC(CO)C(=O)N1CCCC1C(=O)O>>O=C([O-])[C@@H]1CCC[NH2+]1.[NH3+][C@@H](CO)C(=O)[O-]
10,49.920029,B7MHD2,Xaa-Pro dipeptidase,Escherichia coli O45:K1 (strain S88 / ExPEC) OX=585035,3.0,MNXR131515,MNXR130375_0.5728929180270029_0.47466841018139827|MNXR115443_0.5099359981627324_nan|MNXR131516_0.3843898484033567_0.6002169915231111|MNXR130374_0.46081222724947235_0.5156805875441491|MNXR131514_0.4748881212507983_0.4556171793829363|MNXR130376_0.4646105061633948_0.4581278568506518,3.4.13.9,3.0,0.0,0.54872,0.515681,1,0.532199,42.6,23.7,19.2,18.3,50189.17,5.8883,42.889,CC(C)C[C@H]([NH3+])C(=O)[O-].O=C([O-])[C@@H]1CCC[NH2+]1>>CC(C)CC(N)C(=O)N1CCCC1C(=O)O.[H]O[H],NC(CO)C(=O)N1CCCC1C(=O)O>>O=C([O-])[C@@H]1CCC[NH2+]1.[NH3+][C@@H](CO)C(=O)[O-]
