,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,NaN,P06720,Alpha-galactosidase,Escherichia coli (strain K12) OX=83333,1.0,MNXR146220,MNXR146221_0.7297287556617269_nan|MNXR173158_0.7297287556617269_nan,3.2.1;3.2.1.-;3.2.1.22,1.0,0.0,0.72973,NaN,0,0.729729,46.0,19.8,18.6,19.3,50657.07,5.6809,42.794,OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O>>OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
2,NaN,P16551,Alpha-galactosidase,Escherichia coli OX=562,2.0,MNXR146220,MNXR146221_0.7297287556617269_nan|MNXR173158_0.7297287556617269_nan,3.2.1;3.2.1.-;3.2.1.22,1.0,0.0,0.72973,NaN,0,0.729729,32.1,20.8,22.5,26.9,81188.39,6.6468,43.927,OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O>>OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
3,NaN,P30877,Alpha-galactosidase,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287,9.0,MNXR146220,MNXR146221_0.7297287556617269_nan|MNXR173158_0.7297287556617269_nan,3.2.1;3.2.1.-;3.2.1.22,3.0,0.0,0.72973,NaN,0,0.729729,46.0,20.5,17.2,20.0,50735.19,5.9660,43.016,OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O>>OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
4,NaN,B3PGJ1,Alpha-galactosidase A,Cellvibrio japonicus (strain Ueda107) OX=498211,11.0,MNXR146220,MNXR146221_0.7297287556617269_nan|MNXR173158_0.7297287556617269_nan,3.2.1;3.2.1.-;3.2.1.22,1.0,0.0,0.72973,NaN,0,0.729729,44.1,16.5,24.7,18.8,45899.92,6.3442,45.297,OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O>>OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
5,NaN,B1KD83,Alpha-1;3-galactosidase A,Shewanella woodyi (strain ATCC 51908 / MS32) OX=392500,11.0,MNXR146220,MNXR146221_0.7297287556617269_nan|MNXR173158_0.7297287556617269_nan,3.2.1;3.2.1.-;3.2.1.22,3.0,0.0,0.72973,NaN,0,0.729729,24.3,28.9,26.4,23.1,68216.33,7.4577,48.520,OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O>>OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
6,NaN,Q19AX0,NaN,Pseudoalteromonas sp.,11.0,MNXR146220,MNXR146221_0.7297287556617269_nan|MNXR173158_0.7297287556617269_nan,3.2.1;3.2.1.-;3.2.1.22,NaN,0.0,0.72973,NaN,0,0.729729,-,-,-,-,-,-,-,OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O>>OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
7,NaN,M4GRS1,NaN,Sphingomonas sp.,13.0,MNXR146220,MNXR146221_0.7297287556617269_nan|MNXR173158_0.7297287556617269_nan,3.2.1;3.2.1.-;3.2.1.22,NaN,0.0,0.72973,NaN,0,0.729729,-,-,-,-,-,-,-,OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O>>OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
8,NaN,Q9X4Y0,Alpha-galactosidase,Rhizobium meliloti (strain 1021) OX=266834,14.0,MNXR146220,MNXR146221_0.7297287556617269_nan|MNXR173158_0.7297287556617269_nan,3.2.1;3.2.1.-;3.2.1.22,3.0,0.0,0.72973,NaN,0,0.729729,46.8,21.7,15.0,19.8,54605.42,6.1170,43.265,OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O>>OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
9,NaN,Q2XQ11,NaN,Bifidobacterium breve,15.0,MNXR146220,MNXR146221_0.7297287556617269_nan|MNXR173158_0.7297287556617269_nan,3.2.1;3.2.1.-;3.2.1.22,NaN,0.0,0.72973,NaN,0,0.729729,-,-,-,-,-,-,-,OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O>>OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
10,NaN,Q9L905,NaN,Lactiplantibacillus plantarum,15.0,MNXR146220,MNXR146221_0.7297287556617269_nan|MNXR173158_0.7297287556617269_nan,3.2.1;3.2.1.-;3.2.1.22,NaN,0.0,0.72973,NaN,0,0.729729,-,-,-,-,-,-,-,OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O>>OC[C@H]1OC(O)C(O)C(O)C1O.OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)C(O)C1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
