,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,63.707034,Q18081,Putative UDP-glucuronosyltransferase ugt-48,Caenorhabditis elegans OX=6239,26.0,MNXR164290,MNXR154864_0.8173833720597601_0.9782406764848413|MNXR132597_0.7905694150420948_nan|MNXR118198_0.589592345179761_0.849315381150837|MNXR116407_0.5540369123362123_0.6726601337583239|MNXR116408_0.5527867583610254_0.6726601337583239|MNXR116417_0.5598835015109592_0.6628081227894506|MNXR116418_0.5586207363376654_0.6628081227894506|MNXR172964_0.5423501923580512_0.6432403054525653|MNXR134077_0.553012483881718_0.6228683380023086|MNXR134070_0.5446651981278698_0.6228683380023086|MNXR134125_0.5437229163564816_0.6228683380023086|MNXR116416_0.5584218037260622_0.6064129021163245|MNXR116419_0.5570284150318628_0.6064129021163245,2.4.1.17,1.0,0.0,0.81790,0.978241,-1,0.898070,42.9,22.7,16.9,20.6,59627.23,8.0680,46.008,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)[O-])c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)[O-])c2C)NC1=O
2,63.707034,Q10941,Putative UDP-glucuronosyltransferase ugt-46,Caenorhabditis elegans OX=6239,26.0,MNXR164290,MNXR154864_0.8173833720597601_0.9782406764848413|MNXR132597_0.7905694150420948_nan|MNXR118198_0.589592345179761_0.849315381150837|MNXR116407_0.5540369123362123_0.6726601337583239|MNXR116408_0.5527867583610254_0.6726601337583239|MNXR116417_0.5598835015109592_0.6628081227894506|MNXR116418_0.5586207363376654_0.6628081227894506|MNXR172964_0.5423501923580512_0.6432403054525653|MNXR134077_0.553012483881718_0.6228683380023086|MNXR134070_0.5446651981278698_0.6228683380023086|MNXR134125_0.5437229163564816_0.6228683380023086|MNXR116416_0.5584218037260622_0.6064129021163245|MNXR116419_0.5570284150318628_0.6064129021163245,2.4.1.17,1.0,0.0,0.81790,0.978241,-1,0.898070,42.5,22.1,18.8,19.6,60204.12,7.3064,46.704,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)[O-])c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)[O-])c2C)NC1=O
3,63.707034,Q22295,Putative UDP-glucuronosyltransferase ugt-50,Caenorhabditis elegans OX=6239,26.0,MNXR164290,MNXR154864_0.8173833720597601_0.9782406764848413|MNXR132597_0.7905694150420948_nan|MNXR118198_0.589592345179761_0.849315381150837|MNXR116407_0.5540369123362123_0.6726601337583239|MNXR116408_0.5527867583610254_0.6726601337583239|MNXR116417_0.5598835015109592_0.6628081227894506|MNXR116418_0.5586207363376654_0.6628081227894506|MNXR172964_0.5423501923580512_0.6432403054525653|MNXR134077_0.553012483881718_0.6228683380023086|MNXR134070_0.5446651981278698_0.6228683380023086|MNXR134125_0.5437229163564816_0.6228683380023086|MNXR116416_0.5584218037260622_0.6064129021163245|MNXR116419_0.5570284150318628_0.6064129021163245,2.4.1.17,1.0,0.0,0.81790,0.978241,-1,0.898070,45.0,29.0,14.0,15.2,60285.58,7.2006,46.463,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)[O-])c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)[O-])c2C)NC1=O
4,63.707034,Q21706,Putative UDP-glucuronosyltransferase ugt-47,Caenorhabditis elegans OX=6239,26.0,MNXR164290,MNXR154864_0.8173833720597601_0.9782406764848413|MNXR132597_0.7905694150420948_nan|MNXR118198_0.589592345179761_0.849315381150837|MNXR116407_0.5540369123362123_0.6726601337583239|MNXR116408_0.5527867583610254_0.6726601337583239|MNXR116417_0.5598835015109592_0.6628081227894506|MNXR116418_0.5586207363376654_0.6628081227894506|MNXR172964_0.5423501923580512_0.6432403054525653|MNXR134077_0.553012483881718_0.6228683380023086|MNXR134070_0.5446651981278698_0.6228683380023086|MNXR134125_0.5437229163564816_0.6228683380023086|MNXR116416_0.5584218037260622_0.6064129021163245|MNXR116419_0.5570284150318628_0.6064129021163245,2.4.1.17,1.0,0.0,0.81790,0.978241,-1,0.898070,39.8,25.4,18.3,19.6,61448.89,7.2104,44.216,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)[O-])c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)[O-])c2C)NC1=O
5,63.507034,P34317,Putative UDP-glucuronosyltransferase ugt-60,Caenorhabditis elegans OX=6239,26.0,MNXR164290,MNXR154864_0.8173833720597601_0.9782406764848413|MNXR132597_0.7905694150420948_nan|MNXR118198_0.589592345179761_0.849315381150837|MNXR116407_0.5540369123362123_0.6726601337583239|MNXR116408_0.5527867583610254_0.6726601337583239|MNXR116417_0.5598835015109592_0.6628081227894506|MNXR116418_0.5586207363376654_0.6628081227894506|MNXR172964_0.5423501923580512_0.6432403054525653|MNXR134077_0.553012483881718_0.6228683380023086|MNXR134070_0.5446651981278698_0.6228683380023086|MNXR134125_0.5437229163564816_0.6228683380023086|MNXR116416_0.5584218037260622_0.6064129021163245|MNXR116419_0.5570284150318628_0.6064129021163245,2.4.1.17,3.0,0.0,0.81790,0.978241,-1,0.898070,49.3,26.3,8.6,19.1,57727.27,7.4956,43.195,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)[O-])c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)[O-])c2C)NC1=O
6,63.507034,Q22181,Putative UDP-glucuronosyltransferase ugt-56,Caenorhabditis elegans OX=6239,26.0,MNXR164290,MNXR154864_0.8173833720597601_0.9782406764848413|MNXR132597_0.7905694150420948_nan|MNXR118198_0.589592345179761_0.849315381150837|MNXR116407_0.5540369123362123_0.6726601337583239|MNXR116408_0.5527867583610254_0.6726601337583239|MNXR116417_0.5598835015109592_0.6628081227894506|MNXR116418_0.5586207363376654_0.6628081227894506|MNXR172964_0.5423501923580512_0.6432403054525653|MNXR134077_0.553012483881718_0.6228683380023086|MNXR134070_0.5446651981278698_0.6228683380023086|MNXR134125_0.5437229163564816_0.6228683380023086|MNXR116416_0.5584218037260622_0.6064129021163245|MNXR116419_0.5570284150318628_0.6064129021163245,2.4.1.17,3.0,0.0,0.81790,0.978241,-1,0.898070,41.3,25.0,15.6,21.3,59283.73,8.2993,45.802,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)[O-])c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)[O-])c2C)NC1=O
7,63.507034,A8WLF6,Putative UDP-glucuronosyltransferase ugt-47,Caenorhabditis briggsae OX=6238,26.0,MNXR164290,MNXR154864_0.8173833720597601_0.9782406764848413|MNXR132597_0.7905694150420948_nan|MNXR118198_0.589592345179761_0.849315381150837|MNXR116407_0.5540369123362123_0.6726601337583239|MNXR116408_0.5527867583610254_0.6726601337583239|MNXR116417_0.5598835015109592_0.6628081227894506|MNXR116418_0.5586207363376654_0.6628081227894506|MNXR172964_0.5423501923580512_0.6432403054525653|MNXR134077_0.553012483881718_0.6228683380023086|MNXR134070_0.5446651981278698_0.6228683380023086|MNXR134125_0.5437229163564816_0.6228683380023086|MNXR116416_0.5584218037260622_0.6064129021163245|MNXR116419_0.5570284150318628_0.6064129021163245,2.4.1.17,3.0,0.0,0.81790,0.978241,-1,0.898070,35.2,25.8,19.0,23.1,60621.03,6.7939,43.097,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)[O-])c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)[O-])c2C)NC1=O
8,63.507034,Q20086,Putative UDP-glucuronosyltransferase ugt-58,Caenorhabditis elegans OX=6239,26.0,MNXR164290,MNXR154864_0.8173833720597601_0.9782406764848413|MNXR132597_0.7905694150420948_nan|MNXR118198_0.589592345179761_0.849315381150837|MNXR116407_0.5540369123362123_0.6726601337583239|MNXR116408_0.5527867583610254_0.6726601337583239|MNXR116417_0.5598835015109592_0.6628081227894506|MNXR116418_0.5586207363376654_0.6628081227894506|MNXR172964_0.5423501923580512_0.6432403054525653|MNXR134077_0.553012483881718_0.6228683380023086|MNXR134070_0.5446651981278698_0.6228683380023086|MNXR134125_0.5437229163564816_0.6228683380023086|MNXR116416_0.5584218037260622_0.6064129021163245|MNXR116419_0.5570284150318628_0.6064129021163245,2.4.1.17,3.0,0.0,0.81790,0.978241,-1,0.898070,27.5,31.5,21.9,22.2,61143.15,8.1329,44.653,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)[O-])c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)[O-])c2C)NC1=O
9,63.507034,Q22180,Putative UDP-glucuronosyltransferase ugt-55,Caenorhabditis elegans OX=6239,26.0,MNXR164290,MNXR154864_0.8173833720597601_0.9782406764848413|MNXR132597_0.7905694150420948_nan|MNXR118198_0.589592345179761_0.849315381150837|MNXR116407_0.5540369123362123_0.6726601337583239|MNXR116408_0.5527867583610254_0.6726601337583239|MNXR116417_0.5598835015109592_0.6628081227894506|MNXR116418_0.5586207363376654_0.6628081227894506|MNXR172964_0.5423501923580512_0.6432403054525653|MNXR134077_0.553012483881718_0.6228683380023086|MNXR134070_0.5446651981278698_0.6228683380023086|MNXR134125_0.5437229163564816_0.6228683380023086|MNXR116416_0.5584218037260622_0.6064129021163245|MNXR116419_0.5570284150318628_0.6064129021163245,2.4.1.17,3.0,0.0,0.81790,0.978241,-1,0.898070,44.4,25.6,16.1,17.1,58929.26,8.6622,48.438,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)[O-])c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)[O-])c2C)NC1=O
10,60.707034,Q8GWB7,Inositol phosphorylceramide glucuronosyltransferase 1,Arabidopsis thaliana OX=3702,29.0,MNXR164290,MNXR154864_0.8173833720597601_0.9782406764848413|MNXR132597_0.7905694150420948_nan|MNXR118198_0.589592345179761_0.849315381150837|MNXR116407_0.5540369123362123_0.6726601337583239|MNXR116408_0.5527867583610254_0.6726601337583239|MNXR116417_0.5598835015109592_0.6628081227894506|MNXR116418_0.5586207363376654_0.6628081227894506|MNXR172964_0.5423501923580512_0.6432403054525653|MNXR134077_0.553012483881718_0.6228683380023086|MNXR134070_0.5446651981278698_0.6228683380023086|MNXR134125_0.5437229163564816_0.6228683380023086|MNXR116416_0.5584218037260622_0.6064129021163245|MNXR116419_0.5570284150318628_0.6064129021163245,2.4.1.17,1.0,0.0,0.81790,0.978241,-1,0.898070,36.9,29.2,19.6,17.5,60010.94,9.1382,40.037,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)[O-])c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O.O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c(CCC(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2C)NC1=O.O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)[O-])c2C)NC1=O
