,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,69.15288,P06986,Histidinol-phosphate aminotransferase,Escherichia coli (strain K12) OX=83333,1.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,1.0,0.0,0.62162,0.783438,-1,0.70253,42.9,25.0,21.5,15.3,39360.14,4.7240,41.854,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
2,66.95288,B7L9P8,Histidinol-phosphate aminotransferase,Escherichia coli (strain 55989 / EAEC) OX=585055,3.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,43.8,23.8,20.6,16.5,39374.16,4.7286,41.854,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
3,66.95288,B7MDH5,Histidinol-phosphate aminotransferase,Escherichia coli O45:K1 (strain S88 / ExPEC) OX=585035,3.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,43.5,23.8,20.9,16.5,39402.22,4.7286,41.854,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
4,66.95288,A1ACN3,Histidinol-phosphate aminotransferase,Escherichia coli O1:K1 / APEC OX=405955,3.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,42.1,25.9,22.4,14.4,39396.18,4.6532,42.135,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
5,65.95288,A7ZNJ3,Histidinol-phosphate aminotransferase,Escherichia coli O139:H28 (strain E24377A / ETEC) OX=331111,4.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,40.0,25.6,22.4,16.8,39450.21,4.7240,42.697,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
6,63.95288,Q83KJ6,Histidinol-phosphate aminotransferase,Shigella flexneri OX=623,6.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,43.8,24.1,20.6,16.2,39361.16,4.7286,42.135,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
7,61.15288,C6C2Z3,Aspartate aminotransferase,Musicola paradisiaca (strain Ech703) OX=579405,9.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,1.0,0.0,0.62162,0.783438,-1,0.70253,51.6,20.6,13.8,18.2,44118.97,6.0914,40.750,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
8,60.95288,B5FM42,Histidinol-phosphate aminotransferase,Salmonella dublin (strain CT_02021853) OX=439851,9.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,35.3,29.4,21.3,18.7,39699.25,4.7729,43.733,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
9,60.95288,B5BFB9,Histidinol-phosphate aminotransferase,Salmonella paratyphi A (strain AKU_12601) OX=554290,9.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,34.1,29.4,21.9,19.2,39685.22,4.7729,43.733,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
10,60.95288,Q5PDP4,Histidinol-phosphate aminotransferase,Salmonella paratyphi A (strain ATCC 9150 / SARB42) OX=295319,9.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,34.1,29.4,21.9,19.2,39685.22,4.7729,43.733,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
11,60.95288,P74861,Aromatic-amino-acid aminotransferase,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287,9.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,37.5,30.2,17.8,18.6,43526.77,5.4218,39.295,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
12,60.95288,Q2NTX2,Histidinol-phosphate aminotransferase,Sodalis glossinidius (strain morsitans) OX=343509,9.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,39.5,32.3,17.7,15.1,39379.64,6.6369,36.389,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
13,60.95288,P10369,Histidinol-phosphate aminotransferase,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287,9.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,34.1,30.6,22.2,17.8,39715.31,4.7729,43.454,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
14,60.95288,B5RBR3,Histidinol-phosphate aminotransferase,Salmonella gallinarum (strain 287/91 / NCTC 13346) OX=550538,9.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,34.1,30.0,21.6,19.0,39699.25,4.7729,43.733,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
15,60.95288,B4TMR6,Histidinol-phosphate aminotransferase,Salmonella schwarzengrund (strain CVM19633) OX=439843,9.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,34.1,30.0,21.6,19.0,39699.25,4.7729,43.733,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
16,60.95288,Q6D410,Histidinol-phosphate aminotransferase,Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) OX=218491,9.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,39.0,25.8,21.4,18.5,39361.17,5.0888,41.457,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
17,59.95288,A7FJH1,Histidinol-phosphate aminotransferase,Yersinia pseudotuberculosis serotype O:1b (strain IP 31758) OX=349747,10.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,26.5,30.3,23.0,24.6,41946.84,5.4795,42.670,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
18,59.95288,B8D707,Histidinol-phosphate aminotransferase,Buchnera aphidicola subsp. Acyrthosiphon pisum (strain Tuc7) OX=561501,10.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,46.6,28.7,18.2,11.1,42152.59,9.8331,46.467,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
19,59.95288,Q7N6I1,Putative histidine biosynthesis bifunctional protein HisCD,Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) OX=243265,10.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,42.1,27.8,15.9,16.2,88849.84,5.2918,44.362,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
20,59.95288,C6DF75,Histidinol-phosphate aminotransferase,Pectobacterium carotovorum subsp. carotovorum (strain PC1) OX=561230,10.0,MNXR105000,-,2.6.1.1;2.6.1.27;2.6.1.42;2.6.1.5;2.6.1.57;2.6.1.9,3.0,0.0,0.62162,0.783438,-1,0.70253,41.1,27.9,19.4,16.4,39407.20,4.7142,40.896,O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-]>>O=C([O-])C(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-].[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]>>[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-].O=C([O-])C(=O)Cc1ccc(O)cc1
