,Score,Seq. ID,Description,Organism Source,Tax. distance,Rxn. ID,Rxn. ID - additional,EC Number,Uniprot protein evidence,Consv. Score,Rxn Sim.,Rxn Sim RF.,Direction Used,Combined score,% helices,% sheets,% turns,% coils,Mol. Weight,Isoelec. Point,Polar %,Query,Hit
1,48.925511,P04335,Esterase FrsA,Escherichia coli (strain K12) OX=83333,1.0,MNXR131328,-,3.1.1.1;3.4.21;3.4.21.62,1.0,0.0,0.55273,0.44778,1,0.500254,27.9,27.6,24.6,23.9,47008.77,6.9491,43.237,CCO.[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]>>CCOC(=O)[C@@H](N)Cc1ccccc1.[H]O[H],CCOC(=O)[C@H](Cc1ccccc1)N=C(C)O>>CC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-].CCO.[H+]
2,47.725511,C4ZT96,Esterase FrsA,Escherichia coli (strain K12 / MC4100 / BW2952) OX=595496,2.0,MNXR131328,-,3.1.1.1;3.4.21;3.4.21.62,3.0,0.0,0.55273,0.44778,1,0.500254,27.9,27.6,24.6,23.9,47008.77,6.9491,43.237,CCO.[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]>>CCOC(=O)[C@@H](N)Cc1ccccc1.[H]O[H],CCOC(=O)[C@H](Cc1ccccc1)N=C(C)O>>CC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-].CCO.[H+]
3,47.725511,B1XDY2,Esterase FrsA,Escherichia coli (strain K12 / DH10B) OX=316385,2.0,MNXR131328,-,3.1.1.1;3.4.21;3.4.21.62,3.0,0.0,0.55273,0.44778,1,0.500254,27.9,27.6,24.6,23.9,47008.77,6.9491,43.237,CCO.[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]>>CCOC(=O)[C@@H](N)Cc1ccccc1.[H]O[H],CCOC(=O)[C@H](Cc1ccccc1)N=C(C)O>>CC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-].CCO.[H+]
4,46.725511,Q0TL77,Esterase FrsA,Escherichia coli O6:K15:H31 (strain 536 / UPEC) OX=362663,3.0,MNXR131328,-,3.1.1.1;3.4.21;3.4.21.62,3.0,0.0,0.55273,0.44778,1,0.500254,28.6,27.9,23.6,23.9,47023.82,6.9492,43.237,CCO.[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]>>CCOC(=O)[C@@H](N)Cc1ccccc1.[H]O[H],CCOC(=O)[C@H](Cc1ccccc1)N=C(C)O>>CC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-].CCO.[H+]
5,46.725511,B7MQ75,Esterase FrsA,Escherichia coli O81 (strain ED1a) OX=585397,3.0,MNXR131328,-,3.1.1.1;3.4.21;3.4.21.62,3.0,0.0,0.55273,0.44778,1,0.500254,28.6,28.1,23.4,23.9,47039.87,6.9492,43.237,CCO.[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]>>CCOC(=O)[C@@H](N)Cc1ccccc1.[H]O[H],CCOC(=O)[C@H](Cc1ccccc1)N=C(C)O>>CC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-].CCO.[H+]
6,46.725511,B1J0Z5,Esterase FrsA,Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks) OX=481805,3.0,MNXR131328,-,3.1.1.1;3.4.21;3.4.21.62,3.0,0.0,0.55273,0.44778,1,0.500254,29.1,27.6,23.4,23.9,47022.79,6.9492,43.237,CCO.[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]>>CCOC(=O)[C@@H](N)Cc1ccccc1.[H]O[H],CCOC(=O)[C@H](Cc1ccccc1)N=C(C)O>>CC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-].CCO.[H+]
7,46.725511,Q8FKM5,Esterase FrsA,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310,3.0,MNXR131328,-,3.1.1.1;3.4.21;3.4.21.62,3.0,0.0,0.55273,0.44778,1,0.500254,28.6,27.9,23.6,23.9,47023.82,6.9492,43.237,CCO.[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]>>CCOC(=O)[C@@H](N)Cc1ccccc1.[H]O[H],CCOC(=O)[C@H](Cc1ccccc1)N=C(C)O>>CC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-].CCO.[H+]
8,46.725511,B1LHT5,Esterase FrsA,Escherichia coli (strain SMS-3-5 / SECEC) OX=439855,3.0,MNXR131328,-,3.1.1.1;3.4.21;3.4.21.62,3.0,0.0,0.55273,0.44778,1,0.500254,29.1,27.6,23.4,23.9,47022.79,6.9492,43.237,CCO.[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]>>CCOC(=O)[C@@H](N)Cc1ccccc1.[H]O[H],CCOC(=O)[C@H](Cc1ccccc1)N=C(C)O>>CC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-].CCO.[H+]
9,46.725511,B7MC89,Esterase FrsA,Escherichia coli O45:K1 (strain S88 / ExPEC) OX=585035,3.0,MNXR131328,-,3.1.1.1;3.4.21;3.4.21.62,3.0,0.0,0.55273,0.44778,1,0.500254,29.4,27.4,23.4,23.9,46995.77,6.9492,43.237,CCO.[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]>>CCOC(=O)[C@@H](N)Cc1ccccc1.[H]O[H],CCOC(=O)[C@H](Cc1ccccc1)N=C(C)O>>CC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-].CCO.[H+]
10,46.725511,Q1RFT1,Esterase FrsA,Escherichia coli (strain UTI89 / UPEC) OX=364106,3.0,MNXR131328,-,3.1.1.1;3.4.21;3.4.21.62,3.0,0.0,0.55273,0.44778,1,0.500254,29.4,27.4,23.4,23.9,46995.77,6.9492,43.237,CCO.[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]>>CCOC(=O)[C@@H](N)Cc1ccccc1.[H]O[H],CCOC(=O)[C@H](Cc1ccccc1)N=C(C)O>>CC(=O)N[C@@H](Cc1ccccc1)C(=O)[O-].CCO.[H+]
