RPAIR,Score,EC,KO
RP10723,1.000,2.3.1.182,K09011
RP13562,0.647,2.3.3.-,K15741
RP14063,0.642,,K12910
RP13571,0.595,2.3.3.-,K15741
RP01366,0.584,2.3.3.13,K01649
RP13580,0.554,2.3.3.-,K15742
RP00177,0.548,2.3.3.1 2.3.3.3 2.3.3.8 4.1.3.6,K01643 K01644 K01646 K01647 K01648 K15230 K15231
RP13589,0.516,2.3.3.-,K15742
RP13230,0.513,2.3.3.-,K10977
RP04508,0.507,2.3.3.14,K01655 K02594 K10977
RP12959,0.505,2.3.3.-,K10977
RP13598,0.475,2.3.3.-,K15742
RP00879,0.445,4.1.3.30,K03417
RP13607,0.433,2.3.3.-,K15742
RP01181,0.429,2.3.3.5,K01659
