Reaction ID,SelenzymeRF
R06382,1.1.1.71;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R02869,2.3.1.184;2.5.1.79;2.5.1.108;2.5.1.25;2.5.1.114;2.5.1.43;4.4.1.14
R10000,2.1.1.246|2.1.1.247|2.1.1.251|2.1.1.253;2.1.1.90;2.3.1.169;2.1.1.247|2.1.1.248;2.1.1.247|2.1.1.249;2.1.1.-|2.1.1.247|2.1.1.250;2.1.1.86;4.4.1.23;2.1.1.13;2.1.1.14
R00045,1.14.18.1;1.10.3|1.10.3.-|1.10.3.1|1.14.18.1;1.13.11.-|1.13.11.29;1.13.11.3;1.13.11.37;1.13.11.1;1.13.11.15;1.10.3.1|1.10.3.2|1.14.18.1
R04662,2.4.1.145;2.4.1.87;2.4.1.239;2.4.1.236;2.4.2.51;2.4.1.-|2.4.1.254;2.4.1.15;2.4.1.297;2.4.1.210;2.4.1.173;2.4.1.17
R02353,1.1.1|1.1.1.51|1.1.1.62;1.1.1|1.1.1.148|1.1.1.209;1.1.1.210|1.1.1.239|1.1.1.357|1.1.1.51|1.1.1.62;1.1.1.184|1.1.1.2|1.1.1.213|1.1.1.51|1.1.1.64
R06804,2.4.1.239;2.4.1.-|2.4.1.297;2.4.1.236;2.4.1.159;2.4.1.254;2.4.2.51;2.4.1.22;2.4.1.87;2.4.1.38|2.4.1.90;2.4.2.50;2.4.1.-|2.4.1.301;2.4.1.338;2.4.1.273;3.2.1.21|3.2.1.25|3.2.1.74;3.2.1.74
R09628,2.5.1.20;2.7.7.91;2.5.1.103|2.5.1.21|2.5.1.96;5.5.1.-|5.5.1.18;5.5.1.19;2.5.1.89;2.5.1.-|2.5.1.31
R09672,3.2.1.169;3.2.1.97;3.2.1.49;3.2.1.50;3.2.1.52
R10253,2.3.1.-|2.3.1.224;2.3.1.180
R04249,1.14.11.46;1.14.11.72;2.1.1.308;5.3.1.1
R11784,2.7.1.219;2.7.1.17;2.7.1.16|2.7.1.47;2.7.1.16;2.7.1.53;2.7.1.1|2.7.1.2|2.7.1.55
R11899,2.1.1.-|2.1.1.246|2.1.1.90;2.5.1.48;4.2.1.22;2.3.1.26;2.3.1.76;2.8.2.2;2.5.1.18
R07672,1.-.-.-|1.1.1.271;3.6.1.21;2.4.1.69;2.4.1.152;2.7.8.28;6.2.1.4;6.3.2.34;2.7.1.190
R03275,4.1.1.95;2.6.1.57;3.5.1.114;6.2.1.39;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4
R02433,2.6.1.1;2.6.1.57;2.6.1.15;2.6.1.1|2.6.1.19|2.6.1.42|2.6.1.5|2.6.1.57
R05748,1.8.4.2;2.5.1.18
R07619,1.10.3.4;1.14.14.117;1.13.11.6;1.4.3.4;1.13.11.4;1.14.14.1
R06310,2.3.1.180
R03407,1.1.1.145|5.3.3.1;1.14.14.-|1.14.14.1
R04459,4.6.1.14;3.2.1.113;3.5.1.52;3.2.1.130;3.2.1.207;2.3.1.251;2.7.8.1;2.7.8.2;2.7.1.107
R04564,2.4.99.13;2.4.99.1;2.4.99.12|2.4.99.13;2.4.99.3;2.7.8.46;2.7.8.41;2.7.8.14;2.4.99.8;3.6.1.26;2.4.1.60;2.7.8.12;2.7.7.38
R04682,1.1.1.62;1.6.5.4;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
R13232,2.5.1.-|2.5.1.31;2.5.1.89;2.5.1.20;2.5.1.103|2.5.1.21|2.5.1.96;1.3.1.96|2.5.1.21;2.4.2.43
R01418,3.5.1.5
R02003,2.5.1.20;2.5.1.-|2.5.1.31;2.5.1.103|2.5.1.21|2.5.1.96;2.5.1.89;5.5.1.-|5.5.1.18;2.5.1.39
R09227,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12|1.14.12.12;1.14.12.7;1.14.13.223;1.6.5.4;1.14.13.69;1.14.12.-|1.14.12.10;1.14.13.87;1.14.12.19
R07190,1.14.14.36;1.14.13.124|1.14.14.40;1.14.13.125|1.14.14.156;4.1.1.90;1.17.98.3;2.3.1.180
R10622,5.4.2.2;3.1.3.93;2.7.1.2|2.7.1.6
R12425,3.5.1.76;2.1.1.49;3.5.1.79;2.8.2.3;3.1.2.21;2.3.1.179|2.3.1.41|2.3.1.85|2.3.1.86;3.1.2.14|3.1.2.21;1.3.1.9|2.3.1.-
R03197,4.1.1.37
R05595,4.2.1.-|4.2.1.134;4.2.1.17
R06400,1.14.13.105;1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.14.1
R05436,1.14.13.240;1.14.14.1
R04209,1.14.11.54;1.14.11.53;1.1.98.6;1.3.1.79;1.2.1.18;1.1.1.417;1.1.1.170;1.14.11.33;1.14.12.1;2.3.1.119;1.14.13.64;1.14.11.51;2.3.1.199;1.17.98.3;2.3.1.161;2.3.1.244;4.1.1.90;1.2.5.1;1.4.4.2
R02887,3.2.1.21|3.2.1.25|3.2.1.74;3.2.1.74
R12791,3.1.2.20|3.2.1.-;2.3.1.168;2.3.1.-|2.3.1.217;2.3.1.-|2.3.1.39|2.3.1.85|2.3.1.86;2.3.1.207;3.1.2.4;2.3.1.225
R06346,1.14.11.13;1.14.11.15;2.1.1.275;1.14.11.12;1.1.1.71;1.2.1.5;4.1.99.16;1.3.99.4;1.14.13.79;1.17.1.8|1.3.1.26
R09565,1.13.11.57|1.13.11.8;1.13.11.4;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.1.3.15;1.13.11.1
R07238,2.1.1.107;1.16.1.8;2.1.1.133;2.1.1.333;2.1.1.197
R02509,3.5.1.56;1.13.11.11|1.13.11.52;1.14.14.3;1.1.2.8;1.14.14.14;3.5.4.16
R02268,5.3.99.5;1.1.1|1.1.1.-|1.1.1.188;1.11.1.20;5.3.99.2|5.3.99.3|5.3.99.4;1.14.99.1;1.14.14.1
R07150,1.6.5.4;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R05680,1.1.1.2|1.1.1.21|1.1.1.261;1.1.1.49|1.1.1.8|1.1.1.94|1.3.1.20
R07779,1.14.13.50|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8
R00405,6.2.1.4;6.2.1.3;4.1.3.36;6.2.1.18;6.2.1.2;4.4.1.26;6.2.1.26
R02263,4.1.2.19;4.1.2.17;4.1.2.62;4.1.2.13
R10770,6.2.1.7;6.2.1.42;6.2.1.3|6.2.1.42;6.2.1.2;3.6.1.5;6.2.1.1
R05334,1.4.3.13;1.8.3.5;1.4.3.4;1.1.3.20;1.1.3.41;1.4.3.21;1.1.3.13;1.1.3.7;1.1.3.30;1.7.3.1;1.4.3.10|1.4.3.12|1.4.3.22|1.4.3.4|1.4.3.5|1.4.3.8
R05646,2.7.1.167;2.7.1.168
R04857,2.3.1.180
R02849,5.4.2.2;2.7.1.1;2.7.1.1|2.7.1.55;2.7.1.199;2.7.1.191|2.7.1.69
R12953,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R06637,2.3.1.252;2.3.1.111;2.3.1.244;2.3.1.161;2.3.1.-|2.3.1.235;2.3.1.119;2.3.1.41|2.3.1.85|2.3.1.86;2.3.1.199;2.3.1.177;2.3.1.151|2.3.1.177|2.3.1.220;1.2.7.11;2.3.1.146;2.3.1.236;2.3.1.159;2.3.1.262;2.3.1.206;2.3.1|2.3.1.-|2.3.1.74
R11855,4.2.3.188;2.5.1|2.5.1.31|2.5.1.M1;1.6.99.5;1.3.5.6;2.4.2.46;2.4.2.47;4.2.3.47;2.4.1|2.4.1.129
R00385,1.3.1.38;1.3.1.8;1.3.1.44;1.3.1.34;1.1.1.36;1.1.1.330;1.3.1.93;1.3.1.124;1.17.1.7|1.2.1.91;1.1.1.35
R01055,5.3.1.6
R06930,1.14.12.12;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.3.1.29;1.14.13.245;1.6.5.4;1.14.12.10;1.14.13.223;1.14.13.87;1.14.12.17
R10452,2.1.1.4;2.1.1.197;2.1.1.80;2.1.1.6|2.1.1.68;2.1.1.11;2.1.1.77
R07150,1.6.5.4;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R02923,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.19|1.4.3.3;1.14.13.-|1.17.3|1.17.3.-|1.17.3.2
R05684,1.1.1.124|1.14.13.50|2.5.1.18|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8
R11797,2.1.1.344;2.1.1.127;2.1.1.354|2.1.1.355|2.1.1.59|2.1.1.60;2.1.1.77
R10832,2.4.1.321;2.4.1.230;2.4.1.64;2.4.1.231;2.4.1.7;2.4.1.359|2.4.1.dr;2.4.1.332;2.4.1.329;2.4.1.1;2.4.1.279;2.4.1.281;2.4.1.31;2.4.1.8;2.4.1.20;2.4.1.320;2.4.1.211;2.4.1.-|2.4.1.282;2.4.1.247;2.4.1.352;2.4.1.90;2.3.1.15|2.3.1.51|2.4.1.46|3.1.3.4
R10740,1.13|1.13.12.19;1.13.12.24;1.2.2.4;1.13.12.6;1.13.11.27;1.13.11.46;1.14.12.1;1.14.11.27|1.14.11.65;1.14.11.27|1.14.11.65|1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.7.3.3
R03549,1.13.11.8;1.13.11|1.13.11.3;1.13.11.57|1.13.11.8;1.11.1.6
R01416,3.4.11.1|3.4.13
R07035,
R05227,6.3.5.9;3.6.1.21|3.6.1.9
R03386,1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.240;1.14.12.4|1.14.13.242;1.14.13.223;1.14.13.84;1.14.13.225;1.14.13.2|1.14.13.33;1.14.12.-|1.14.12.10;1.6.5.4;1.14.13.88
R13346,1.14.14.103;2.3.1.160;1.13.11.48;1.14.14.50;1.14.13.224;1|1.1.1|1.1.1.10|1.1.1.149|1.1.1.184|1.1.1.2|1.1.1.62|1.1.1.n11;1.1.1|1.1.1.51
R00608,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.19|1.4.3.3;1.4.3.4
R03880,2.4.1.159;2.4.1.236;2.4.1.-|2.4.1.330;2.4.1.239;2.4.1.241;3.2.1.40;5.4.2.2;3.2.1.70;3.2.1.20|3.2.1.70;2.7.1.69
R06643,2.3.1.199;2.3.1.159|2.3.1.74
R06528,3.5.1.23;3.1.1.13;3.1.1.77;3.1.1.26;3.1.1.34;3.1.1.23;3.1.1.111|3.1.1.32
R10206,1.14.14.3;1.14.14.13;1.14.14.46;1.14.14.15;1.14.14.34|1.14.14.5|1.14.14.ah;1.14.14.35;1.14.19.56;1.14.19.9;1.14.14.28;1.16.8.1;1.1.99.31;1.14.14.11;1.14.14.8;1.14.14.21;1.14.99.46
R04577,2.4.1.192;2.4.1.173;2.4.1.52;3.2.1.104;2.4.1.276;2.4.1.364|2.4.1.dt;2.4.1.367;2.4.1.368|2.4.1.dx;2.4.1.350;2.4.1.366|2.4.1.367|2.4.1.dv;2.4.1.17;2.4.1.210;2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.38|2.4.1.90
R12011,2.1.1.17;2.1.1.103|2.1.1.16|2.1.1.71;2.1.1.98;2.1.1.85;2.1.1.297|2.1.1.298
R09106,2.3.1.188;2.3.1.75;2.3.1.133;2.3.1.99;2.3.1|2.3.1.-|2.3.1.215;2.3.1.153;2.3.1.86;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;2.3.1.140;2.3.1.301;2.3.1.196;2.3.1.41|2.3.1.85|2.3.1.86;2.3.1.199
R05689,1.1.1.269;1.1.1.268;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R11874,1.5.98.3;1.12.2.-|1.12.98.3;1.8.98.1;1.1.98.4;1.1.98.5;1.12.98.1;1.5.3.22;1.8.98.3;1.17.1.9|1.17.98.3;1.8.98.4;1.3.98.4;1.5.98.2;1.5.1.40;1.5.98.1;1.1.98.2;1.12.98.2|1.5.98.1|1.5.99.9;2.4.99.18
R05678,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R11152,1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.14.1
R01695,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.17.3.2;1.4.3.19|1.4.3.3
R05588,2.8.3.5;2.8.3.15;1.3.8.1;4.2.1.17;4.2.1.-|4.2.1.134
R08437,2.1.1.336;2.1.1.116|2.1.1.121;2.1.1.104;2.1.1.132;2.1.1.128;2.1.1.6|2.1.1.68;2.1.1.65;2.1.1.155;2.1.1.267;2.1.1.42;2.1.1.-|2.1.1.338;2.1.1.146;2.1.1.76;2.1.1.323;2.1.1.-|2.1.1.291;2.1.1.146|2.1.1.279;2.1.1.222
R04438,2.6.1.-|2.6.1.33|2.6.1.59;2.6.1.59;2.6.1.-|2.6.1.34;2.6.1.92;2.6.1.102;2.6.1.90;1.1.1.344;1.1.1.364;1.1.1.266;2.6.1.-|2.6.1.106;2.6.1.-|2.6.1.110;4.3.1.15;2.6.1.104;4.2.1.46;2.6.1.98;5.1.3.2;4.4.1.13;2.3.2.29
R09426,2.4.1.17;2.4.1.-|2.4.1.266;2.4.1.-|2.4.1.254;2.4.1.354;2.4.1.85;2.4.1.202;2.4.1.-|2.4.1.323;2.4.1.324;2.4.1.219;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.210;2.4.1.236;2.4.1.22;2.4.1.245;2.4.1.52;2.4.1.173
R00719,2.7.1.40;2.7.4.6
R03241,2.7.1.5;2.7.1.51;2.7.1.3|2.7.1.4;2.7.1.1
R11228,1.14.15.17;1.3.7.12;1.1.1.294;1.13.12.14|1.14.13.122;1.14.99.58;1.3.7.15;1.3.7.5;1.14.99.57;1.14.14.18;1.14.99.3;1.14.99.48;1.3.1.24;1.18.-.-|1.3.7.7
R04994,2.1.1.333;2.1.1.98;2.1.1.354|2.1.1.355|2.1.1.59|2.1.1.60;2.1.1.127;2.1.1.80;2.1.1.16|2.1.1.71;2.1.1.297|2.1.1.298
R05865,4.1.1.77;3.7.1.9;4.1.1.68;1.13.11.-|1.13.11.16|1.13.11.2|1.13.11.39;1.13.11.1;1.13.11.38;1.13.11.-|1.13.11.66;1.13.11.-|1.13.11.3;1.13.11.15;2.6.1.13
R09556,4.1.2.44;1.3.8.1;4.2.1.17;4.2.1.-|4.2.1.134
R10287,3.5.1.13;1.14.12.19;1.1.1.222|1.1.1.237|1.1.1.28;2.6.1.21;1.14.12.12;1.13.11.38;4.1.2.26;1.13.11.2;1.1.1|1.1.1.19|1.1.1.2|1.1.1.21|1.1.1.91
R02851,4.3.1.17|4.3.1.18|4.3.1.19|4.3.1.20;1.4.99.6
R11161,1.14.14.21;1.1.99.31;1.14.14.13;1.14.14.46;1.14.14.3;1.14.19.9;1.14.14.30;1.14.14.133;1.14.19.56;1.14.14.15;1.16.8.1;1.14.14.28;1.14.14.5;1.14.14.8;1.14.14.22;1.14.99.46
R01777,2.3.1.46
R11284,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.17.3.2;1.4.3.4
R11602,2.5.1.138;2.5.1.139;2.5.1.39
R02059,2.3.1.78;3.5.1.33;5.1.3.9;3.5.1.25;2.3.1.4;2.3.2.10;2.7.1.40
R03702,2.3.1|2.3.1.39|2.3.1.74
R08227,3.5.2.2;3.5.1.6;1.3.1.2;3.4.11.4
R00384,1.3.1.44;1.3.1.8;1.3.1.38;1.3.1.34;1.1.1.36;1.1.1.35
R08035,1.8.99.3|1.8.99.5;1.12.99.6|1.2.7.1|1.2.7.4|1.2.99.2;5.4.4.1;5.4.4.3;1.10.5.1;1.6.5.2
R04726,2.3.1.179|2.3.1.41|2.3.1.85|2.3.1.86;2.3.1.-|2.3.1.179|2.3.1.199|2.3.1.41;2.3.1.47
R13319,3.6.1.5;6.3.2.39;3.6.1.21;6.3.2.14;2.7.4.3
R02821,2.1.1.5;2.1.1.13;2.1.1.14
R03306,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.223;1.14.12.-|1.14.12.10;1.6.5.4;1.14.13.87;1.14.13.2|1.14.13.33;1.14.13.240;1.14.14.43|1.14.14.45;1.14.13.25;1.14.13.84;1.14.13.113
R03200,5.4.99.8;5.4.99.33;5.4.99.34;5.4.99.39;5.4.99.52;5.4.99.40;5.4.99.32;5.4.99.36;5.4.99.49;5.4.99.50;5.4.99.35;5.4.99.51;5.4.99.46;5.4.99.56;5.4.99.7;4.2.1.125;5.4.99.57;5.4.99.48;4.2.1.124;5.4.99.31;5.4.99.17;1.14.14.17;5.4.99.53;5.4.99.65;2.1.1.142;1.14.18.10;2.1.1.142|2.1.1.41;1.3.1.72;1.3.1.96|2.5.1.21
R03220,1.3.3.3
R05289,1.2.1.28|1.2.1.7;1.2.1.28|1.2.1.3|1.2.1.7;1.2.1.5;1.6.5.4
R02569,1.3.8.7|1.3.8.8;1.3.8.1;1.2.7.11;4.2.1.17;4.2.1.-|4.2.1.134
R08895,2.3.1.78;2.3.2.10;3.5.1.33;3.5.1.-|3.5.1.112;3.5.1.103;3.5.1.-|3.5.1.136;3.1.1.58;3.1.1.26;3.5.1.89;1.13.11.48;2.3.1.157|2.3.1.4
R11272,2.4.1.-|2.4.1.301;2.4.1.22;2.4.1.87;2.4.1.38|2.4.1.90;2.4.1.338;2.4.1.239;2.4.1.-|2.4.1.297;2.4.1.245;2.4.1.15;2.4.1.230;2.4.1.122|2.4.1.307;2.4.1.13
R03369,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.14;1.14.12.22;1.14.13.240;1.14.13.223;1.14.12.10;1.6.5.4;1.14.13.87;1.14.13.25;1.14.13.26;1.14.13.113
R11869,2.5.1.89;2.5.1.20;2.5.1.-|2.5.1.31;1.3.1.96|2.5.1.21;2.5.1.103|2.5.1.21|2.5.1.96;1.3.7.11;5.5.1.19
R06177,2.5.1|2.5.1.31|2.5.1.M1;2.7.8.13
R08327,1.14.14.-|1.14.14.1
R06149,1.1.5.2;1.14.14.1
R12107,1.3.1.114;1.3.1.44;1.1.1.36;1.6.5.4;1.3.1.38;1.3.1.8;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R08220,3.1.1.1
R06930,1.14.12.12;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.3.1.29;1.14.13.245;1.6.5.4;1.14.12.10;1.14.13.223;1.14.13.87;1.14.12.17
R12050,2.5.1.39
R00897,2.5.1.47;2.6.1.7;2.5.1.47|2.5.1.49|4.2.99.8;2.5.1.47|2.5.1.65;4.4.1.9;3.5.1.114|3.5.1.14
R06914,1.6.5.4;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
R11106,1.14.14.34|1.14.14.5|1.14.14.ah;1.1.5.3|1.1.99.5
R09453,1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.14.1
R10861,1.2.1.92;1.6.5.4;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
R02684,1.1.1.188|1.1.1.62|1.3.1.20;1.1.1.188|1.1.1.51;1.1.1.184|1.1.1.189;1.6.5.4;1.6.3.2;1.11.1.1|1.11.1.2
R03517,2.3.1.284;4.2.2.1;3.2.1.52
R08045,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R04137,4.2.1.-|4.2.1.134;4.2.1.17
R01085,5.5.1.1;2.7.3.9;4.3.1.15;4.4.1.13;3.7.1.-|3.7.1.20|3.7.1.5;3.7.1.23;6.4.1.1;2.5.1.64;4.1.3.3
R07737,1.1.1.246|1.1.1.348;1.6.5.4;1.14.13.53|1.14.13.89;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
R00499,1.8.4.2;1.8.1.12;3.1.2.6
R13112,1.14.19.61;2.6.1.7;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
R09564,1.4.3.21|1.4.3.22;1.2.3.1;1.11.1.10;3.5.4.43|3.5.99.3;3.8.1.5;1.3.1.32;1.21.99.5|1.97.1.8
R11207,3.5.1.119;6.3.1.19;3.6.1.5;2.7.1.40
R10525,2.4.1.245;5.4.99.16;3.2.1.117;2.4.1.25;3.2.1.141;3.2.1.195;4.2.2.12;3.2.1.107;3.2.1.21
R08540,4.2.3.56;4.2.3.77;2.5.1.20;4.2.3.75;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;2.5.1.87;4.2.3.67;3.1.7.7|4.2.3.194;4.2.3.78;4.2.3.-|4.2.3.104;4.2.3.6;4.2.3.123;4.2.3.68;4.2.3.181;4.2.3.198|4.2.3.66;4.2.3.56|4.2.3.58;4.2.3.89;4.2.3.57;4.2.3.137;4.2.3.-|4.2.3.129;4.2.3.76
