RPAIR,Score,EC,KO
RP00611,1.000,2.3.2.2 2.3.2.4,K00681 K00682
RP03793,1.000,2.3.2.2,K00681
RP00824,0.895,2.3.2.4 6.3.2.2,K00682 K01919 K11204 K11205
RP04539,0.850,2.3.2.2,K00681
RP03587,0.850,2.3.2.2,K00681
RP15346,0.695,,K05831
RP15337,0.676,6.3.2.-,K05827
RP13898,0.525,2.3.2.2,K00681
RP11087,0.485,3.5.1.94,K09473
RP10975,0.477,6.3.1.11,K09470
RP14245,0.463,6.2.1.39,K13559
RP01331,0.430,6.3.2.4,K01921
RP02039,0.424,3.5.1.81,K06015
RP03533,0.422,2.3.2.2,K00681
RP15949,0.415,6.3.2.38,K03894
RP01186,0.414,6.3.2.17,K01930 K11754
RP03875,0.414,3.4.19.9 6.3.2.17,K01307 K01930
RP00335,0.402,3.4.13.18 3.4.13.20 6.3.2.11,K05604 K08660 K14755
RP00279,0.382,6.3.2.11,K14755
RP01172,0.380,6.3.2.11,K14755
RP01690,0.359,2.3.2.2,K00681
RP00432,0.358,6.3.2.3,K01920
RP15387,0.357,3.5.1.-,K15784
RP00881,0.357,3.5.1.96,K05526
RP02448,0.354,3.5.1.18,K01439
RP01130,0.352,2.3.1.109,K00673
RP01042,0.338,2.3.1.35 3.5.1.14 3.5.1.16,K00620 K01438 K14677
RP00425,0.335,3.5.1.15,K01437
RP14066,0.327,,K03823
RP04458,0.324,2.3.1.1 2.3.1.35,K00618 K00619 K00620 K11067 K14681 K14682
RP01162,0.323,3.4.11.1 3.4.11.2 3.4.11.23 3.4.13.-,K01255 K01256 K01270 K07751 K11140 K11142 K15428
RP02446,0.323,3.5.1.47,K05823
RP03994,0.317,6.3.2.39,K03895
RP15223,0.317,3.4.15.6,K13282
RP14349,0.314,3.5.1.16,K01438
RP14076,0.311,2.3.1.183,K03823 K12915
RP14708,0.309,6.3.2.34,K12234
RP04560,0.309,3.4.11.1 3.4.11.2 3.4.11.23 3.4.13.-,K01255 K01256 K01270 K07751 K11140 K11142 K15428
RP00508,0.308,3.4.13.18 3.4.13.20 6.3.2.11,K05604 K08660 K14755
RP14710,0.308,6.3.2.32,K14940
RP00245,0.304,3.4.13.20 3.4.13.5 6.3.2.11,K05604 K14755
