EC,Weighted Score,Observed Freq,Reactions
6.3.2,76.9,38,R00735  R00894  R00910  R00912  R00942  ... (36 reactions)
3.5.1,75.5,23,R00254  R00411  R00484  R00488  R00546  ... (22 reactions)
2.3.1,49.3,25,R00234  R00259  R00487  R00577  R00693  ... (24 reactions)
2.3.2,34.2,23,R00494  R01149  R01262  R01687  R02743  ... (19 reactions)
3.4.13,18.8,9,R00911  R01166  R01992  R03288  R03935
6.3.1,15.8,,
6.3.4,9.4,,
3.4.11,6.8,,
3.4.19,5.6,3,R00494  R04242  R09875
3.4.17,4.2,3,R04611  R08850  R09535
2.1.3,3.6,1,R01397
3.1.1,2.1,,
6.2.1,1.7,,
3.4.15,1.6,1,R09722
3.5.3,1.0,1,R02423
2.3.-,1.0,1,R05672
3.4.22,0.6,,
3.4.24,0.6,,
4.3.2,0.5,,
2.7.7,0.5,,
6.1.1,0.3,,
3.1.2,0.3,,
1.2.1,0.2,,
