RPAIR,Score,EC,KO
RP11090,0.098,4.2.3.25,K15086
RP11089,0.098,4.2.3.26,K15087
RP05467,0.094,4.2.3.20,K15096
RP01909,0.094,4.2.3.16,K15088
RP12982,0.094,4.2.3.48,K14175
RP15051,0.094,4.2.3.49,K15793
RP05585,0.087,4.2.3.108,K07385
RP15064,0.087,4.2.3.60,K15802
RP11143,0.086,4.2.3.75,K10187 K15803
RP15063,0.086,4.2.3.55,K15794
RP15287,0.084,4.2.3.38,K14177
RP15053,0.084,4.2.3.59,K15796
RP15054,0.084,4.2.3.40,K15795
RP03918,0.084,4.2.3.12,K01737
RP12985,0.083,4.2.3.56,K14186
RP12980,0.081,4.2.3.- 4.2.3.104,K14184
RP11144,0.080,4.2.3.22,K10187 K15803
RP05353,0.068,4.2.3.119,K07384
RP15747,0.064,4.2.3.130,K16188
RP12984,0.061,4.1.99.16 4.2.3.22,K10187
RP15048,0.057,4.2.3.76,K15806
RP11141,0.056,4.2.3.24,K14178
RP02120,0.054,4.2.3.13,K14183
RP15066,0.053,4.2.3.67,K15809
RP05497,0.048,4.2.3.32,K14041
RP01274,0.043,4.1.2.13,K01622 K01623 K01624 K11645 K16305 K16306
RP01270,0.043,4.1.2.13,K01622 K01623 K01624 K11645 K16305 K16306
RP01272,0.043,4.1.2.40,K01635 K08302 K16371
RP01787,0.042,2.2.1.2,K00616 K13810
RP15837,0.039,2.2.1.11,K16305
RP10678,0.034,4.3.3.6,K06215 K08681
RP09093,0.034,,K16020
RP02749,0.034,4.2.3.4,K01735 K13829 K13830
RP14360,0.034,4.2.3.44,K14042
RP14367,0.034,4.2.3.35,K14046
RP13558,0.032,4.2.3.124,K13546
RP14369,0.031,4.2.3.28,K14036
RP05499,0.030,4.2.3.32,K14041
