Reaction Name,E-zyme1,E-zyme2
R00001,,
R00009,,
R00032,1.13.11;1.14.99;1.13.-;1.14.13;3.7.1;2.8.1;1.8.1;1.8.99;1.8.7,1.13.11;1.13.11;1.13.11;1.13.11
R00041,3.8.1;3.5.1;4.5.1,3.8.1;4.2.1;4.2.1;4.2.1;4.2.1;1.14.14;1.14.14;1.14.11;1.13.11;1.14.14
R00074,1.11.1;1.14.21;1.10.3;1.14.99;1.1.3;1.1.1;1.1.99;1.2.99;1.1.2;1.8.5;1.3.2;4.1.2,1.11.1
R00103,,
R00104,,
R00195,4.3.1;3.5.1,2.6.1;1.4.99;1.4.1;4.4.1;4.4.1;2.6.1;4.4.1;2.6.1;4.4.1;4.3.1;4.3.1;1.4.3;1.4.3;4.4.1;4.4.1;4.4.1;1.4.1;2.6.1;1.4.3;1.4.3;1.4.1;1.4.1;2.6.1;2.6.1;1.4.1;4.3.1;2.6.1;4.4.1;4.4.1;4.4.1;1.4.1;4.4.1;4.4.1;4.4.1;2.5.1;1.4.3;2.6.1;4.4.1
R00203,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00243,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00260,5.1.1,5.1.1;5.1.1;5.1.1;5.1.1;5.1.1;5.1.1
R00305,1.1.1;1.1.99;1.1.3;2.3.1;1.14.13;1.1.5;1.1.-;1.1.2;1.14.11;5.3.3;1.14.-;1.1.98;1.4.3;1.-.-;1.2.1;1.6.5;1.6.99;4.2.1;1.14.15;1.1.9;1.3.1;1.14.12;5.1.3;1.6.1;1.6.3;6.4.1;5.4.99;1.11.1;4.1.1,1.1.1;1.1.5;1.1.1;5.1.3;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;5.1.3;5.3.99;5.1.3;5.1.3;1.1.1;5.1.3;5.1.3;5.1.3;5.1.3;1.1.1;5.1.3;5.1.3;5.1.3;1.1.1;1.1.1;4.2.1;5.1.3;4.2.1;1.1.1;5.1.3;1.1.1;1.1.1;5.1.3;4.1.1;4.2.1;5.1.3;4.2.1;1.1.1;1.1.1;1.1.1
R00306,2.4.1;3.2.1;2.4.2;3.1.4;4.2.2;5.1.3;6.5.1;2.4.99;6.1.1;4.2.1;3.1.3;3.6.1;2.7.8;3.1.1,3.2.1;3.2.1;3.2.1;3.2.1;3.2.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;3.2.1;3.2.1;3.2.1;3.2.1;2.4.1;2.4.1;3.2.1;2.4.1;3.2.1;3.2.1;3.2.1;2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.2;2.4.1;3.2.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;4.2.2;2.4.1;2.4.1;2.4.1;3.2.1;3.2.1;3.2.1;3.2.1;3.2.1;2.4.1;3.2.1;3.2.1;2.4.2;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1
R00332,,
R00353,4.1.1;6.4.1;2.1.3;1.1.1,1.1.1;4.1.1;1.1.1;1.1.1;2.1.3
R00373,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.7;1.4.2;4.3.1;1.13.12;4.1.1;1.14.11;2.-.-;2.4.2;1.4.5,1.4.3;1.4.3;2.6.1;2.6.1;2.6.1;1.4.99;1.4.1;1.4.1;2.6.1;2.6.1;4.4.1;4.4.1;4.4.1;1.4.3;1.4.3;4.4.1;4.4.1;4.4.1;2.6.1;2.6.1;1.4.1;2.6.1;1.4.1;1.4.1
R00376,5.4.2,3.1.5;2.7.7;3.1.3;2.7.7;2.7.7;2.7.7;2.7.7;2.7.6;2.7.7;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.6;3.1.7;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.6.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.4.1;3.1.3;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;3.1.3;2.7.1;3.1.3;2.7.1;2.7.1;3.1.3;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.6;3.1.3;2.7.1;2.7.8;2.7.1;2.7.1;3.1.3;3.1.3;3.1.3;3.1.3;2.7.1;3.1.7;3.1.3
R00428,4.3.2;3.5.3;3.5.4;1.14.11,3.5.4;3.5.4
R00430,,
R00437,5.1.3;1.1.1;3.2.2;2.4.1;2.6.1;5.1.99;2.1.1;3.8.1;2.4.2;2.6.99,5.1.3;4.2.2;5.1.3;5.1.3;5.1.3;5.1.3;1.1.1;1.1.1;5.1.3;5.3.99;5.1.3;5.1.3;5.1.3;5.3.1;5.1.3;1.1.1;4.2.3;4.2.3;5.3.1;5.3.1;5.3.1;5.3.1;5.1.3;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;4.2.1;4.1.99;1.1.1;5.1.3;5.3.3;4.2.1;4.2.1;5.1.3;4.2.1;5.4.4;1.1.3;1.3.2;4.2.1;2.1.1;4.2.1;4.2.1;4.2.1;4.3.1;4.2.99;1.21.-;1.14.20;4.2.3;4.2.3;4.2.3;1.1.3;4.2.3;1.3.3;5.4.99;2.2.1;5.3.1;1.14.14;1.14.11;2.6.1;5.3.3;4.5.1;4.2.1;1.14.11;1.3.1;1.1.1;4.1.1;4.2.1;4.1.1;1.3.-;4.2.1;1.3.1;4.5.1;1.10.3;1.14.14;1.14.14;1.14.13;1.14.11;1.3.99;4.2.3
R00511,2.7.1;3.1.3;3.6.1;2.7.8;2.7.4;2.7.7;3.6.3;2.7.11;3.1.4;2.7.2;2.7.6;2.7.3;3.6.4;3.1.7;4.6.1;2.7.9;3.6.5;3.2.1;2.7.12;2.7.13;2.6.-;2.7.-;4.1.1;2.7.10;1.3.7;1.18.6;4.2.3;3.1.5;2.7.99;2.4.1;5.1.3;1.19.6;3.-.-,2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;3.1.3;2.7.8;3.1.5
R00605,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00647,1.1.3;1.1.1;1.10.3;1.14.13;1.3.3;1.3.2,1.1.3;1.1.3;1.10.3;1.1.3;1.3.2;1.1.1;1.1.1;5.3.3
