Reaction,All ECs
10157,1.14.14.13;1.14.14.28;1.14.14.3;1.14.14.5;1.14.14.15;1.14.14.8;1.14.19.56;1.14.14.46;1.5.1.39;1.14.99.46;1.14.14.12;1.14.14.108;1.14.14.30;1.13.12.16;1.14.14.22
10173,3.4.16.4;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
10221,6.3.2.14;6.3.2.40;6.1.3.1;2.7.7.85;6.1.1.1
10237,2.4.1.35;2.4.1.220;2.4.1.126;2.4.1.128;2.4.1.170;2.4.1|2.4.1.-|2.4.1.298;2.4.1.249;2.4.1.238;2.4.1.218;2.4.1.91;2.4.1.-|2.4.1.286;2.4.1.185;2.4.1.202;2.4.1.85;2.4.1.234;2.4.1.-|2.4.1.266;2.4.1.81;2.4.1.-|2.4.1.323;2.4.1.219;2.4.1.239;2.4.1.-|2.4.1.297;2.4.1.63;2.4.1.324;1.11.1.13|1.16.3.-|2.4.1.25|2.4.1.63|2.4.1.8|3.2.1.20|4.2.1.131
10289,1.2.1.3;3.1.1.17|3.1.1.25;3.1.1|3.1.1.-|3.1.1.17;5.5.1.27;3.2.1.144;3.4.16.4
10337,4.2.1.3;6.3.2.27;4.2.1.114;4.2.1.166;4.1.3.1;1.1.1.286|1.1.1.41|1.1.1.42|1.1.1.87
10341,4.2.3.21;4.2.3.164|4.2.3.ek;4.2.3.90;4.2.3.37;4.2.3.73;4.2.3.-|4.2.3.129;4.2.3.197;4.2.3.62;4.2.3.68;4.2.3.7;4.2.3.204;4.2.3.198;4.2.3.136;4.2.3.172;4.2.3.96;4.2.3.93;4.2.3.6;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;4.2.3.87;2.5.1.87;4.2.3.61;4.2.3.9;4.2.3.69;4.2.3.79;4.2.3|4.2.3.-|4.2.3.56;4.2.3.181;4.2.3.160;4.2.3.22;4.2.3.83;4.2.3.24;4.2.3.64;4.2.3.169;4.2.3.74;4.2.3.98;2.5.1.86;4.2.3.55
10345,2.3.1.25;2.3.1.121;2.3.1.23|2.3.1.63;2.3.1.62;2.3.1.51;2.3.1.180
10393,1.1.1.1
10397,1.4.1.1|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.2|1.4.1.20|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9
10421,2.6.1.18;2.6.1.77;2.6.1.-|2.6.1.19|2.6.1.96;2.6.1.13;2.6.1.21;2.6.1.-|2.6.1.113|2.6.1.29;2.6.1.40
10441,3.1.1.17;3.1.1.17|3.1.1.25;1.1.3.9;3.1.1.15;3.2.1.144;1.1.99.3;3.1.1.99;3.1.1.31;5.5.1.27;1.6.5.4
10509,2.2.1.1;2.2.1.2
10521,2.4.1.241;2.4.1.-|2.4.1.330;2.4.1.315;2.4.1.208;2.4.1.159;2.4.1.236;2.4.1.46;2.4.1.239;2.4.1.22;2.4.1|2.4.1.85;2.4.1.38|2.4.1.90;2.4.1.87;2.4.1.203;2.4.1.215;2.4.1.13
10537,3.1.6.14;2.7.7.4
10569,2.4.1.234;2.4.1.17;2.4.1.81;2.4.1.237;2.4.1.115;2.4.1.294;2.4.1.91;2.4.1.-|2.4.1.286;2.4.1.264;2.4.1.126;2.4.1.212
10585,2.3.1.237;2.3.1.236;2.3.1.165;2.3.1.161;2.3.1.289;2.3.1.86;2.3.1.290;2.3.1.85;2.3.1.41;2.3.1.239;2.3.1.295;2.3.1.94;2.3.1.119;2.3.1.170;2.3.1.292;2.3.1.156|2.3.1.74
10689,2.7.1.72;2.3.1.15|2.3.1.51|2.4.1.184|2.4.1.46|3.1.3.4
10765,1.14.20.4;1.14.11.67;1.14.11.17;1.14.11.23|1.14.20.6;1.14.11.54;1.14.11.53;1.14.11.51;1.14.11.33;1.14.11.22;1.14.11.27|1.14.11.65|1.14.11.67
10781,1.1.1.222|1.1.1.237;1.1.1|1.1.1.110|1.1.1.222|1.1.1.237|1.1.1.27|1.1.1.28|1.1.1.96
10821,1.1.1.42;4.2.1.3;1.1.1.286|1.1.1.41|1.1.1.42|1.1.1.87
10881,2.4.99.20;2.1.1.159|2.1.1.160;2.4.2.21
