EC,Weighted Score,Observed Freq,Reactions
2.7.1,419.1,190,R00174  R00185  R00299  R00513  R00516  ... (173 reactions)
3.1.3,131.3,84,R00173  R00183  R00303  R00511  R00548  ... (75 reactions)
3.6.1,79.4,1,R04621
2.7.8,65.7,35,R00504  R01321  R01503  R01800  R01801  ... (31 reactions)
2.7.4,55.5,,
2.7.7,33.9,,
3.6.3,29.5,,
2.7.11,27.9,9,R02980  R03150  R03272  R03274  R03449  ... (9 reactions)
3.1.4,27.0,22,R01030  R01310  R01312  R01470  R02027  ... (20 reactions)
2.7.2,10.3,1,R02664
2.7.6,9.0,2,R00619  R03503
2.7.3,7.7,,
3.6.4,7.5,,
3.1.7,7.0,5,R08396  R08697  R08993  R09828
4.6.1,5.2,4,R03332  R03364  R04459  R07635
2.7.9,4.3,,
3.6.5,3.5,,
3.2.1,3.0,,
2.7.12,2.3,,
2.7.13,2.1,,
2.6.-,2.0,2,R07386
2.7.-,2.0,2,R05920  R05924
4.1.1,1.7,,
2.7.10,1.2,,
1.3.7,1.2,,
1.18.6,1.2,,
4.2.3,1.0,1,R05086
3.1.5,1.0,1,R01856
2.7.99,1.0,1,R04312
2.4.1,1.0,,
5.1.3,1.0,,
1.19.6,0.6,,
3.-.-,0.6,,
