EC,Weighted Score,Observed Freq,Reactions
3.1.1,161.8,4,R01309 R01350 R03467 R04471
6.1.1,28.0,,
2.5.1,25.0,,
2.4.1,22.5,,
2.1.1,17.7,,
2.7.2,13.5,,
3.6.1,7.7,,
2.7.1,5.9,,
1.1.1,4.8,,
6.3.4,4.6,,
6.2.1,3.9,,
1.4.3,3.8,,
4.4.1,3.8,,
1.14.13,2.6,,
2.3.1,2.2,1,R00664
2.7.7,1.9,,
3.5.1,1.6,,
1.13.11,1.5,,
1.14.15,1.5,,
1.13.12,1.5,,
3.2.1,1.0,,
3.7.1,1.0,,
1.2.1,1.0,,
6.1.2,1.0,,
2.7.4,1.0,,
4.2.1,0.8,,
3.5.3,0.8,,
1.5.3,0.8,,
1.8.1,0.8,,
3.1.6,0.8,,
1.14.99,0.8,,
1.7.3,0.7,,
1.4.1,0.7,,
1.5.8,0.7,,
1.21.4,0.7,,
