Reaction Name,E-zyme1,E-zyme2
R00043,4.1.2;4.2.1;4.1.3;2.2.1;2.5.1;1.13.11;1.14.99;2.3.1;4.1.1,4.1.2;4.1.2;4.1.2
R00084,,4.2.1;2.6.99;2.2.1
R00088,3.5.4;6.3.5;6.3.4;3.5.99;2.1.2,3.5.4;3.5.4;6.3.5;3.5.4;6.3.5;3.5.4;3.5.4;1.1.1;1.1.1;1.7.1;3.5.4;6.3.4;3.5.4;1.17.1;1.17.3;1.17.1;1.17.3;1.17.3;1.17.3;1.14.14;3.5.4;3.5.4;3.5.4;3.5.4;3.5.4;3.5.4;3.5.4;2.4.2;3.5.4;3.5.4;6.3.4
R00189,3.5.1;6.3.5;2.3.1;6.3.1;6.3.4;6.3.2;2.3.2;2.1.2;1.4.1;4.3.3;3.4.13;2.1.3;1.4.7;3.4.11;2.6.1;3.5.5;2.4.2;4.1.3;3.5.4;1.2.99;3.4.19;6.2.1;3.1.1;4.3.2;3.5.3;4.2.1;4.3.1,6.3.1;6.3.5;6.3.2;6.3.5;6.3.2;6.3.2;6.3.2;6.3.2;6.3.2;6.3.2
R00197,,
R00259,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.1.1;2.3.1;2.3.1;1.2.1;1.2.1;1.2.1;3.1.2;6.2.1;2.3.1;6.2.1;2.3.1;1.2.7;2.3.1;3.1.2;1.2.7;1.2.1;1.2.7;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1
R00308,3.2.1;2.4.1;2.4.99;4.2.1;2.5.1;5.1.3;4.2.2;1.-.-;2.4.2,3.2.1;3.2.1;3.2.1;3.2.1;1.17.1
R00390,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.2.1;1.2.1;1.2.1;3.1.2;1.1.1;2.3.1;2.3.1;2.3.1;6.2.1;1.2.7;1.2.7;3.1.2;2.3.1;1.2.7;6.2.1;2.3.1;1.2.1;2.3.1;1.2.4;6.2.1;1.2.1;1.2.1;2.3.1;2.3.1;6.2.1;6.2.1;1.1.1;2.3.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1;6.2.1
R00432,,
R00485,3.5.1;6.3.5;6.3.1;1.4.1;4.3.3;6.3.4;2.6.1;1.4.7;2.4.2;4.1.3;3.5.5;2.3.1;2.1.2;6.3.2;3.5.4,3.5.1;1.4.1;3.5.1;2.8.3
