reaction,REACTION_ID,true_EC
10045-1.1.1.245-Q,10045,1.1.1.245
10049-2.5.1.49-Q,10049,2.5.1.49
10113-4.2.1.22-Q,10113,4.2.1.22
10121-3.5.4.37-Q,10121,3.5.4.37
10125-1.14.13.92-Q,10125,1.14.13.92
10193-7.3.2.3-Q,10193,7.3.2.3
10197-4.2.1.113-Q,10197,4.2.1.113
10261-7.2.2.14-Q,10261,7.2.2.14
10265-5.1.3.3-Q,10265,5.1.3.3
10317-1.14.11.6-Q,10317,1.14.11.6
10373-1.2.1.58-Q,10373,1.2.1.58
10417-4.1.99.11-Q,10417,4.1.99.11
10449-1.14.20.5-Q,10449,1.14.20.5
10473-4.1.3.32-Q,10473,4.1.3.32
10605-3.1.4.3-Q,10605,3.1.4.3
10705-6.1.1.9-Q,10705,6.1.1.9
10713-1.13.12.9-Q,10713,1.13.12.9
10717-5.5.1.4-Q,10717,5.5.1.4
10793-4.1.1.21-Q,10793,4.1.1.21
10821-5.1.2.6-Q,10821,5.1.2.6
10869-2.3.1.20-Q,10869,2.3.1.20
10901-2.6.1.60-Q,10901,2.6.1.60
11017-3.5.3.4-Q,11017,3.5.3.4
11029-2.7.1.1-Q,11029,2.7.1.1
11029-2.7.1.7-Q,11029,2.7.1.7
11153-1.14.13.241-Q,11153,1.14.13.241
11161-2.6.1.76-Q,11161,2.6.1.76
11193-3.8.1.10-Q,11193,3.8.1.10
11193-3.8.1.2-Q,11193,3.8.1.2
11213-1.13.11.17-Q,11213,1.13.11.17
11229-1.1.1.234-Q,11229,1.1.1.234
11285-1.1.1.167-Q,11285,1.1.1.167
11341-4.1.1.75-Q,11341,4.1.1.75
11345-2.7.7.43-Q,11345,2.7.7.43
11413-2.7.6.3-Q,11413,2.7.6.3
11417-2.3.1.90-Q,11417,2.3.1.90
11441-1.14.13.50-Q,11441,1.14.13.50
11545-3.5.1.26-Q,11545,3.5.1.26
11629-4.1.1.1-Q,11629,4.1.1.1
11665-2.4.3.5-Q,11665,2.4.3.5
11697-2.1.1.139-Q,11697,2.1.1.139
11817-5.3.1.9-Q,11817,5.3.1.9
11849-1.21.4.4-Q,11849,1.21.4.4
11901-1.1.1.286-Q,11901,1.1.1.286
11901-1.1.1.87-Q,11901,1.1.1.87
11917-1.3.1.48-Q,11917,1.3.1.48
11965-3.3.2.11-Q,11965,3.3.2.11
12049-2.8.3.6-Q,12049,2.8.3.6
12077-1.1.1.90-Q,12077,1.1.1.90
12161-1.1.1.125-Q,12161,1.1.1.125
12169-1.1.1.54-Q,12169,1.1.1.54
12253-3.2.1.126-Q,12253,3.2.1.126
12257-1.3.1.43-Q,12257,1.3.1.43
12257-1.3.1.79-Q,12257,1.3.1.79
12277-1.3.8.4-Q,12277,1.3.8.4
12297-3.5.99.16-Q,12297,3.5.99.16
12345-1.2.1.70-Q,12345,1.2.1.70
12373-3.1.1.45-Q,12373,3.1.1.45
12409-1.4.1.18-Q,12409,1.4.1.18
12485-3.1.3.5-Q,12485,3.1.3.5
12594-2.7.8.5-Q,12594,2.7.8.5
12614-1.8.4.4-Q,12614,1.8.4.4
12622-4.1.1.12-Q,12622,4.1.1.12
12654-1.1.1.38-Q,12654,1.1.1.38
12654-1.1.1.39-Q,12654,1.1.1.39
12678-1.14.99.21-Q,12678,1.14.99.21
12718-2.7.1.140-Q,12718,2.7.1.140
12726-1.1.1.15-Q,12726,1.1.1.15
12770-1.1.99.3-Q,12770,1.1.99.3
12842-2.6.1.30-Q,12842,2.6.1.30
12890-1.1.1.45-Q,12890,1.1.1.45
12906-2.7.7.22-Q,12906,2.7.7.22
12922-2.3.1.37-Q,12922,2.3.1.37
12930-2.3.3.14-Q,12930,2.3.3.14
12934-4.1.2.17-Q,12934,4.1.2.17
12954-2.7.11.9-Q,12954,2.7.11.9
13022-1.14.13.82-Q,13022,1.14.13.82
13030-1.1.3.29-Q,13030,1.1.3.29
13054-2.6.1.58-Q,13054,2.6.1.58
13114-1.7.1.12-Q,13114,1.7.1.12
13122-2.7.1.71-Q,13122,2.7.1.71
13154-1.1.1.92-Q,13154,1.1.1.92
13330-1.3.99.4-Q,13330,1.3.99.4
13502-6.3.4.14-Q,13502,6.3.4.14
13510-2.7.7.23-Q,13510,2.7.7.23
13514-1.3.1.14-Q,13514,1.3.1.14
13578-3.1.1.50-Q,13578,3.1.1.50
13634-6.3.1.11-Q,13634,6.3.1.11
13658-3.1.2.16-Q,13658,3.1.2.16
13690-2.7.1.79-Q,13690,2.7.1.79
13694-2.1.1.19-Q,13694,2.1.1.19
13706-2.4.1.138-Q,13706,2.4.1.138
13722-3.1.1.37-Q,13722,3.1.1.37
13770-1.1.1.6-Q,13770,1.1.1.6
13802-1.8.1.2-Q,13802,1.8.1.2
13822-1.14.11.64-Q,13822,1.14.11.64
13862-1.1.1.175-Q,13862,1.1.1.175
13862-1.1.1.359-Q,13862,1.1.1.359
13894-3.6.1.29-Q,13894,3.6.1.29
13898-5.4.99.5-Q,13898,5.4.99.5
14002-2.3.1.65-Q,14002,2.3.1.65
14010-2.5.1.67-Q,14010,2.5.1.67
14102-1.14.99.29-Q,14102,1.14.99.29
14122-2.1.1.114-Q,14122,2.1.1.114
14126-2.4.1.166-Q,14126,2.4.1.166
14210-2.7.7.10-Q,14210,2.7.7.10
14262-2.3.1.132-Q,14262,2.3.1.132
14274-1.5.99.6-Q,14274,1.5.99.6
14278-1.2.1.22-Q,14278,1.2.1.22
14306-6.1.1.15-Q,14306,6.1.1.15
14334-4.6.1.14-Q,14334,4.6.1.14
14410-1.13.11.19-Q,14410,1.13.11.19
14442-2.3.1.60-Q,14442,2.3.1.60
14470-1.2.1.32-Q,14470,1.2.1.32
14530-2.7.7.35-Q,14530,2.7.7.35
14582-1.6.5.4-Q,14582,1.6.5.4
14598-2.7.8.24-Q,14598,2.7.8.24
14630-2.7.2.8-Q,14630,2.7.2.8
14666-3.5.4.3-Q,14666,3.5.4.3
14726-2.5.1.17-Q,14726,2.5.1.17
14774-2.1.1.147-Q,14774,2.1.1.147
14802-2.7.2.3-Q,14802,2.7.2.3
14826-1.1.1.275-Q,14826,1.1.1.275
14902-4.2.3.8-Q,14902,4.2.3.8
14910-1.1.1.19-Q,14910,1.1.1.19
14946-2.4.1.46-Q,14946,2.4.1.46
14978-5.5.1.5-Q,14978,5.5.1.5
14998-3.1.1.46-Q,14998,3.1.1.46
15010-1.5.1.3-Q,15010,1.5.1.3
15054-2.1.2.2-Q,15054,2.1.2.2
15066-3.5.1.40-Q,15066,3.5.1.40
15078-4.1.1.30-Q,15078,4.1.1.30
15174-1.11.1.2-Q,15174,1.11.1.2
15242-1.14.14.105-Q,15242,1.14.14.105
15282-5.3.3.5-Q,15282,5.3.3.5
15314-4.3.1.7-Q,15314,4.3.1.7
15326-2.3.1.15-Q,15326,2.3.1.15
15374-2.1.1.118-Q,15374,2.1.1.118
15414-4.2.1.32-Q,15414,4.2.1.32
15498-2.6.1.56-Q,15498,2.6.1.56
15522-2.3.1.97-Q,15522,2.3.1.97
15554-3.1.3.57-Q,15554,3.1.3.57
15558-7.2.2.11-Q,15558,7.2.2.11
15566-3.5.1.14-Q,15566,3.5.1.14
15574-2.1.1.4-Q,15574,2.1.1.4
15710-2.4.1.234-Q,15710,2.4.1.234
15730-1.1.1.57-Q,15730,1.1.1.57
15734-1.17.99.3-Q,15734,1.17.99.3
15782-5.4.3.6-Q,15782,5.4.3.6
15966-3.1.4.39-Q,15966,3.1.4.39
15994-1.14.13.40-Q,15994,1.14.13.40
16022-5.3.2.2-Q,16022,5.3.2.2
16110-2.7.1.11-Q,16110,2.7.1.11
16458-1.1.1.93-Q,16458,1.1.1.93
16466-1.1.2.5-Q,16466,1.1.2.5
16490-3.2.1.118-Q,16490,3.2.1.118
16526-2.7.1.178-Q,16526,2.7.1.178
16526-2.7.1.58-Q,16526,2.7.1.58
16558-4.1.1.45-Q,16558,4.1.1.45
16614-2.3.1.5-Q,16614,2.3.1.5
16842-2.1.1.130-Q,16842,2.1.1.130
16862-2.6.1.62-Q,16862,2.6.1.62
16930-2.3.1.127-Q,16930,2.3.1.127
16986-1.3.1.32-Q,16986,1.3.1.32
17010-6.2.1.26-Q,17010,6.2.1.26
17150-1.14.14.1-Q,17150,1.14.14.1
17198-1.2.3.13-Q,17198,1.2.3.13
17210-3.5.2.18-Q,17210,3.5.2.18
17258-1.14.14.104-Q,17258,1.14.14.104
17382-5.2.1.5-Q,17382,5.2.1.5
17390-1.1.1.250-Q,17390,1.1.1.250
17402-4.2.1.83-Q,17402,4.2.1.83
17442-2.6.1.3-Q,17442,2.6.1.3
17478-2.1.1.132-Q,17478,2.1.1.132
17510-3.5.99.2-Q,17510,3.5.99.2
17518-3.5.1.55-Q,17518,3.5.1.55
17642-4.1.1.19-Q,17642,4.1.1.19
17758-4.1.1.57-Q,17758,4.1.1.57
17766-5.4.2.4-Q,17766,5.4.2.4
17770-1.14.15.7-Q,17770,1.14.15.7
17862-5.3.1.21-Q,17862,5.3.1.21
17866-1.5.1.34-Q,17866,1.5.1.34
17942-4.2.1.99-Q,17942,4.2.1.99
17990-2.7.11.1-Q,17990,2.7.11.1
17990-2.7.11.11-Q,17990,2.7.11.11
17990-2.7.11.12-Q,17990,2.7.11.12
17990-2.7.11.13-Q,17990,2.7.11.13
17990-2.7.11.17-Q,17990,2.7.11.17
17990-2.7.11.21-Q,17990,2.7.11.21
17990-2.7.11.22-Q,17990,2.7.11.22
17990-2.7.11.24-Q,17990,2.7.11.24
17990-2.7.11.25-Q,17990,2.7.11.25
