Reaction,All ECs
10045,1.1.1.184|1.1.1.188|1.1.1.2;1.1.1.1|1.1.1.163
10049,2.5.1.48|4.2.99.9;1.1.1.124|1.1.1.138|1.1.1.14|1.1.1.67|1.1.99.11|1.14.13.50|2.5.1.18|2.5.1.48|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8
10113,4.2.1.22;2.5.1.134;4.4.1.8;4.2.1.22|4.4.1.13|4.4.1.3|4.4.1.8;4.2.1.22|4.4.1.1;4.4.1.21
10121,3.5.4.34;6.3.5.-|6.3.5.13;1.7.1.4;1.4.1.3;1.4.1.21;1.14.12.1;1.4.1.25;1.4.1.19;1.4.1.12;3.5.4.37;3.5.4.33;2.3.2.13
10125,1.14.13.92;1.14.13.225|1.6.3.1;1.6.3.2;1.6.3.5;1.11.1.6|1.14.13.225|1.3.1.95|1.6.3.1|1.6.3.3|1.6.99.3
10193,6.3.4.16|6.3.5.5
10197,4.2.1.113;4.2.99.20;2.2.1.9|2.5.1.64|4.1.1.71|4.1.3.-|4.2.99.20
10261,6.3.1.2
10265,5.1.3.3;5.1.3.44;3.2.1.22;2.7.1.1
10317,1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.66|1.14.11.68|1.14.11.69;1.14.11.54;1.14.11.53;1.14.11.33;1.14.11.51;1.13|1.13.12.19;1.14.11.26;1.14.11.37;1.14.11.6;1.14.11.74;1.14.11|1.14.11.-|1.14.11.12;1.14.11.16
10373,1.2.1|1.2.1.-|1.2.1.104|1.2.1.51|1.2.1.M10|1.2.4.1|1.2.4.2|1.2.4.4|1.8.1.4|2.3.1.12|2.3.1.168|2.3.1.61
10417,4.2.1.2;3.5.1.38|4.3.1.1;4.2.1.31|4.2.1.36;1.3.5.4;1.3.99.1
10449,1.14.20.5;1.14.11.9;1.14.11.67;1.13|1.13.12.19;1.14.20.6;1.14.11.27|1.14.11.65|1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67
10473,4.1.3.32;4.1.3.1|4.1.3.30;4.2.1.85;2.2.1.6|4.1.3.18;3.7.1.5
10605,3.1.4.3;2.7.7.15|2.7.7.57;2.7.8.27;3.1.4.2|3.1.4.38;3.1.4.12;3.1.4.4
10705,6.1.1.9
10713,1.11.1.21
10717,5.5.1.4;5.1.3.15|5.3.1.9;5.4.2.8
10793,2.3.1.161;2.3.1.119;1.13.12.17;4.1.1.23
10821,1.1.1.42;4.2.1.3;1.1.1.286|1.1.1.41|1.1.1.42|1.1.1.87
10869,2.3.1.20;2.3.1.21;2.3.1.22
10901,2.6.1.44|2.6.1.45|2.6.1.7;2.6.1.112;2.6.1.35;2.6.1.39|2.6.1.73;2.6.1.4|2.6.1.44|2.6.1.7;2.6.1.14;2.6.1.57;2.6.1.-|2.6.1.88;1.1.99.14;1.1.3.15;2.6.1.13
11017,3.5.3.4|4.3.2.3;3.5.3.9;6.3.4.6;3.5.3.1
11029,2.7.1.1|2.7.1.2;2.7.1.2
11153,1.14.13.225;1.14.13.240;1.14.13.84;1.14.13.2|1.14.13.33;1.14.13.237;1.14.14.91;1.14.13.87;1.14.13.8;1.14.13.88;1.14.14.43|1.14.14.45;1.14.13.89;1.14.14.1
11161,2.6.1.36;2.6.1.13;2.6.1.57;2.6.1.83
