EC,Weighted Score,Observed Freq,Reactions
2.7.1,448.2,21,R00811 R02630 R02631 R02704 R02738 ... (21 reactions)
3.1.3,121.8,,
3.6.1,104.6,,
2.7.8,73.7,,
2.7.4,73.6,,
2.7.7,42.7,,
3.6.3,39.1,,
2.7.11,33.1,,
3.1.4,25.9,,
2.7.2,13.3,,
3.6.4,10.0,,
2.7.6,9.9,,
2.7.3,9.7,1,R02628
3.1.7,6.6,,
4.6.1,5.5,,
2.7.9,5.1,,
3.6.5,4.6,,
2.7.12,3.1,,
3.2.1,2.6,,
2.7.13,2.5,1,R02625
4.1.1,2.3,,
2.6.-,2.0,,
2.7.-,2.0,,
1.3.7,1.5,,
1.18.6,1.5,,
2.7.10,1.5,,
4.2.3,1.0,,
2.7.99,1.0,,
3.1.5,1.0,,
2.4.1,0.9,,
5.1.3,0.9,,
1.19.6,0.8,,
3.-.-,0.8,,
