RPAIR,Score,EC,KO
RP00829,1.000,1.3.1.67,K05783
RP04911,0.877,1.3.1.-,K05783
RP04916,0.877,1.3.1.68,K05783
RP01115,0.856,1.3.1.25,K05783
RP12234,0.814,1.3.1.25,K05783
RP12231,0.809,1.3.1.25,K05783
RP12235,0.804,1.3.1.25,K05783
RP03714,0.551,1.3.1.19,K16269
RP00623,0.523,1.3.1.43 1.3.1.78 1.3.1.79,K00220 K15226 K15227
RP00334,0.523,1.3.1.12 1.3.1.13,K00210 K00211 K00220 K04517 K14187
RP01114,0.499,1.3.1.19,K16269
RP09313,0.477,1.3.1.87,K05711
RP04951,0.477,1.3.1.19,K16269
RP09576,0.438,1.3.1.87,K05711
RP01561,0.431,1.3.1.28,K00216
RP05004,0.431,1.3.1.-,K15252
RP04844,0.421,1.3.1.-,K15237 K15238
RP01465,0.409,4.2.1.51 4.2.1.91,K01713 K04518 K05359 K14170
RP01056,0.409,4.2.1.51 4.2.1.91,K01713 K04518 K05359 K14170
RP04842,0.378,1.3.1.58,K10620
RP04841,0.359,1.3.1.56,K08690
RP04843,0.346,1.3.1.56,K08690
RP01643,0.302,4.2.1.118,K09483 K15652
