Reaction ID,Theia
R00357,"1.4.3,0.9987226128578186;1.4.1,0.0006652390002273023;1.4.9,0.00010826183279277757;1.4.11,8.380766666959971e-05;4.3.1,6.935209239600226e-05"
R10835,"2.4.1,0.9995697140693665;3.2.1,0.00040758270188234746;5.1.3,1.1021327736671083e-05;2.7.7,1.0130534974450711e-05;2.4.2,9.19478509331384e-07"
R10532,"4.2.1,0.9908932447433472;5.3.99,0.004351557698100805;1.1.1,0.0029250215739011765;5.5.1,0.0008651234093122184;3.2.1,0.00027223574579693377"
R12161,"2.5.1,0.9944486618041992;4.3.1,0.0036213721614331007;4.1.99,0.0008498821407556534;4.3.3,0.00044485623948276043;1.3.98,0.0002471216139383614"
R08869,"2.7.8,0.9997931122779846;6.5.1,0.00013036426389589906;2.7.4,5.5217496992554516e-05;6.2.1,5.867950221727369e-06;2.A.3,3.453151066423743e-06"
R02360,"3.2.1,0.8814548850059509;3.4.11,0.029092630371451378;3.1.4,0.019690625369548798;3.1.1,0.011712104082107544;3.4.13,0.010398097336292267"
R13099,"4.2.3,0.9999266862869263;5.5.1,6.675356416963041e-05;4.3.2,5.103529019834241e-06;3.1.7,1.2198482863823301e-06;4.1.99,1.3447161961721577e-07"
R10446,"1.14.11,0.9989237189292908;1.4.11,0.0007559066289104521;1.14.20,0.0002921701525337994;2.6.1,1.6597663488937542e-05;3.4.-,5.180555945116794e-06"
R02161,"1.10.2,0.9975276589393616;1.1.2,0.001161392661742866;1.1.5,0.0005724280490539968;1.6.5,0.0003509107627905905;1.7.3,8.892116602510214e-05"
R10966,"2.5.1,0.9978057742118835;5.3.3,0.0010486269602552056;1.14.15,0.00043843325693160295;4.2.99,7.013152207946405e-05;2.7.8,5.8895748225040734e-05"
R13401,"2.7.1,0.5237330794334412;6.3.2,0.2003934383392334;2.7.3,0.14515939354896545;2.6.1,0.052498750388622284;6.3.5,0.026035724207758904"
R07532,"4.2.1,0.9705995917320251;1.14.13,0.011824683286249638;1.14.99,0.005578972864896059;5.4.4,0.003115663770586252;1.14.14,0.0028447238728404045"
R08891,"2.6.1,0.9922409057617188;1.1.99,0.0038257248234003782;4.6.1,0.002496567089110613;1.4.1,0.0006806540186516941;1.4.11,0.0001854982547229156"
R01627,"4.2.1,0.8477614521980286;1.1.1,0.09494137763977051;1.1.5,0.03811001032590866;1.2.1,0.010047120973467827;1.1.-,0.0060255564749240875"
R13286,"1.14.13,0.9998953342437744;1.14.15,5.800674625788815e-05;1.14.14,2.400348057562951e-05;1.13.12,6.103275154600851e-06;1.14.99,3.6887877286062576e-06"
R04321,"2.7.8,0.99959796667099;6.5.1,0.00019264353613834828;2.7.7,8.466851431876421e-05;3.1.3,6.0549511545104906e-05;2.7.1,4.111741509404965e-05"
R00626,"3.1.3,0.6841963529586792;2.7.1,0.14071911573410034;2.3.1,0.05646517872810364;4.2.1,0.03930475935339928;1.1.1,0.019030272960662842"
R08510,"1.5.1,0.9997414946556091;1.14.13,0.0001268556370632723;1.19.1,4.7614208597224206e-05;1.5.99,3.490190647426061e-05;1.2.1,1.0412250048830174e-05"
R00087,"3.6.1,0.9325005412101746;3.1.4,0.04503250867128372;3.-.-,0.006043438799679279;3.6.4,0.004738751798868179;3.6.3,0.003198361722752452"
R02925,"1.1.99,0.9666492342948914;5.4.99,0.021262826398015022;3.2.1,0.003800655947998166;1.3.8,0.002269031712785363;1.14.14,0.0018293324392288923"
R05136,"4.1.2,0.8110403418540955;4.2.1,0.1838747262954712;4.4.1,0.0024719792418181896;4.5.1,0.0008608534699305892;4.1.99,0.00048186889034695923"
R10243,"2.3.1,0.7404893040657043;2.1.1,0.2402428537607193;2.3.3,0.004419677425175905;1.2.7,0.002397922333329916;2.1.2,0.002198238391429186"
R00715,"1.5.1,0.9936354160308838;1.4.1,0.0028910934925079346;1.5.99,0.0008632486569695175;1.8.1,0.0005681689945049584;1.1.1,0.0003571622946765274"
R07475,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R04769,"4.2.99,0.9986446499824524;1.14.21,0.0011760821798816323;1.3.3,6.985018990235403e-05;2.5.1,6.208210106706247e-05;1.3.99,3.130613185930997e-05"
R08208,"1.1.1,0.9997525811195374;1.2.1,0.00010079483035951853;1.14.13,5.998077176627703e-05;1.5.1,2.474430948495865e-05;1.1.-,1.4497279153147247e-05"
R00499,"3.1.2,0.9775762557983398;2.3.1,0.012474375776946545;3.1.1,0.0039895568042993546;3.2.1,0.002875964855775237;2.5.1,0.0006432204972952604"
R02750,"2.7.1,0.995013415813446;2.7.2,0.001732019823975861;3.1.3,0.0011101964628323913;3.6.1,0.0005427378346212208;2.1.1,0.00046657733037136495"
R04264,"1.1.1,0.9892277717590332;5.3.3,0.01056095864623785;1.14.13,6.180765922181308e-05;1.3.1,5.1614264521049336e-05;1.6.5,1.9919994883821346e-05"
R04026,"3.5.2,0.9877026677131653;3.4.11,0.002440971788018942;1.14.13,0.0020167797338217497;3.5.99,0.0015702128876000643;3.5.3,0.00125570734962821"
R11382,"1.14.13,0.9999998807907104;1.14.15,1.2788940750851907e-07;1.14.-,1.6627677013048014e-08;1.1.1,2.8716118372074106e-09;1.14.14,2.4572694989899446e-09"
R10537,"2.7.1,0.7689451575279236;2.7.4,0.07311519235372543;6.5.1,0.07295652478933334;3.1.27,0.02482934482395649;4.6.1,0.009784458205103874"
R12147,"1.13.11,0.9998351335525513;1.14.12,5.18559681950137e-05;4.2.2,2.8316664611338638e-05;1.13.99,2.3295073333429173e-05;1.14.-,1.825452818593476e-05"
R10500,"2.3.1,0.5419090390205383;2.3.3,0.4453929364681244;3.1.2,0.005694831721484661;4.2.1,0.005102764815092087;3.1.1,0.0008184208418242633"
R12352,"3.5.1,0.7701662182807922;6.3.5,0.22838331758975983;3.4.17,0.0005932102794758976;4.2.1,0.00033429134055040777;3.6.1,0.00013061532808933407"
R01490,"1.2.1,0.9669332504272461;1.1.1,0.027098922058939934;1.2.3,0.0023077507503330708;2.7.2,0.0016163606196641922;2.7.1,0.0011607586639001966"
R12244,"1.3.1,0.9074188470840454;2.5.1,0.08674292266368866;1.1.1,0.0030519708525389433;1.-.-,0.0012357848463580012;5.3.3,0.0004996222560293972"
R03887,"3.5.99,0.8466963768005371;3.5.1,0.04827199876308441;3.5.4,0.03544307500123978;1.4.3,0.024612849578261375;4.3.1,0.016952838748693466"
