EC,Weighted Score,Observed Freq,Reactions
3.2.1,166.4,3,R01105 R01791
2.4.1,154.9,1,R00957
2.3.1,61.8,,
2.7.1,48.7,,
3.1.3,36.6,,
6.1.1,25.1,,
2.1.1,23.1,,
3.5.1,16.1,,
2.3.2,15.2,,
2.8.2,13.4,,
2.4.2,11.6,,
2.4.99,10.7,,
3.1.1,10.7,,
2.7.7,5.9,,
3.1.6,5.4,,
1.14.13,5.0,,
3.1.4,4.8,,
2.5.1,3.7,,
4.2.2,3.0,,
2.7.8,2.7,,
2.7.6,2.7,,
2.6.1,2.7,,
1.-.-,2.2,,
3.3.2,1.9,,
5.1.3,1.8,,
3.1.7,1.8,,
3.3.1,1.8,,
3.10.1,1.8,,
1.14.14,1.4,,
3.6.1,0.9,,
6.3.4,0.9,,
4.2.1,0.9,,
1.11.1,0.9,,
1.2.1,0.9,,
2.1.2,0.9,,
3.5.4,0.9,,
6.3.1,0.9,,
2.1.3,0.9,,
2.1.4,0.9,,
3.13.1,0.9,,
1.14.15,0.6,,
1.14.11,0.6,,
1.14.99,0.6,,
