RPAIR,Score,EC,KO
RP01537,1.000,5.1.3.5,K12448
RP04550,0.934,5.1.3.2,K01784 K15917
RP02659,0.900,5.1.3.2,K01784
RP01472,0.876,5.1.3.6,K08679
RP00888,0.829,5.1.3.2 5.1.3.7,K02473
RP10366,0.806,5.1.3.-,K10046
RP03895,0.781,5.1.3.10,K12454
RP13642,0.758,1.1.1.-,K12451
RP10365,0.754,5.1.3.18,K10046
RP01159,0.742,5.1.3.18,K10046
RP09296,0.736,,K12710 K12716
RP09025,0.724,,K16015
RP00673,0.699,1.1.1.187 1.1.1.281,K15856
RP13643,0.692,1.1.1.- 5.1.3.-,K12451
RP04566,0.688,4.2.1.76,K12450
RP05601,0.685,,K13312
RP02202,0.679,4.2.1.45,K01709
RP02491,0.668,1.1.1.133,K00067
RP05291,0.668,1.1.1.266,K13306
RP05602,0.668,,K13313
RP13707,0.666,1.1.1.-,K15858
RP13708,0.666,1.1.1.341 4.2.1.-,K12455
RP03894,0.666,1.1.1.342,K12453
RP05296,0.645,1.1.1.271,K02377
RP13706,0.644,5.1.3.-,K15857
RP01158,0.638,4.2.1.47,K01711
RP05664,0.617,5.1.3.13,K01790
RP14200,0.616,1.1.1.-,K12451
RP05663,0.606,4.2.1.46,K01710
RP02453,0.602,5.1.3.15 5.3.1.9,K01792 K01810 K06859 K13810 K15916
RP10990,0.591,1.1.1.305,K10011
RP01629,0.575,5.1.3.3,K01785 K15917
RP15952,0.571,1.1.1.335,K13016 K13020
RP15190,0.551,4.2.1.115,K15894
RP15612,0.531,1.1.1.18,K00010
RP01347,0.531,1.1.1.18,K00010
RP15614,0.531,1.1.1.-,K16043 K16044
RP13890,0.522,4.3.1.-,K13309
RP05594,0.514,,K13327
RP14034,0.514,,K13323
RP05593,0.514,,K13315
RP05598,0.504,,K13319
RP05599,0.489,2.1.1.-,K13317
RP05597,0.489,,K13316
RP05604,0.487,,K13321
RP15613,0.486,5.3.99.-,K06606
RP05592,0.480,,K13314 K16435
RP02450,0.477,1.1.1.49,K00036 K13937
RP05600,0.471,1.1.1.-,K13318
RP14221,0.454,1.1.1.329 1.1.99.38,K13548 K13549
RP05266,0.453,,K03335
RP00321,0.442,1.1.5.2 1.1.99.10 1.1.99.35,K00115 K00117
RP00184,0.442,1.1.1.47,K00034
RP00348,0.434,1.1.1.121 1.1.1.175 1.1.1.179,K00078 K14273
RP14208,0.420,5.3.1.-,K13324
RP05605,0.414,,K13322
RP02493,0.410,4.2.1.44,K03335
RP09471,0.410,,K16439
RP14242,0.393,,K13557
RP09470,0.387,,K16438
RP03730,0.370,5.1.3.19,K01794
RP14214,0.324,5.1.3.-,K17195
RP00555,0.316,1.1.1.24 1.1.1.282 1.1.5.8,K05358 K05887 K09484
