Reaction ID,BridgIT
R02997,3.1.1.42;3.1.3.25;3.1.4.44;3.2.1.175;3.7.1.8;4.6.1.13;3.1.6.1;3.1.7.3;3.6.1.20;3.1.2.31;2.4.1.17;2.3.1.85;4.2.3.1;5.1.3.14;3.1.5.1;3.11.1.3;4.2.1.155
R05764,2.1.1.72;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2
R10549,
R01488,
R02610,
R02954,
R09129,
R07212,1.14.16.2;1.14.99.46;1.14.13.71;1.14.18.1;1.14.14.9;1.14.11.21;1.14.12.9;1.14.15.3;1.2.3.9;1.14.21.2;1.14.19.44;1.10.3.4
R08035,4.3.1.24;3.5.99.5;4.3.2.1;4.2.1.87;4.3.3.1
R07447,1.1.1.201;5.3.3.1;2.3.1.85;1.2.1.3;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.56;5.4.99.3;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
R08304,1.14.12.12;1.14.13.227;1.14.15.3;1.14.14.1;1.2.3.9;1.14.18.1;1.14.21.11;1.14.99.2;1.14.11.28;1.10.3.4;1.14.16.7;1.14.19.17
R04844,
R12636,1.13.99.1;1.14.13.179;1.13.11.25;1.13.12.2
R11072,3.1.3.5;3.6.1.20;3.1.5.1;3.1.4.52;3.1.7.2;4.2.3.1;4.6.1.13;3.2.1.42;2.4.1.17;3.1.1.33;5.1.3.14;3.1.6.3;3.11.1.3;3.1.2.31;3.7.1.8;2.3.1.85;4.2.1.155
R09680,3.5.1.101;2.3.2.2;3.5.2.11;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.17.8;3.4.13.4;4.2.1.48;3.4.14.13;3.4.11.1;3.5.5.1;3.4.19.13;3.13.1.6;3.5.3.8;3.1.1.1;3.5.4.1;1.2.7.12;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4
R11953,2.1.1.72;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2
R09099,2.3.1.101;2.1.2.1;2.1.1.86;2.1.3.2;2.8.4.4
R11589,2.3.1.230;2.3.3.17;6.2.1.11;2.3.2.14;1.2.1.95;6.3.1.20;6.3.4.10;2.1.3.12;6.1.2.2;2.1.2.5
R04555,2.1.1.72;2.1.2.3;2.1.3.2;2.3.1.101;2.8.4.4
R06921,1.13.11.38;1.13.12.23;1.13.99.1;1.14.13.239
R00841,3.1.3.21;3.1.4.46;4.2.3.1;3.6.1.7;3.11.1.1;3.1.7.6;3.1.1.79;3.1.5.1;4.6.1.13;3.2.1.42;2.4.1.17;5.1.3.14;3.1.6.17;3.1.2.16;2.3.1.85;4.2.1.155;3.7.1.8
R12236,
R04373,1.11.1.8
R05409,1.13.11.39;1.13.12.4;1.13.99.1;1.14.13.239
R11534,2.1.1.328;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2
R10974,
R08045,1.7.1.15;1.7.99.1;1.7.3.3
R09563,
R02581,
R11094,3.5.4.31;2.1.2.3;4.3.2.4;3.5.99.6;3.5.2.3;3.5.3.22;3.5.1.26;3.8.1.8;3.4.14.13;2.3.2.2;3.4.17.21;4.2.1.48;3.4.13.4;3.4.19.13;3.4.11.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.1.1.1;3.5.5.1;3.13.1.6;1.2.7.12
R12797,
R03045,3.1.7.2;3.1.3.7;3.1.4.52;3.6.1.20;3.1.5.1;4.6.1.13;3.2.1.184;2.4.1.17;5.1.3.14;3.1.1.31;4.2.3.1;3.1.6.9;3.1.2.17;4.2.1.155;3.11.1.3;3.7.1.8;2.3.1.85
R09726,2.7.7.75;2.7.4.12;2.7.2.6;2.7.3.8;2.7.1.82;6.3.5.5;2.7.11.15;2.7.14.1;2.7.10.1;2.7.12.1;2.7.8.38;2.7.6.1;2.7.99.1
