EC,Weighted Score,Observed Freq,Reactions
1.14.13,367.4,8,R04826 R06294 R07204 R08784 R09868
1.14.14,30.2,,
4.1.1,21.2,,
1.14.11,15.9,2,R03009 R06336
2.5.1,15.9,,
1.14.15,13.7,1,R10047
2.1.1,10.4,,
1.97.1,8.8,,
1.14.16,8.4,,
1.14.-,8.2,,
1.14.18,7.2,,
1.14.99,6.7,,
4.2.1,4.9,,
4.1.99,4.5,,
1.14.21,4.0,,
1.17.1,4.0,,
1.11.1,3.9,,
3.7.1,3.2,,
3.8.1,2.9,,
1.22.1,2.9,,
3.5.3,2.9,,
1.10.99,2.9,,
1.13.11,2.4,,
6.4.1,2.0,,
1.10.3,2.0,,
4.1.2,1.8,,
1.4.-,1.4,,
1.1.1,1.3,,
1.17.99,1.2,,
2.4.1,1.0,,
3.5.99,1.0,,
1.2.1,1.0,,
1.3.1,1.0,,
2.1.2,1.0,,
1.3.99,1.0,,
3.2.-,1.0,,
3.13.1,1.0,,
1.3.7,0.9,,
1.14.20,0.9,,
1.-.-,0.8,,
1.14.17,0.8,,
1.17.7,0.6,,
1.7.3,0.4,,
1.17.3,0.4,,
4.99.1,0.4,,
2.8.4,0.4,,
4.7.1,0.4,,
3.1.6,0.2,,
2.3.1,0.2,,
1.6.6,0.2,,
