EC,Weighted Score,Observed Freq,Reactions
4.1.1,79.6,47,R00178 R00261 R00451 R00462 R00489 ... (40 reactions)
1.14.13,49.4,20,R03476 R06265 R06525 R06526 R06890 ... (20 reactions)
4.1.2,23.3,16,R00751 R01014 R01766 R01829 R02262 ... (15 reactions)
2.3.1,21.6,9,R00371 R00927 R03719 R04811 R05330
4.1.3,17.0,8,R00409 R00477 R00478 R00479 R00934
1.14.14,14.7,9,R07046 R07054 R08271 R08274 R08325 ... (9 reactions)
1.14.11,10.1,8,R02397 R03376 R03451 R04073 R05466
1.14.-,9.7,5,R07431 R07448 R08173 R09102 R09460
1.14.15,9.4,3,R02723 R04854 R05739
1.1.1,7.0,5,R00268 R01652 R01936 R07105 R07406
6.4.1,6.5,3,R01859 R08201 R08924
1.14.99,6.2,1,R04437
3.7.1,6.1,,
2.1.1,5.1,3,R01972 R01973 R09939
2.1.2,3.2,2,R00945 R09099
2.1.3,3.0,1,R00930
1.13.11,2.5,2,R05718 R07061
1.97.1,2.4,1,R09155
4.1.99,2.4,,
2.5.1,2.3,,
1.17.99,2.0,2,R05745 R07374
1.14.17,2.0,2,R02535 R03912
1.14.18,1.8,,
1.14.12,1.5,1,R05425
2.8.1,1.5,,
3.11.1,1.5,,
1.17.1,1.1,,
4.2.1,1.1,,
1.2.4,1.0,,
1.1.99,1.0,1,R04249
4.3.1,1.0,1,R08846
1.17.-,1.0,1,R05495
1.14.16,0.9,,
2.2.1,0.8,,
1.2.1,0.7,,
1.14.21,0.6,,
4.4.1,0.5,,
1.3.8,0.5,,
1.-.-,0.5,,
1.17.7,0.5,,
1.11.1,0.4,,
1.5.99,0.3,,
1.22.1,0.3,,
1.3.99,0.2,,
1.10.3,0.2,,
1.13.12,0.2,,
