Reaction ID,SelenzymeRF
R02997,2.3.1.98;3.1.1.42;2.3.1|2.3.1.133|2.3.1.99|3.1.2.-;1.1.99.35;5.5.1.1;5.5.1.7;3.2.1.14
R05764,2.1.1.197;2.1.1.145;2.1.1.80;2.1.1.77
R10549,1.2.1.50;1.2.1.80;1.6.5.4;1.6.3.2;1.3.1.102;1.3.1.102|1.3.1.74;1.12.1.3|1.12.1.5;1.11.1.21;1.11.1.1|1.11.1.2
R01488,1.1.1|1.1.1.19|1.1.1.2|1.1.1.21|1.1.1.91;1.1.1.21|1.1.1.90;1.6.5.2
R02610,1.3.1|1.3.1.-|1.3.1.22|1.3.99.-;1.1.1.145|5.3.3.1;1.1.1.181;1.1.1.-|1.1.1.100|2.3.1.85|2.3.1.86;1.3.1.-|1.3.1.10|1.3.1.104|1.3.1.39;1.2.1.-|1.2.1.103|1.2.1.ag
R02954,1.3.1.45;1.6.5.4;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
R09129,1.1.1.233;1.1.1.211|1.1.1.35
R07212,1.14.16.2;1.14.16.7;1.14.16.1;1.14.16.4;1.10.3.1|1.14.18.1;1.14.16.5;4.2.1.96
R08035,1.8.99.3|1.8.99.5;1.12.99.6|1.2.7.1|1.2.7.4|1.2.99.2;5.4.4.1;5.4.4.3;1.10.5.1;1.6.5.2
R07447,1.3.1|1.3.1.-|1.3.1.22|1.3.99.-;1.1.1.145|5.3.3.1;1.1.1.-|1.1.1.100|2.3.1.85|2.3.1.86;1.1.1.181;1.3.1.-|1.3.1.10|1.3.1.104|1.3.1.39|2.3.1.86;1.2.1.-|1.2.1.103|1.2.1.ag
R08304,1.14.14.-|1.14.14.1
R04844,1.1.1.53;1.6.5.4;1.1.1.146;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R12636,2.4.99.7;2.4.99.2|2.4.99.4;2.4.99.8;2.4.99.3;2.7.8.41;3.6.1.26;3.2.1.18
R11072,4.2.1.160;3.5.4.16
R09680,3.5.1.101;3.5.1.1;3.5.3.1;6.3.2.3
R11953,2.1.1.348;2.1.1.346;2.1.1.181;2.1.1.182|2.1.1.183|2.1.1.184
R09099,2.1.2|2.1.2.-|2.1.2.1
R11589,2.3.1.179|2.3.1.41|2.3.1.85|2.3.1.86;2.3.1.207;2.3.1.-|2.3.1.179|2.3.1.199|2.3.1.41;1.1.1.286|1.1.1.87;4.1.1.68;2.3.1.47
R04555,2.8.1.11|2.8.1.4
R06921,1.13.11.-|1.13.11.56;1.13.11.38;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.10.3.2
R00841,2.7.1.30
R12236,1.3.1.118;1.3.1.9;1.3.1.-|1.3.1.10|1.3.1.104|1.3.1.39
R04373,3.1.4.45;3.2.1.49;1.1.1.124|1.1.1.138|1.1.1.14|1.1.1.67|1.1.99.11|1.14.13.50|2.5.1.18|2.5.1.48|2.7.1.-|2.7.1.162|2.7.1.221|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8;2.7.1.157;2.7.1.162
R05409,1.13.11.39;1.13.11.2;1.13.11.1;1.13.11.-|1.13.11.16|1.13.11.2|1.13.11.39;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7
R11534,2.1.1.328;2.1.1.163
R10974,1.3.8.1;1.3.8.7|1.3.8.8;4.2.1.17;4.2.1.-|4.2.1.134
R08045,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R09563,1.11.1.17;1.11.1.9;1.11.1.12;1.11.1.27;1.4.3.13;1.11.1.12|2.5.1.18;1.21.4.5|1.8.99.-|2.5.1.-;2.8.1.3
R02581,1.1.1.184|1.1.1.189;1.1.1.188|1.1.1.62|1.3.1.20;1.1.1.188|1.1.1.51;1.6.5.4;1.11.1.1|1.11.1.2;1.6.3.2
R11094,3.5.4.46;1.1.1.37
R12797,3.1.1.43;3.1.4.46;3.1.1.1
R03045,1.3.8.1;4.2.1.17;4.2.1.-|4.2.1.134
R09726,2.7.7.96;2.7.7.2;2.7.4.3
R02706,2.7.1.60;2.7.1.193|2.7.1.69;2.7.1.59;5.4.2.2
R02599,4.6.1.2;2.7.7.38
R01511,5.4.2.7
R12817,1.14.13.242;3.5.4.11;1.10.3.4;2.4.2.31;2.6.1.63|2.6.1.7;1.1.1.328;2.1.1.74
R12910,3.5.1.3;3.4.22.59|3.4.22.60|3.4.22.61;3.5.1.121;2.3.2.29
R10496,6.3.5.9;3.6.1.21|3.6.1.9
