EC,Weighted Score,Observed Freq,Reactions
1.14.13,409.2,67,R00815 R01296 R01298 R01628 R01960 ... (61 reactions)
1.14.14,32.4,10,R02354 R02355 R02698 R03088 R03090 ... (10 reactions)
1.14.11,14.3,,
1.14.15,12.4,,
1.14.16,9.0,4,R01815 R01816 R02339 R07212
1.14.-,8.2,1,R04257
1.14.99,8.1,1,R10193
1.14.18,8.0,7,R00031 R00731 R02078 R02383 R02950
1.17.1,3.9,,
1.1.1,3.3,,
1.10.99,2.9,,
1.13.11,2.9,,
1.10.3,2.0,2,R00031 R02078
1.97.1,2.0,,
3.5.3,1.4,,
1.17.99,1.0,,
1.3.99,1.0,1,R03687
1.2.1,1.0,,
1.3.7,1.0,,
1.14.20,1.0,,
4.1.99,1.0,,
3.7.1,0.9,,
1.6.6,0.9,,
1.-.-,0.9,,
1.17.7,0.5,,
1.14.12,0.5,,
1.17.3,0.5,,
1.7.3,0.5,,
1.14.17,0.5,,
