EC,Weighted Score,Observed Freq,Reactions
3.5.1,47.7,22,R00256  R00269  R00348  R00485  R01076  ... (17 reactions)
6.3.5,36.5,28,R00256  R00257  R00483  R00575  R00578  ... (17 reactions)
6.3.1,6.2,3,R00253  R00482  R00483
1.4.1,4.0,3,R00093  R00114  R00256
4.3.3,4.0,3,R00256  R07456  R10089
6.3.4,3.4,2,R00256  R00573
2.6.1,3.0,3,R00768  R01716  R08956
1.4.7,3.0,2,R00021  R00256
2.4.2,2.0,2,R01072  R04558
4.1.3,2.0,2,R00986  R04558
3.5.5,2.0,1,R00485
2.3.1,0.4,,
2.1.2,0.4,,
6.3.2,0.2,,
3.5.4,0.2,,
