EC,Weighted Score,Observed Freq,Reactions
3.5.1,60.9,8,R01268 R01424 R01425 R02322 R05167
6.2.1,50.3,9,R00982 R01300 R01422 R02986 R03932 ... (9 reactions)
3.1.2,37.2,2,R01301 R07262
2.8.3,32.8,1,R07881
6.3.2,24.0,4,R02237 R04591 R07644
6.3.5,23.4,2,R00189 R00257
3.7.1,21.5,8,R00987 R02606 R02668 R03936 R05359
6.3.1,12.7,1,R00189
6.3.4,6.6,,
3.4.13,6.3,,
2.3.2,3.9,,
2.3.1,3.3,,
3.4.19,2.3,,
1.4.1,2.3,,
4.3.3,2.3,,
2.6.1,2.3,,
1.13.11,1.9,1,R01305
1.4.7,1.5,,
3.1.1,1.5,,
2.4.2,1.5,,
4.1.3,1.5,,
1.14.13,0.9,,
3.4.17,0.9,,
4.1.1,0.8,,
3.5.5,0.8,,
1.2.3,0.8,,
3.2.1,0.8,,
1.2.4,0.8,,
1.14.14,0.4,,
3.4.11,0.3,,
1.14.99,0.2,,
2.1.2,0.2,,
1.2.99,0.2,,
3.5.4,0.2,,
4.1.99,0.2,,
2.1.1,0.2,,
