EC,Weighted Score,Observed Freq,Reactions
2.3.1,318.7,15,R01204  R02058  R03056  R03767  R04348  ... (14 reactions)
3.5.1,135.9,16,R01200  R02059  R02170  R02333  R03421  ... (16 reactions)
6.2.1,25.0,,
2.3.2,19.0,1,R08909
3.1.2,19.0,,
3.1.1,16.3,,
6.3.2,13.0,,
6.3.1,12.9,1,R09591
1.2.1,11.1,,
6.3.4,10.8,1,R04144
2.3.3,7.0,,
2.1.3,6.1,,
3.4.11,6.0,,
3.4.13,3.7,,
1.2.7,3.1,,
6.1.1,2.5,,
2.1.2,2.2,,
3.7.1,2.0,,
3.5.3,1.1,,
3.5.4,1.0,,
6.3.5,1.0,,
4.3.2,1.0,,
1.2.4,0.9,,
1.8.1,0.9,,
1.1.1,0.9,,
2.7.7,0.9,,
2.3.-,0.8,,
4.1.3,0.6,,
1.2.99,0.6,,
2.5.1,0.6,,
2.8.3,0.6,,
4.4.1,0.6,,
3.4.19,0.6,,
3.2.1,0.6,,
2.1.1,0.6,,
3.4.17,0.4,,
2.6.1,0.3,,
1.2.3,0.3,,
1.-.-,0.2,,
