RPAIR,Score,EC,KO
RP04772,1.000,3.5.1.25,K02079
RP00461,1.000,2.3.1.4 3.5.1.25,K00621 K01443
RP04935,0.726,2.3.1.157,K04042
RP03775,0.710,6.3.4.13,K01945 K11787 K11788 K13713
RP14224,0.583,3.5.1.112,K13551 K17078
RP15477,0.543,2.3.1.202,K15896
RP15894,0.543,2.3.1.203,K15913
RP15896,0.531,2.3.1.201,K13018
RP04235,0.417,3.5.1.108,K02535 K16363
RP12083,0.367,2.1.2.13,K10011
RP14236,0.367,3.5.1.113,K17078
RP14252,0.358,2.3.2.19,K13563
RP03091,0.337,2.1.4.2,K04340
RP02132,0.319,3.5.1.41,K01452
RP02013,0.312,3.5.1.11,K01434
RP04196,0.301,2.3.1.191,K02536
