EC,Weighted Score,Observed Freq,Reactions
2.3.1,854.9,90,R00049  R00586  R00851  R01013  R01023  ... (85 reactions)
6.2.1,78.1,,
3.1.1,76.3,34,R00327  R01026  R01029  R01314  R01316  ... (31 reactions)
3.1.2,59.0,,
1.2.1,36.0,,
6.1.1,27.8,,
2.3.3,22.6,,
2.3.2,21.0,2,R03039  R03771
3.5.1,12.6,3,R02359  R02551  R02552
1.2.7,10.0,,
3.7.1,6.9,,
3.2.1,3.9,,
2.1.3,3.2,2,R04281  R05230
1.2.4,3.0,,
1.8.1,3.0,,
1.1.1,3.0,,
4.1.3,2.3,,
2.5.1,2.0,,
2.3.-,2.0,,
2.8.3,2.0,,
4.4.1,2.0,,
2.1.1,2.0,,
1.-.-,1.9,,
1.2.3,1.0,,
6.1.2,1.0,,
3.5.3,1.0,,
2.6.1,1.0,,
6.3.1,0.8,,
6.3.4,0.6,,
6.3.2,0.4,,
2.1.2,0.3,,
2.2.1,0.3,,
3.4.11,0.2,,
