RPAIR,Score,EC,KO
RP00197,0.158,3.5.4.13 6.3.4.2,K01494 K01937
RP16144,0.156,3.5.4.35,K16930
RP11109,0.145,3.5.4.30,K09887
RP02125,0.141,3.5.4.13,K01494
RP01815,0.111,3.5.4.5,K01489
RP01677,0.110,3.5.4.12,K01493
RP13195,0.108,3.5.4.5,K01489
RP16138,0.104,3.5.4.33,K11991
RP16141,0.104,3.5.4.34,K15440
RP02251,0.093,3.5.4.5,K01489 K10989
RP01321,0.090,1.1.1.205,K00088
RP13056,0.086,1.1.1.205,K00088
RP00573,0.085,6.3.5.2,K01951
RP03069,0.079,3.5.4.26,K01498 K11752
RP03973,0.075,3.5.4.17 3.5.4.6,K01490
RP13247,0.073,6.3.5.2,K01951
RP01325,0.065,6.3.4.4,K01939
RP01594,0.065,3.5.4.4,K01488
RP02305,0.053,3.5.4.4,K01488
RP14672,0.053,,K14655
RP13033,0.049,1.17.3.2,K00106
