Reaction ID,BridgIT
R10609,2.4.1.234;2.4.2.56;2.4.99.18
R13196,1.13.11.54;1.13.12.4;1.13.99.1;1.14.13.239
R01963,
R02750,2.7.1.15;2.7.2.7;6.3.5.5;2.7.3.8;2.7.7.96;2.7.11.2;2.7.4.8;2.7.14.1;2.7.10.1;2.7.12.1;2.7.6.1;2.7.8.4;2.7.99.1
R08870,2.3.3.18;2.3.1.182;6.2.1.1;2.3.2.14;2.1.3.5;1.2.1.95;6.1.2.2;6.3.1.20;6.3.4.10;2.1.2.2
R00192,3.3.1.1;3.2.2.1;4.2.1.22;3.1.2.13;3.3.2.4;2.5.1.18;3.2.1.86;1.14.14.1;2.3.1.85;3.1.1.35;3.7.1.8;2.1.1.246
R03789,
R02791,2.4.1.87;2.4.2.34;2.4.99.1
R08010,
R05563,3.5.1.84;3.5.3.21;3.5.5.1;3.5.2.16;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;1.2.7.12;3.4.13.22;3.4.11.1;3.5.4.1;4.2.1.48;2.3.2.2;3.1.1.1;3.13.1.6;3.8.1.8;3.4.19.13;3.4.17.8;3.4.14.13;2.1.2.3;3.5.99.8;4.3.2.4
R00491,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239
R12012,2.4.1.17;2.4.2.34;2.4.99.18
R04741,
R04340,
R01337,
R00810,2.4.1.166;2.4.99.1;2.4.2.35
R08759,4.2.1.98;4.2.3.141;1.14.13.197;3.1.7.12;3.2.1.186;4.2.99.20;3.7.1.21;2.3.1.85;4.3.3.3;4.3.1.9;1.1.1.286;3.3.1.1;4.1.1.56;1.2.1.31;1.4.1.18;2.5.1.119;5.5.1.2;3.5.5.4;1.3.8.6;1.17.98.2;1.1.3.47;3.5.1.110;2.7.8.23
R05876,
R02305,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
R03055,3.5.2.2;3.5.1.95;3.5.4.1;3.4.13.4;3.5.5.4;3.4.11.1;3.5.3.21;4.2.1.48;2.3.2.2;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.17.8;3.4.19.13;3.13.1.6;1.2.7.12;3.4.14.13;3.1.1.1;2.1.2.3;3.8.1.8;3.5.99.6;4.3.2.4
R09986,
R13359,
R13330,
R12821,
R07898,
R02648,3.1.4.42;3.1.3.19;3.6.1.7;4.2.3.1;3.11.1.1;3.1.7.6;3.1.1.23;4.6.1.13;3.1.5.1;3.1.6.17;3.2.1.42;2.4.1.17;3.1.2.16;5.1.3.14;4.2.1.155;2.3.1.85;3.7.1.8
R06642,1.1.1.100;2.3.1.85;1.2.1.3;1.3.1.20;1.17.1.4;5.3.3.1;1.1.3.16;4.1.1.56;5.4.99.3;1.1.99.9;1.1.5.4;4.2.1.155;1.4.3.5
R04389,1.13.99.1;1.13.12.2;1.13.11.56;1.14.13.239
R00577,2.3.1.68;2.3.3.9;6.2.1.1;2.1.3.2;2.3.2.30;1.2.1.95;6.3.4.10;2.1.1.98;6.3.1.20;6.1.2.2;2.1.2.5;2.8.4.4
R03465,4.1.2.34;4.1.1.77;4.1.99.11;1.1.1.38;4.1.3.39;2.1.2.11;4.2.99.21;1.3.8.6;4.2.1.155;3.1.1.82
R04560,2.1.2.3;2.1.1.282;2.3.1.101;2.1.3.2;2.8.4.4
R02768,2.3.1.179;2.3.2.30;2.3.3.10;6.2.1.51;1.2.1.95;2.1.3.5;6.3.1.20;6.3.4.10;6.1.2.2;2.1.2.2
