RPAIR,Score,EC,KO
RP05493,1.000,5.5.1.12,K12927 K14041 K14042
RP11107,1.000,5.5.1.14,K12928 K14043
RP01949,1.000,5.5.1.13,K04120
RP15483,0.731,3.1.7.10,K16086
RP15068,0.496,4.2.3.70,K15807
RP09176,0.488,4.2.3.17,K12921
RP11146,0.449,4.2.3.37,K10156
RP15046,0.431,4.2.3.69,K15799
RP15556,0.418,5.4.99.52,K16204
RP15558,0.403,5.4.99.54,K16204
RP15182,0.402,5.4.99.32,K15811
RP15560,0.400,5.4.99.56,K16205
RP15210,0.399,5.4.99.37,K15810
RP02834,0.397,5.4.99.7,K01852
RP15038,0.397,4.2.3.50,K15798
RP15561,0.396,5.4.99.57,K16206
RP15197,0.393,4.2.1.125,K15817
RP14389,0.378,4.2.3.39,K14176
RP15181,0.377,5.4.99.33,K15812
RP15195,0.358,4.2.1.124,K15823
RP15207,0.354,5.4.99.31,K15821
RP11269,0.336,5.4.99.41,K15815 K15816
RP02117,0.334,4.2.3.6,K12249
RP15557,0.330,5.4.99.53,K16207
RP11267,0.328,5.4.99.40,K15815
RP15253,0.328,4.2.1.128,K15816
RP12981,0.324,4.2.3.58,K14185
RP11568,0.323,5.5.1.19,K06443
RP01906,0.320,5.5.1.8,K15098
RP11268,0.317,5.4.99.39,K15813 K15815
RP15290,0.317,5.4.99.35,K15819
RP15208,0.316,5.4.99.34,K15818
RP15209,0.309,5.4.99.36,K15820
RP12978,0.309,4.2.3.57,K14184 K15808
RP13638,0.306,4.2.3.73,K14181
RP14980,0.305,4.2.3.61,K15804
RP02118,0.305,4.2.3.9,K14180
