EC,Weighted Score,Observed Freq,Reactions
2.4.1,538.0,355,R00292 R00417 R00503 R00506 R00766 ... (341 reactions)
3.2.1,138.5,5,R00337 R00414 R02707 R08615 R10187
2.8.2,74.6,52,R00535 R00536 R00537 R00629 R01027 ... (46 reactions)
2.4.99,48.5,27,R03468 R03488 R03489 R04216 R04532 ... (26 reactions)
2.4.2,35.7,25,R01472 R02119 R03268 R03356 R03928 ... (20 reactions)
3.1.4,30.0,30,R00857 R01006 R01030 R01193 R01310 ... (28 reactions)
2.1.1,24.9,,
3.1.6,9.1,,
2.5.1,4.0,,
1.8.4,3.0,3,R02021 R05717 R07176
1.8.99,3.0,3,R00860 R04927 R08553
3.3.2,2.6,,
4.4.1,2.3,,
1.11.1,2.2,,
4.2.2,2.0,,
3.6.1,2.0,2,R00507 R09834
5.1.3,2.0,2,R00414 R02707
6.5.1,2.0,2,R00381 R00382
3.1.8,2.0,2,R03979 R05548
3.6.2,2.0,2,R00507 R00531
4.2.1,1.6,,
1.14.99,1.0,,
3.1.3,1.0,1,R00118
2.7.8,1.0,1,R10185
4.6.1,1.0,1,R03332
4.2.99,1.0,,
1.14.11,0.4,,
1.14.21,0.3,,
1.14.13,0.2,,
