RPAIR,Score,EC,KO
RP03963,1.000,1.1.1.50,K00037
RP14146,0.995,1.1.1.213,K00089 K04119
RP00794,0.995,1.1.1.50,K00037
RP14149,0.995,1.1.1.213,K00089 K04119
RP14145,0.994,1.1.1.213,K00089 K04119
RP00381,0.990,1.1.1.209 1.1.1.213 1.1.1.50,K00037
RP15617,0.990,1.1.1.51,K05296
RP00748,0.990,1.1.1.152 1.1.1.50,K00037
RP00791,0.984,1.1.1.50,K00037
RP00793,0.980,1.1.1.50,K00037
RP00790,0.977,1.1.1.50,K00037
RP00789,0.973,1.1.1.50,K00037
RP00788,0.968,1.1.1.50,K00037
RP00786,0.966,1.1.1.50,K00037
RP15618,0.964,1.1.1.51,K05296
RP12004,0.954,1.14.-.-,K09589
RP09136,0.944,1.1.1.50,K00037
RP11539,0.941,1.1.1.270,K09827 K13373
RP11993,0.941,1.14.-.-,K09589
RP00675,0.928,1.1.1.51,K05296
RP00491,0.923,1.1.1.239 1.1.1.51 1.1.1.64,K04119 K05296 K10207 K13368 K13369 K13370
RP14139,0.907,1.1.1.62,K00044 K10251 K13368 K13369 K13370 K13373
RP02161,0.905,1.1.3.16,K10724
RP05632,0.820,,K14373
RP05634,0.820,,K14373
RP05633,0.815,,K14373
RP05635,0.815,,K14373
RP14621,0.801,1.14.13.106,K12645
RP14618,0.801,1.14.13.106,K12645
RP14082,0.798,1.1.1.295,K13070
RP15487,0.786,1.3.99.4,K05898
RP07501,0.751,1.14.99.9,K00512
RP01796,0.747,1.14.99.9,K00512
RP11999,0.730,1.14.-.-,K09590 K12640
RP00350,0.729,1.1.1.51 1.1.1.62,K00044 K05296 K10251 K13368 K13369 K13370 K13373
RP00792,0.725,1.1.1.146,K15680
RP00714,0.714,1.1.1.- 1.1.1.146,K00071 K15680
RP00777,0.706,1.1.1.62,K00044 K10251 K13368 K13369 K13370 K13373
RP00785,0.704,1.1.1.146,K15680
RP00415,0.696,1.1.1.- 1.1.1.146,K00071 K15680
RP14985,0.654,1.14.13.121,K15472
RP12008,0.638,1.1.1.170,K07748
RP00698,0.617,1.1.1.218,K03378
RP04720,0.616,1.1.1.247,K13394
RP04335,0.584,1.1.1.248,K13392
RP02594,0.578,1.1.1.236,K05354
RP02541,0.578,1.1.1.206,K08081
RP00472,0.532,1.1.1.145 5.3.3.1,K00070 K01822
RP00386,0.531,1.1.1.145 5.3.3.1,K00070 K01822
RP00731,0.531,1.1.1.145 5.3.3.1,K00070 K01822
RP00494,0.527,1.1.1.145 5.3.3.1,K00070 K01822
RP00776,0.527,1.1.1.145 5.3.3.1,K00070 K01822
RP00661,0.526,1.1.1.145 5.3.3.1,K00070 K01822
RP00795,0.526,1.1.1.145 5.3.3.1,K00070 K01822
RP01523,0.526,1.1.1.145 1.1.3.6 5.3.3.1,K03333 K16045
RP15616,0.520,5.3.3.1,K01822
RP13719,0.519,1.1.1.181,K12408
RP13718,0.519,1.1.1.181,K12408
RP03893,0.519,1.1.1.181,K12408
RP13728,0.519,1.1.1.181,K12408
RP14036,0.518,1.1.1.181,K12408
RP00422,0.518,1.1.1.145 5.3.3.1,K00070 K01822
RP09445,0.508,,K12920
RP11654,0.475,1.14.11.31,K14976
