EC,Weighted Score,Observed Freq,Reactions
1.14.13,306.7,2,R04060 R09193
4.1.1,36.6,,
1.14.14,31.9,,
2.5.1,25.8,,
1.14.11,24.1,,
2.1.1,20.5,,
1.14.99,20.0,,
1.14.15,13.9,,
1.17.4,11.7,,
1.14.-,9.7,,
1.97.1,9.7,,
1.2.4,9.7,,
1.14.16,8.7,,
1.14.18,8.7,,
1.17.1,8.2,,
3.5.99,7.8,,
2.2.1,7.7,,
4.2.1,6.2,,
3.7.1,6.1,,
1.14.12,6.0,,
1.14.21,5.8,,
2.3.1,5.1,,
3.5.4,4.9,,
3.8.1,4.9,,
1.11.1,3.9,,
1.17.99,3.7,,
4.1.3,3.6,,
4.1.2,3.6,,
1.7.2,2.9,,
3.1.1,2.9,,
1.5.99,2.9,,
1.22.1,2.9,,
4.1.99,2.8,,
1.1.1,2.8,,
1.1.4,2.7,,
1.10.99,2.7,,
1.13.11,2.2,,
1.17.2,1.9,,
1.10.3,1.9,,
1.3.99,1.9,,
2.8.1,1.6,,
1.17.3,1.5,,
6.4.1,1.4,,
1.7.3,1.1,,
6.3.4,1.0,,
2.1.2,1.0,,
1.7.1,1.0,,
2.4.1,1.0,,
1.4.-,1.0,,
1.3.1,1.0,,
1.3.7,1.0,,
3.13.1,1.0,,
3.2.-,1.0,,
1.14.20,1.0,,
2.1.3,0.8,,
3.11.1,0.6,,
3.5.3,0.6,,
1.5.1,0.5,,
4.99.1,0.5,,
4.7.1,0.5,,
2.8.4,0.5,,
1.13.12,0.4,,
4.4.1,0.2,,
1.3.8,0.2,,
1.-.-,0.2,,
1.17.7,0.2,,
2.6.3,0.2,,
