EC,Weighted Score,Observed Freq,Reactions
1.1.1,440.3,2,R02906 R03322
2.6.1,70.7,,
1.4.3,39.1,,
1.1.3,27.2,,
1.1.99,19.8,,
1.14.13,19.4,,
1.5.3,10.4,,
1.14.14,8.7,,
1.14.11,8.3,,
4.2.1,8.1,,
1.1.-,7.4,,
1.1.2,7.2,,
5.3.3,7.1,,
1.14.15,6.7,,
1.4.1,6.0,,
1.1.5,5.0,,
1.5.1,4.1,,
1.23.1,3.9,,
1.13.12,3.0,,
1.14.-,2.9,,
1.13.11,2.7,,
1.5.99,2.6,,
1.8.3,2.6,,
1.4.9,2.6,,
1.3.1,2.2,1,R05308
1.1.98,1.9,,
1.4.2,1.7,,
1.-.-,1.2,,
1.11.1,1.0,,
1.4.99,1.0,,
2.-.-,1.0,,
1.10.1,1.0,,
1.14.19,1.0,,
1.13.-,0.9,,
2.3.1,0.9,,
1.14.99,0.9,,
1.7.3,0.9,,
1.1.9,0.9,,
1.2.4,0.6,,
4.3.1,0.2,,
1.6.5,0.2,,
1.6.99,0.2,,
5.4.99,0.2,,
1.3.-,0.2,,
1.17.5,0.2,,
