RPAIR,Score,EC,KO
RP14281,0.136,4.2.1.-,K11336
RP14285,0.134,4.2.1.-,K11336
RP14298,0.125,,K11336 K13601 K13602 K13603
RP11729,0.124,5.5.1.6,K01859
RP09082,0.118,5.5.1.6,K01859
RP02223,0.117,5.5.1.6,K01859
RP12035,0.115,4.2.1.131,K09844
RP11923,0.110,1.3.99.-,K15571
RP10810,0.104,2.5.1.-,K02257 K02301
RP11924,0.102,4.2.1.-,K15572
RP11808,0.095,5.5.1.6,K01859
RP14735,0.089,1.14.14.1,K07410
RP14400,0.089,1.14.12.12,K14578 K14579 K14580 K14581
RP10198,0.087,1.14.14.1,K07408 K07410 K07413 K07424
RP12208,0.086,1.21.3.6,K13079
RP11933,0.084,1.14.12.12,K14578 K14579 K14580 K14581
RP12210,0.084,1.21.3.6,K13079
RP14739,0.084,1.14.14.1,K07408 K07410
RP10272,0.083,1.14.14.1,K07408 K07410 K07413 K07424
RP10197,0.083,1.14.14.1,K07408 K07410 K07413 K07424
RP14593,0.081,,K15927
RP11105,0.076,1.3.1.83,K10960
RP11424,0.074,1.14.12.12,K14578 K14579 K14580 K14581
RP09630,0.073,1.14.12.12,K14578 K14579 K14580 K14581
RP09229,0.065,1.14.13.28,K13261
RP09615,0.064,1.14.12.12,K14578 K14579 K14580 K14581
RP14280,0.064,,K11333 K11334 K11335
RP14286,0.063,,K11333 K11334 K11335
RP01963,0.062,4.2.1.18,K05607 K13766
RP03465,0.062,1.3.1.33 1.3.7.7,K00218 K04037 K04038 K04039
RP01522,0.061,1.3.1.72,K09828
RP05485,0.059,1.3.1.33,K00218
RP02645,0.059,1.14.12.12,K14578 K14579 K14580 K14581
RP11801,0.058,1.3.8.3,K07545
RP11569,0.058,4.2.1.131,K09844
RP11930,0.055,,K09834
RP10225,0.055,1.14.14.1,K07408 K07409 K07412 K07415 K07416
RP10224,0.055,1.14.14.1,K07408 K07409 K07412 K07415 K07416
RP12031,0.054,4.2.1.131,K09844
RP12034,0.054,4.2.1.131,K09844
RP10130,0.054,1.14.14.1,K07408 K07409 K07412 K07415 K07416 K07420
RP10131,0.054,1.14.14.1,K07408 K07409 K07412 K07415 K07416 K07420
RP11559,0.053,4.2.1.131,K09844
RP11340,0.053,1.3.1.72,K09828
RP04735,0.052,5.99.1.4,K14584
RP12026,0.051,4.2.1.131,K09844
RP11276,0.050,1.3.1.72,K09828
RP11403,0.049,,K09834
RP13100,0.049,1.14.14.1,K07413 K07424
RP05303,0.049,1.3.1.72,K09828
RP11563,0.048,4.2.1.131,K09844
RP12020,0.048,4.2.1.131,K09844
RP04440,0.046,4.2.1.107,K12405
RP04444,0.045,4.2.1.107,K12405
RP01315,0.045,4.1.1.33,K01597
RP11541,0.043,1.3.1.72,K09828
RP13755,0.042,1.3.1.-,K10960
RP13731,0.042,1.17.99.3,K10214
RP11884,0.042,4.2.1.17,K01692 K01782 K01825
RP11885,0.042,4.2.1.17,K01692 K01782 K01825
RP03512,0.042,4.2.1.35,K01703 K01704
RP03316,0.042,1.3.1.72,K09828
RP03107,0.042,4.2.1.57,K13779
RP13754,0.041,1.3.1.-,K10960
RP13730,0.041,1.17.99.3,K10214
