RPAIR,Score,EC,KO
RP01159,0.123,5.1.3.18,K10046
RP01629,0.112,5.1.3.3,K01785 K15917
RP02152,0.108,4.2.2.2 4.2.2.9,K01728
RP05266,0.108,,K03335
RP04550,0.108,5.1.3.2,K01784 K15917
RP02453,0.108,5.1.3.15 5.3.1.9,K01792 K01810 K06859 K13810 K15916
RP15613,0.108,5.3.99.-,K06606
RP10366,0.107,5.1.3.-,K10046
RP13643,0.107,1.1.1.- 5.1.3.-,K12451
RP01472,0.107,5.1.3.6,K08679
RP09296,0.106,,K12710 K12716
RP01537,0.106,5.1.3.5,K12448
RP05296,0.105,1.1.1.271,K02377
RP02659,0.100,5.1.3.2,K01784
RP01154,0.099,5.3.1.5,K01805
RP00888,0.097,5.1.3.2 5.1.3.7,K02473
RP05664,0.096,5.1.3.13,K01790
RP14200,0.096,1.1.1.-,K12451
RP13558,0.096,4.2.3.124,K13546
RP01736,0.095,5.3.1.4,K01804
RP01508,0.095,5.3.1.5,K01805
RP01891,0.095,5.3.1.12,K01812
RP01545,0.095,5.3.1.12,K01812
RP01710,0.094,4.2.3.5,K01736
RP03895,0.093,5.1.3.10,K12454
RP02493,0.093,4.2.1.44,K03335
RP01780,0.092,5.3.1.8,K01809 K15916 K16011
RP02869,0.092,5.3.1.26,K01819
RP02940,0.092,5.3.1.9,K01810 K06859 K13810 K15916
RP14213,0.092,5.3.1.6,K01808
RP02454,0.092,5.3.1.9,K01810 K06859 K13810 K15916
RP14214,0.091,5.1.3.-,K17195
RP10987,0.091,,K12449
RP03918,0.089,4.2.3.12,K01737
RP10990,0.087,1.1.1.305,K10011
RP15844,0.083,1.1.3.8,K00103
RP00554,0.083,1.3.2.3 1.3.3.12,K00225 K05276
RP05601,0.083,,K13312
RP02202,0.081,4.2.1.45,K01709
RP04566,0.081,4.2.1.76,K12450
RP03730,0.081,5.1.3.19,K01794
RP01158,0.080,4.2.1.47,K01711
RP01712,0.079,5.4.4.2,K01851 K02361 K02552 K14759
RP05599,0.077,2.1.1.-,K13317
RP15452,0.077,5.3.3.18,K15866
RP15190,0.077,4.2.1.115,K15894
RP14864,0.076,4.1.99.16,K10187
RP02750,0.071,4.2.1.10,K03785 K03786 K13830 K13832
RP05594,0.071,,K13327
RP14034,0.071,,K13323
RP05593,0.071,,K13315
RP05663,0.070,4.2.1.46,K01710
RP05592,0.069,,K13314 K16435
RP13890,0.067,4.3.1.-,K13309
RP14360,0.066,4.2.3.44,K14042
RP14367,0.066,4.2.3.35,K14046
RP01025,0.064,1.1.3.8,K00103
RP13065,0.062,4.2.99.20,K08680 K14759
RP04376,0.059,4.2.1.96,K01724
RP13548,0.058,1.21.-.-,K11784
RP11877,0.058,,K12928
RP14366,0.058,4.2.3.34,K14045
RP11878,0.058,,K12928
RP09096,0.058,,K16021
RP05605,0.058,,K13322
RP01711,0.055,5.4.99.5,K01850 K04092 K04093 K04516 K06208 K06209 K13853 K14170 K14187
RP14583,0.055,1.3.3.-,K15949
RP04903,0.054,1.14.20.1,K12744
RP04829,0.053,,K12746
RP09457,0.052,,K16436
RP14208,0.052,5.3.1.-,K13324
RP13001,0.052,2.2.1.9,K02551
RP14593,0.049,,K15927
RP10163,0.048,5.3.3.4,K03464
RP14116,0.047,2.6.1.86,K13063
RP11658,0.047,4.2.1.100,K07537
RP11404,0.046,1.3.1.82,K15091
RP05080,0.046,1.14.11.21,K12675
RP11798,0.046,1.3.-.-,K04117
RP09565,0.045,,K12721
RP09053,0.045,4.1.1.-,K13484 K13485 K16838 K16840
RP11797,0.045,4.2.1.-,K07534
RP03084,0.045,4.1.1.44,K01607 K14727
RP04995,0.045,4.5.1.-,K15236
RP14720,0.044,1.14.14.1,K07411
RP03015,0.044,1.3.1.42,K05894
RP09599,0.043,1.1.1.288,K09841
RP00250,0.043,1.10.3.3 1.10.99.3 1.11.1.11 1.14.17.1 1.14.17.4 1.3.2.3,K00225 K00423 K00434 K00503 K05933 K09839
RP04996,0.042,4.5.1.-,K15236
RP11910,0.041,,K14628 K14629
RP05586,0.041,4.2.3.108,K07385
RP14563,0.040,4.2.1.-,K05556 K14626 K14627
RP14723,0.038,1.14.14.1,K07409 K07411 K07424
RP14722,0.038,1.14.14.1,K07409
