EC,Weighted Score,Observed Freq,Reactions
2.3.1,841.8,5,R00989  R02387  R02453  R04050  R08036
3.1.1,74.0,2,R08295  R08300
6.2.1,73.5,,
3.1.2,55.9,,
3.5.1,46.3,2,R01862  R04113
1.2.1,33.8,,
2.3.2,26.1,,
6.1.1,24.5,,
2.3.3,21.4,,
1.2.7,9.3,,
6.3.1,7.9,,
3.7.1,6.5,,
2.1.3,6.0,,
6.3.4,6.0,,
6.3.2,4.8,,
3.4.11,3.8,,
3.2.1,3.4,,
1.2.4,2.8,,
1.8.1,2.8,,
1.1.1,2.8,,
4.1.3,2.0,,
2.3.-,1.9,,
2.5.1,1.9,,
2.8.3,1.9,,
4.4.1,1.9,,
2.1.1,1.8,,
1.-.-,1.7,,
3.4.13,1.5,,
3.5.3,1.0,1,R04857
6.1.2,1.0,,
1.2.3,1.0,,
2.6.1,0.9,,
4.3.2,0.6,,
2.7.7,0.3,,
