RPAIR,Score,EC,KO
RP04276,0.506,3.2.1.23,K12309
RP03247,0.322,3.2.1.22,K01189 K07406 K07407
RP03248,0.309,3.2.1.26,K01193
RP05135,0.258,3.2.1.22,K01189 K07406 K07407
RP03641,0.219,3.2.1.18,K01186 K12357
RP02187,0.216,3.2.1.26,K01193
RP01308,0.208,3.2.1.22,K01189 K07406 K07407
RP01890,0.206,3.2.1.15 3.2.1.67,K01184 K01213
RP03643,0.200,3.2.1.22,K01189 K07406 K07407
RP02972,0.200,3.2.1.23,K01190 K12309
RP11006,0.198,3.2.1.31,K01195
RP01879,0.196,3.2.1.165,K15855
RP12522,0.182,3.2.1.15,K01184
RP00377,0.182,4.2.2.2 4.2.2.9,K01728
RP13901,0.171,2.4.1.129,K03587 K05364 K05365
