EC,Weighted Score,Observed Freq,Reactions
3.5.1,81.7,50,R00059 R00256 R00269 R00348 R00411 ... (43 reactions)
6.2.1,52.7,39,R00405 R00432 R00727 R00920 R00925 ... (38 reactions)
3.1.2,50.6,45,R00407 R00499 R01274 R01358 R01706 ... (42 reactions)
2.8.3,47.0,34,R00406 R00410 R00743 R00914 R00928 ... (25 reactions)
6.3.2,36.3,25,R00894 R00910 R00912 R00942 R01164 ... (24 reactions)
6.3.5,30.5,28,R00256 R00257 R00483 R00575 R00578 ... (17 reactions)
3.7.1,17.3,8,R01335 R02603 R02901 R03781 R05366
6.3.1,15.9,14,R00253 R00482 R00483 R01917 R02929 ... (13 reactions)
3.4.13,9.5,8,R00911 R01166 R01992 R03288 R03935
6.3.4,8.4,8,R00256 R00573 R01585 R04144 R04562
2.3.2,5.8,5,R00494 R03916 R03970 R03971 R05207
2.3.1,5.0,4,R01706 R04868 R06361 R08944
1.4.1,3.1,3,R00093 R00114 R00256
3.4.19,3.0,3,R00494 R04242 R09875
4.3.3,3.0,3,R00256 R07456 R10089
2.6.1,3.0,3,R00768 R01716 R08956
3.4.11,2.8,,
1.13.11,2.3,1,R07363
1.4.7,2.0,2,R00021 R00256
3.1.1,2.0,2,R08295 R08300
2.4.2,2.0,2,R01072 R04558
4.1.3,2.0,2,R00986 R04558
1.14.13,1.6,1,R10181
3.4.17,1.2,,
1.14.99,1.1,,
3.5.5,1.0,1,R00485
1.2.3,1.0,1,R00042
3.2.1,1.0,1,R07902
4.1.1,1.0,1,R03140
1.2.4,1.0,1,R04142
2.1.1,0.7,,
1.2.5,0.5,,
3.4.15,0.5,,
3.4.24,0.5,,
3.4.22,0.5,,
1.14.14,0.2,,
2.1.2,0.2,,
