COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
51;;c144+c116<=>c145+c114;
52;;c146+c14<=>c147+c148;
53;;c149+c10+c5<=>c150+c13;
54;;c151<=>c94;
55;;c152+c75<=>c153+c77;
56;;c154<=>c155+c77;
57;;c156+c157<=>c158+c4+c5;
58;;c119+c70<=>c159+c68+c5;
59;;c160+c161<=>c162+c163+c5;
60;;c164+c18+c5<=>c165+c14;
61;;c166<=>c167+c168;
62;;c169+c70+c70+c70<=>c170+c68+c68+c68+c5+c5+c5;
63;;c171+c139+c5<=>c172+c119;
64;;c173+c92+c5<=>c174+c14;
65;;c175+c14<=>c53+c53+c5+c5;
66;;c176+c177<=>c178+c179;
67;;c180+c19+c116<=>c122+c124+c5;
68;;c181+c64+c5<=>c182+c66;
69;;c183<=>c184+c14;
70;;c185+c14<=>c17+c18+c5;
71;;c186+c66<=>c187+c64+c5;
72;;c188<=>c189;
73;;c190+c52+c14<=>c190+c53+c18+c5;
74;;c191<=>c192;
75;;c193+c25+c11<=>c194+c27+c14+c5;
76;;c195+c196<=>c197+c48;
77;;c198+c13<=>c199+c10+c5;
78;;c200+c61+c5<=>c196+c14;
79;;c201+c202+c5<=>c203+c204;
80;;c205+c48+c11<=>c206+c207+c46+c19+c5;
81;;c208+c13<=>c209+c10+c5;
82;;c95+c177+c14<=>c210+c179+c5;
83;;c211+c27+c14+c14<=>c212+c25+c11;
84;;c213+c214<=>c215+c18+c5;
85;;c216<=>c217;
86;;c218+c114+c5<=>c219+c220+c116;
87;;c221+c61+c5<=>c222+c14;
88;;c223+c11+c14<=>c224+c225+c89;
89;;c226+c13<=>c227+c19+c10;
90;;c228+c164+c5<=>c229+c230;
91;;c231+c179<=>c232+c177+c14;
92;;c233+c14<=>c142;
93;;c234+c165+c5<=>c235+c98;
94;;c236+c66<=>c237+c64+c5;
95;;c238+c44<=>c239+c14;
96;;c240+c116+c5<=>c241+c196+c14;
97;;c242+c53+c18+c5<=>c242+c52+c14;
98;;c243+c76+c89<=>c244+c245+c11;
99;;c246+c53+c5<=>c247+c52;
100;;c248+c10+c5<=>c249+c13;
101;;c250+c64+c5<=>c251+c66;
