Reaction ID,SelenzymeRF
R02693,2.3.1.43;3.1.1.13;2.3.1.22;3.1.1.3
R05170,2.1.3.3|6.3.4.16
R11539,2.8.3.25;2.3.1.26;1.3.8.1;4.2.1.17;4.2.1.-|4.2.1.134
R11824,4.2.3.159;2.5.1.41;2.5.1.62;2.5.1.31;2.5.1.89;2.5.1.81;1.3.1.83;2.5.1.-|2.5.1.32
R02268,5.3.99.5;1.1.1|1.1.1.-|1.1.1.188;1.11.1.20;5.3.99.2|5.3.99.3|5.3.99.4;1.14.99.1;1.14.14.1
R11395,2.6.1.109;1.1.3.48;4.3.1.15;5.3.1.17;5.3.1.34;4.4.1.13;5.3.1.22;2.6.1.-|2.6.1.94;2.6.1.-|2.6.1.93;2.6.1.22;2.6.1.40;2.6.1.29
R04322,2.4.1.47;3.2.1.46|3.2.1.62;3.2.1.45|3.2.1.62;2.7.8.27;3.2.1.23
R01525,1.1.1.124|1.14.13.50|2.5.1.18|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8
R10443,3.6.1.5;3.6.1.15|3.6.1.5
R05441,1.14.13.-|1.14.13.20|1.14.13.7;1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.23;1.14.13.88;1.14.13.-|1.6.5.2
R09748,1.1.1|1.14.13|1.14.13.7|1.5.1|1.5.1.36|1.5.1.37|1.5.1.45|1.6.99.3;1.1.1|1.14.13.7|1.5.1|1.5.1.30|1.5.1.45;2.1.1.74
R03805,2.1.1.56;2.1.1.57
R01722,2.4.99.20;2.4.2|2.4.2.1
R08239,2.1.1.67;2.1.1.137;2.1.1.181
R09219,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R07094,2.5.1.18
R04418,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R04344,1.1.1.184;1.1.1|1.1.1.105|1.1.1.184|1.1.1.2|1.1.1.209|1.1.1.210|1.1.1.213|1.1.1.357|1.1.1.50|1.3.1.20;1.1.1.188|1.1.1.213|1.1.1.50;1.1.1.184|1.1.1.209|1.1.1.210|1.1.1.213|1.1.1.50;1.1.1.1
R09099,2.1.2|2.1.2.-|2.1.2.1
R03585,1.1.1.21;1.6.5.4;1.14.13.102;1.14.13.115;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.12
R08117,6.2.1.33;3.1.2.23;6.2.1.2;6.2.1.27;6.2.1.7;3.6.1.5;6.2.1.65|6.2.1.ak;6.2.1.30;6.2.1.12
R01401,2.4.1.-|2.4.1.118;2.4.2.8;2.4.99.20;2.3.1.26;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;2.7.8.11;1.1.1.113;3.2.1.74;2.4.1.245
R10438,1.1.1.37
R10720,1.10.3.15;1.13.12.24;1.14.14.42;1.14.11.4;1.10.3.4;1.14.18.12;1.13.12.17;1.14.12.1;1.13.12.5;1.14.14.117;1.1.1.170|1.1.1.270|1.14.13.72|1.14.18.9;1.14.11.67;1.11.1.6
R03134,2.5.1.51;1.14.14.1
R09980,3.5.1.110;2.1.3.3|6.3.5.5
R02144,2.1.1.77
R05598,4.1.99.11;2.6.1.57;1.14.13.-|1.14.15.26;4.1.1.119;1.11.1.7
R09630,1.1.1.71;4.2.3.50;4.2.3.197;4.2.3.204;4.2.3.158;4.2.3.163;4.2.3.157;5.4.99.17;4.2.3.-|4.2.3.129;5.4.99.52;4.2.3.136;5.4.99.40;4.2.3.69;4.2.3.68;4.2.3.146;5.4.99.8;3.1.7.7|4.2.3.194;4.2.3.37;4.2.3.42;4.2.3.7;5.4.99.35;5.4.99.34;4.2.3.39;5.4.99.39;4.2.1.137;5.4.99.49;5.4.99.50;5.4.99.32;5.4.99.36;5.4.99.33;4.2.3.82;4.2.3.172;4.2.3.98;4.2.3.56|4.2.3.58;4.2.3.79;4.2.3.159;5.5.1.13;4.2.3.6
R05885,2.1.1.94;2.1.1.293;2.1.1.4;2.1.1.150;2.1.1.270;2.1.1.241;2.1.1.42;2.1.1.231;2.1.1.212;2.1.1.339;2.1.1.155|2.1.1.231;2.1.1.212|2.1.1.46;2.1.1.155|2.1.1.75;2.1.1.38;2.1.1.279;2.1.1.146;2.1.1.302;2.1.1.232;2.1.1.240;2.1.1.6;2.1.1.117;2.1.1.89;2.1.1.116;2.1.1.-|2.1.1.291;2.1.1.330;2.1.1.323;2.1.1.128;2.1.1.169|2.1.1.68;2.1.1.70|2.1.1.93;2.1.1.104;2.1.1.110;2.1.1.65;2.1.1.114|2.1.1.64
R00287,3.6.1.45;2.7.7.69;5.4.2.2;2.4.1.63;2.4.1.14;2.4.1.111;2.7.7.37|2.7.7.64;3.6.1.21;2.4.1.91;2.4.1.185;2.7.4.8
R03177,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R05030,6.3.5.-|6.3.5.13;6.3.1.12;6.3.5.7
R00771,5.3.1.6
R02601,2.6.1.57;4.1.1.77;2.3.1.-|2.3.1.85|2.3.1.86|4.2.1.58|4.2.1.59
R04457,2.5.1.78
R03554,2.1.1.50;2.1.1.112;2.1.1.241;2.1.1.29;2.1.1.34;2.1.1.228|2.1.1.31;2.1.1.187|2.1.1.188|2.1.1.51
R02706,2.7.1.60;2.7.1.193|2.7.1.69;2.7.1.59;5.4.2.2
R09610,4.2.3.62;4.2.3.-|4.2.3.126;4.2.3.92;4.2.3.67;2.5.1.20;4.2.3.24;4.2.3.-|4.2.3.162;4.2.3.-|4.2.3.125;4.2.3.165;4.2.3.77;4.2.3.-|4.2.3.127;4.2.3.-|4.2.3.128;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;2.5.1.87;4.2.3.75;4.2.3|4.2.3.-|4.2.3.56;4.2.3.173;4.2.3.98;1.1.1.71;4.2.3.133;4.2.3.64;4.2.3.191;4.2.3.87;4.2.3.56|4.2.3.58;4.2.3.175;4.2.3.170;4.2.3.57;4.2.3.89;4.2.3.137;4.2.3.68
R08878,1.1.1.274;1.1.1.274|1.1.1.346;1.1.1.124|1.14.13.50|2.5.1.18|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8
R10194,1.3.1.97|2.5.1.-;1.6.3.2;1.11.1.1|1.11.1.2;1.6.5.4;1.12.1.3|1.12.1.5;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R03062,3.1.1.111|3.1.1.32;2.7.1.40
R13127,2.7.4.8
R06486,2.4.1.-|2.4.1.327;2.4.1.-|2.4.1.326;2.4.1.311;2.4.1.322;5.4.2.7
R04315,1.17.4.2;1.17.4.1
R03905,6.3.5.7
R11950,3.6.1.5;6.3.2.52;3.5.1.127;6.3.2.14;6.3.2.39;6.3.2.2|6.3.2.3
R08630,2.6.1.88;2.6.1.14;3.1.1.43;4.1.1.1;2.6.1.57;2.6.1.21;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4
R11330,5.1.3.38;5.3.1.33;1.1.1.402;2.7.1.5;2.7.1.3;4.1.1.121;4.1.2.13
R05221,5.4.2.2;6.3.5.9;2.5.1.78
R04007,1.1.1.195;3.2.1.126|3.2.1.21;3.2.1.126
R09533,2.3.1.92;3.2.1.126|3.2.1.21
R10009,2.5.1|2.5.1.31|2.5.1.M1;4.2.1.-|4.2.1.137;1.6.99.5;2.4.2.46;2.4.2.47;1.3.5.6;2.4.1|2.4.1.129
R09099,2.1.2|2.1.2.-|2.1.2.1
R12144,1.7.2.1|7.1.1.9
R11371,2.1.1.197;2.1.1.181;2.1.1.348;2.1.1.346
R09126,3.5.1.106;3.5.2.16;6.3.4.-|6.3.4.23;1.5.99.12;3.5.1.3;3.5.1.9;2.1.2.3
R06465,1.14.14.1
R03296,2.3.1.271;3.5.1.119;2.1.1.233;3.1.1.89;5.1.1.8;1.14.17.3;1.14.14.-|1.14.14.1
R06787,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.127;1.14.13.69;1.14.12.-|1.14.12.10;1.14.13.223;1.14.13.87;1.6.5.4;1.14.13.240;1.14.12.14;1.14.13.25
R12596,6.3.1.9;3.6.1.21|3.6.1.9
R08342,1.14.14.-|1.14.14.1
R02679,1.1.1.1|1.1.1.190
R04659,3.2.1.18
R03940,2.1.2.9
R04013,2.1.1.99;2.1.1.222
R02490,1.1.1.36;2.3.1.199;4.2.1.17;4.2.1.-|4.2.1.134
R01304,2.4.1.194;2.4.1.218;2.4.1.126;2.4.1.35;2.4.1.237;2.4.1.185;2.4.1.-|2.4.1.286;3.2.1.62;2.4.1.170;2.4.1.220;2.4.1.128;2.4.1.91;3.2.1.21
R09514,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.113;1.14.13.69;1.14.13.223;1.6.5.4;1.14.12.-|1.14.12.10;1.14.13.87;1.14.13.26;1.11.1.1|1.14.12.17
R07075,1.14.14.-|1.14.14.1
R10876,2.4.1.277;2.4.1.278;2.4.1.-|2.4.1.289;2.4.1.316;2.4.1.327;2.4.1.317;2.4.1.325;2.4.1.-|2.4.1.328;5.1.3.2;2.4.1.230;2.4.1.-|2.4.1.318;2.4.1.322;2.7.8.11;2.4.1.331;2.4.1.236;2.4.1.-|2.4.1.326;2.4.1.38|2.4.1.90
R06477,2.8.4.3
R02961,2.1.1.17;2.1.1.103|2.1.1.16|2.1.1.71;2.1.1.98;2.1.1.85;2.1.1.297|2.1.1.298
R00872,2.4.1.4;2.4.1.13;2.4.1.373;2.7.1.1;2.4.1.125|2.4.1.4|2.4.1.5;2.4.1.372;3.2.1.26
R06337,1.14.11|1.14.11.-|1.14.11.13;1.14.11.15;1.13.12.24;1.2.2.4;1.13.12.6;1.13.11.27;1.14.11.56;1.14.11.1;1.14.11|1.14.11.-|1.14.11.12;1.13.11.46;1.14.12.1;1.13.11.83;1.14.11.-|1.14.11.35;1.14.11.24;1.14.11.25;1.14.11.21;1.14.11.11;1.14.11.20;1.14.20.7;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67
R11145,1.1.1.-|1.1.1.146|1.1.1.209|1.1.1.213|1.1.1.392|1.1.1.50;1.1.1.393;1.1.1.1|1.1.1.391
R11076,1.3.3.6;1.3.8.7|1.3.8.8;1.3.1.44;1.3.1.38;1.3.1.8;4.2.1.-|4.2.1.134;4.2.1.17
R06272,1.6.3.2;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
R11831,4.2.3.143;4.2.3.166;4.2.3.75;4.2.3.77;4.2.3.67;4.2.3.62;4.2.3.-|4.2.3.126;4.2.3.92;4.2.3.13;4.2.3.97;4.2.3.-|4.2.3.162;4.2.3.98;4.2.3.173;4.2.3.64;4.2.3.-|4.2.3.133;4.2.3.-|4.2.3.127;4.2.3.-|4.2.3.128;4.2.3.24;4.2.3.170;4.2.3.175;3.1.7.7|4.2.3.194;3.1.7.10;4.2.3.50;4.2.3.171;4.2.3.100;4.2.3.146;4.2.3.182;4.2.3.165;4.2.3.7;4.2.3.204;4.2.3.179;2.5.1.-|2.5.1.141
R13128,2.4.1.7;3.2.1.26;2.4.1.13;2.4.1.4;2.4.1.373
R03869,1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;1.2.1.23;1.1.1.337|1.1.1.375
R01544,1.1.99.3;4.2.1.40;5.1.3.3;3.2.1.21
