reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,MajorityVote,MajorityVoteCore4
10037,1.1.3.38,1.1.3,1.1.3.7;1.1.3.38;1.14.18.1;1.4.3.3;1.1.3.41;1.8.3.5;1.1.3.15;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7,1.1.99,1.1.3;1.13.11;1.11.1;1.5.3;1.2.3,1.1.3,1.1.3
10041,3.1.3.7,3.1.3,1.18.6.1;6.3.5.9,3.1.4;3.1.3,3.1.3;3.1.7;3.6.1;3.6.4;3.6.5,3.1.3,3.1.3
10081,1.3.1.57,1.1.1,1.1.1.375;1.1.1.272;1.1.1.100;1.1.1.318;1.1.1.346;1.6.5.2,1.3.1;1.1.1,1.3.1;1.1.1;1.14.12;1.17.1;1.14.13,1.1.1,1.1.1
10089,2.4.1.167,2.4.1,2.4.1.96;2.4.1.13|2.4.1.14;2.4.1.203;2.4.1.159;2.4.1.241;2.4.1.271;2.4.1.123;2.4.1.309;5.4.99.11;2.4.1.365|2.4.1.du;2.4.1.-|2.4.1.293;2.4.1.239;2.4.1|2.4.1.44;2.4.1|2.4.1.58;2.4.1.238;2.4.1.304;2.4.1.272;2.4.1.177;2.4.1.111;2.4.1.91,2.4.1,2.4.1;2.4.2;2.7.7;2.7.8;3.6.1,2.4.1,2.4.1
10193,7.3.2.3,7.6.2,6.3.4.16|6.3.5.5,7.2.2,3.6.1;3.6.4;3.6.5;5.6.2;6.3.5,7.2.2,6.3.5
10209,2.3.2.8,2.3.2,3.4.11|3.4.11.6;6.3.2.14;6.3.5.11;6.3.5.-|6.3.5.13;6.3.5.9;6.3.5.10;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,3.1.1,3.4.11;6.1.1;2.3.2;6.3.2;6.1.2,2.3.2,3.4.11
10285,5.4.3.7,5.1.1,5.1.1.10;3.4.11.10,,2.6.1;5.1.1;6.3.2;2.7.4;2.3.1,5.1.1,5.1.1
10349,3.5.2.9,7.6.2,2.3.1.193|2.7.1|2.7.1.1|2.7.1.2|2.7.11.24|3.1.3|3.1.3.1|3.1.3.2|3.1.3.29|3.1.4|3.4.21.53|3.4.24|3.6|3.6.1|3.6.1.-|3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.2.1|3.6.3|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.1|5.6.1.7|5.6.1.8|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.1.2.1|7.1.2.2|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.1|7.6.2.2|7.6.2.c|7.6.2.f,6.3.2,6.3.2;6.3.1;3.5.1;6.3.4;3.4.17,6.3.2|7.6.2,6.3.2|7.6.2
10365,2.3.3.4,2.3.1,2.3.1.301;2.3.3.20;2.3.3.1|2.3.3.5|4.1.3.31;2.3.1.207;2.3.1.41;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,2.3.1,2.3.1;4.2.1;4.1.3;3.1.2;4.4.1,2.3.1,2.3.1
10501,2.3.3.7,3.1.2,1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,2.3.1,2.3.1;3.1.2;6.2.1;2.8.3;1.2.1,2.3.1,2.3.1
10509,2.2.1.1,4.1.2,2.2.1.1;2.2.1.2,,2.2.1;4.1.2;2.7.4;5.2.1;5.3.3,2.2.1|4.1.2,2.2.1
10621,1.2.1.44,1.2.1,1.2.1.44;1.3.1.-|2.3.1.170|2.3.1.74,1.2.1,1.2.1;2.3.1;1.8.1;1.1.1;6.2.1,1.2.1,1.2.1
10669,2.3.2.3,2.3.2,2.3.2.3;2.3.2.11;2.7.8.41;3.1.3.7;6.1.1.11,,2.3.1;5.4.99;5.5.1;3.1.1;2.7.8,2.3.2,2.3.2
10705,6.1.1.9,6.3.4,6.1.1.9,6.1.1,6.1.1;3.6.1;2.7.7;6.2.1;2.7.6,6.1.1,6.1.1
10745,1.3.1.53,1.3.1,1.3.1.25;1.1.1.41;1.3.1.53;5.3.3.1;1.1.1.170;1.14.13.223;1.14.12.10;1.11.1.1;1.1.1.337|1.1.1.375;1.1.1.345;1.6.5.4;1.14.13.87;1.3.1.43;1.14.13.246;1.2.1.5;1.6.5.2,1.14.12;1.1.1,1.14.12;1.14.13;1.3.1;4.1.1;1.17.1,1.3.1,1.3.1
10757,2.7.9.1,6.4.1,2.7.9.1;6.3.1.14;2.7.1.40;2.7.9.2;6.3.1.1|6.3.5.4,6.3.1,2.7.1;2.7.6;6.5.1;2.7.7;2.5.1,6.3.1,6.3.1
10805,5.1.99.3,5.3.3,5.1.99.3;3.5.2.5;4.1.1.97;1.7.3.3;5.1.99.5;3.5.3.9;3.5.2.1;1.3.98.1;3.5.2.16;1.1.1.154|1.1.1.350;2.6.1.112;3.5.1.131;3.5.1.84;1.3.3.1|3.5.2.3,5.1.3;5.1.1,2.6.1;5.1.1;2.7.4;5.4.99;4.1.2,5.1.1,5.1.1
10809,1.11.1.23,1.11.1,1.14.19.7;1.3.3.16|6.2.2.2;1.1.3.41;1.8.3.5;1.4.3.13;1.7.3.1;1.1.3.15;1.4.3.3;1.4.3.2,,1.11.2;1.11.1;3.3.2;1.1.3;1.5.3,1.11.1,1.11.1
10849,7.4.2.7,7.6.2,6.3.4.6;6.3.2.4,7.2.2,3.6.1;3.6.4;3.6.5;5.6.2;6.3.5,2.5.1|3.6.1|6.3.4|7.2.2|7.6.2,3.6.1|6.3.4|7.2.2|7.6.2
10937,1.8.5.2,1.17.4,1.8.5.2;1.8.2.2;1.3.5.2|1.3.98.1,7.1.1,1.17.5;4.4.1;2.1.1;5.3.3;4.1.99,1.17.4|1.17.5|1.7.7|1.8.5|7.1.1,1.17.4|1.17.5|1.8.5|7.1.1
11017,3.5.3.4,3.5.1,3.5.3.4|4.3.2.3;3.5.3.9;6.3.4.6;3.5.3.1,,4.2.1;4.3.2;3.2.1;5.1.99;5.1.1,3.5.3,3.5.3
11025,2.7.3.8,3.6.5,6.3.5.-|6.3.5.13;6.3.5.5,2.7.11,2.7.1;6.3.1;2.7.2;6.3.4;2.7.4,2.7.11,6.3.5
11061,6.1.1.5,6.3.4,6.1.1.5,6.1.1,6.1.1;3.6.1;2.7.7;6.2.1;2.7.6,6.1.1,6.1.1
11081,3.1.3.35,3.1.3,2.7.1.21,3.1.3,3.1.3;3.1.5;2.7.1;5.4.2;3.6.1,3.1.3,3.1.3
11181,6.1.1.22,6.3.4,6.1.1.22,6.1.1,6.1.1;6.3.2;6.3.1;6.3.4;2.7.2,6.1.1,6.1.1
11241,2.7.4.15,2.7.4,2.7.4.3,2.7.4;2.7.7,2.7.4;5.2.1;2.7.8;2.6.1;2.7.7,2.7.4,2.7.4
11253,2.3.2.7,3.5.1,3.5.1.1;2.3.2.2|6.3.1.2,,3.5.1;2.6.1;4.3.1;5.1.1;6.3.1,3.5.1,3.5.1
11261,1.6.3.1,1.14.13,1.6.3.5;1.14.21.1;1.14.19.68|1.14.21.5;1.14.13.81;1.14.12.20;1.14.13.78;1.14.13.79;1.14.13.39;1.14.99.33;1.6.3.2;1.14.13.120;1.14.13.104;1.14.13.102;1.14.13.115;1.14.14.145;1.14.13.124;1.14.13.121;1.14.13.144,1.12.1;1.1.1,1.11.1;1.6.3;1.1.1;1.14.13;1.1.3,1.6.3,1.6.3
11265,1.6.3.1,1.14.13,1.6.3.5;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.99.33;1.14.12.12;1.6.3.1;1.14.12.13;1.14.12.1;1.14.12.3;1.14.12.-|1.14.12.26;1.14.12.10,1.12.1;1.1.1,1.11.1;1.6.3;1.1.1;1.14.13;1.1.3,1.6.3,1.6.3
