Reaction,All ECs
10037,1.1.3.7;1.1.3.38;1.14.18.1;1.4.3.3;1.1.3.41;1.8.3.5;1.1.3.15;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7
10041,1.18.6.1;6.3.5.9
10081,1.1.1.375;1.1.1.272;1.1.1.100;1.1.1.318;1.1.1.346;1.6.5.2
10089,2.4.1.96;2.4.1.13|2.4.1.14;2.4.1.203;2.4.1.159;2.4.1.241;2.4.1.271;2.4.1.123;2.4.1.309;5.4.99.11;2.4.1.365|2.4.1.du;2.4.1.-|2.4.1.293;2.4.1.239;2.4.1|2.4.1.44;2.4.1|2.4.1.58;2.4.1.238;2.4.1.304;2.4.1.272;2.4.1.177;2.4.1.111;2.4.1.91
10193,6.3.4.16|6.3.5.5
10209,3.4.11|3.4.11.6;6.3.2.14;6.3.5.11;6.3.5.-|6.3.5.13;6.3.5.9;6.3.5.10;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
10285,5.1.1.10;3.4.11.10
10349,2.3.1.193|2.7.1|2.7.1.1|2.7.1.2|2.7.11.24|3.1.3|3.1.3.1|3.1.3.2|3.1.3.29|3.1.4|3.4.21.53|3.4.24|3.6|3.6.1|3.6.1.-|3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.2.1|3.6.3|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.1|5.6.1.7|5.6.1.8|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.1.2.1|7.1.2.2|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.1|7.6.2.2|7.6.2.c|7.6.2.f
10365,2.3.1.301;2.3.3.20;2.3.3.1|2.3.3.5|4.1.3.31;2.3.1.207;2.3.1.41;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
10501,1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
10509,2.2.1.1;2.2.1.2
10621,1.2.1.44;1.3.1.-|2.3.1.170|2.3.1.74
10669,2.3.2.3;2.3.2.11;2.7.8.41;3.1.3.7;6.1.1.11
10705,6.1.1.9
10745,1.3.1.25;1.1.1.41;1.3.1.53;5.3.3.1;1.1.1.170;1.14.13.223;1.14.12.10;1.11.1.1;1.1.1.337|1.1.1.375;1.1.1.345;1.6.5.4;1.14.13.87;1.3.1.43;1.14.13.246;1.2.1.5;1.6.5.2
10757,2.7.9.1;6.3.1.14;2.7.1.40;2.7.9.2;6.3.1.1|6.3.5.4
10805,5.1.99.3;3.5.2.5;4.1.1.97;1.7.3.3;5.1.99.5;3.5.3.9;3.5.2.1;1.3.98.1;3.5.2.16;1.1.1.154|1.1.1.350;2.6.1.112;3.5.1.131;3.5.1.84;1.3.3.1|3.5.2.3
10809,1.14.19.7;1.3.3.16|6.2.2.2;1.1.3.41;1.8.3.5;1.4.3.13;1.7.3.1;1.1.3.15;1.4.3.3;1.4.3.2
10849,6.3.4.6;6.3.2.4
10937,1.8.5.2;1.8.2.2;1.3.5.2|1.3.98.1
11017,3.5.3.4|4.3.2.3;3.5.3.9;6.3.4.6;3.5.3.1
11025,6.3.5.-|6.3.5.13;6.3.5.5
11061,6.1.1.5
11081,2.7.1.21
11181,6.1.1.22
11241,2.7.4.3
11253,3.5.1.1;2.3.2.2|6.3.1.2
11261,1.6.3.5;1.14.21.1;1.14.19.68|1.14.21.5;1.14.13.81;1.14.12.20;1.14.13.78;1.14.13.79;1.14.13.39;1.14.99.33;1.6.3.2;1.14.13.120;1.14.13.104;1.14.13.102;1.14.13.115;1.14.14.145;1.14.13.124;1.14.13.121;1.14.13.144
11265,1.6.3.5;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.99.33;1.14.12.12;1.6.3.1;1.14.12.13;1.14.12.1;1.14.12.3;1.14.12.-|1.14.12.26;1.14.12.10
11277,1.10.3.2;1.14.18.3;1.14.13.-|1.6.5.2
11281,2.1.2.8;2.1.2.10
11313,3.5.4.43;3.8.1.8;1.13.11.49;1.14.14.172;2.5.1.18
11349,6.3.4.6;6.3.4.16|6.3.5.5
11365,2.7.9.2;2.7.9.3;6.3.4.22;2.7.1.40
11453,1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.5.1.39;1.14.14.46;1.14.14.15;1.14.19.56;1.14.14.8;1.14.14.85;1.14.14.108;1.14.99.46;1.14.14.30;1.13.12.16;1.14.19.9;1.14.14.22
11561,1.3.1.25;1.1.1.41;5.3.3.1;1.1.1.170;1.14.12.10;1.14.13.223;1.1.1.345;1.1.1.337|1.1.1.375;1.6.5.2
11577,2.7.1.89;6.3.4.22;2.7.6.3;2.7.9.3
11681,6.3.4.1|6.3.5.2
11689,6.3.1.14;6.1.1.4
11721,2.3.1.193|2.7.1|2.7.1.1|2.7.1.2|2.7.11.24|3.1.3|3.1.3.1|3.1.3.2|3.1.3.29|3.1.4|3.4.21.53|3.4.24|3.6|3.6.1|3.6.1.-|3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.2.1|3.6.3|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.1|5.6.1.7|5.6.1.8|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.1.2.1|7.1.2.2|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.1|7.6.2.2|7.6.2.c|7.6.2.f
11741,1.8.1.7;1.8.1.10|1.8.1.14|1.8.4.2;1.8.1.10|1.8.1.9|1.8.4.2;1.8.1.12
11749,2.1.2.1|4.1.2.48|4.1.2.5
11765,3.5.3.1;3.5.3.7;3.5.3.22;3.5.1.3;2.1.1.248;1.4.9.1;6.3.1.2|6.3.4.12
11849,1.21.4.4;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
11953,2.7.3.9;2.2.1.1;1.1|1.1.1.26|1.1.1.27|1.1.1.28|1.1.1.29|1.1.1.387|1.1.1.81
11969,1.14.12.12;1.14.12.19;1.14.12.-|1.14.12.26;1.14.12.11;1.14.12.18;1.14.12.7;1.1.3.15;1.4.3.2
11981,1.14.19.48;1.6.3.2;1.11.1.21;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5
12029,1.3.3.1|3.5.2.3
12069,2.7.8.7
12165,2.8.2.1;1.8.4.8;2.8.2.25;2.8.2.27;2.8.2.15|2.8.2.4;2.8.2.15|2.8.2.2|2.8.2.4;2.8.2.36;2.8.2.1|2.8.2.3;2.8.2.-|2.8.2.39;2.8.2.24;2.8.2|2.8.2.14|2.8.2.15|2.8.2.2|2.8.2.4;2.8.2.-|2.8.2.38;2.8.2.37|2.8.2.8;2.8.2.20
12193,4.2.3.75;4.2.3.77;4.2.3.67;4.2.3.62;4.2.3.-|4.2.3.126;4.2.3.92;4.2.3.98;4.2.3.13;4.2.3.97;4.2.3.-|4.2.3.125;4.2.3.64;4.2.3.172;4.2.3.-|4.2.3.133;4.2.3.24;4.2.3.-|4.2.3.129;4.2.3.-|4.2.3.127;4.2.3.-|4.2.3.128;4.2.3.175;4.2.3.170;2.5.1.74;4.2.3.100;4.2.3.182;4.2.3.7;4.2.3.96;4.2.3.163;4.2.3.165;4.2.3.204;4.2.3.179;4.2.3.88;4.2.3.160;4.2.3.184;2.5.1.148;4.2.3.157;4.2.3.74;4.2.3.57;4.2.3.89;2.5.1.133;4.2.3|4.2.3.-|4.2.3.56;4.2.3.82;2.5.1|2.5.1.31|2.5.1.M1
12233,1.21.4.2;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
12257,1.3.1.79;1.3.1.43;1.3.1.25;1.1.1.41;5.3.3.1;1.1.1.170;1.14.13.223;1.6.5.2
12261,1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
12293,6.3.2.14;6.1.3.1;6.1.1.11
12297,4.2.1.78;4.3.3.2;2.8.2.1|2.8.2.3|2.8.2.4;1.14.19.62;1.10.3|1.10.3.-|1.10.3.1|1.14.18.1;1.14.16.2;1.14.17.1;4.1.1.22|4.1.1.25|4.1.1.28
12337,4.2.1.31|4.2.1.36;3.5.1.38|4.3.1.1;4.2.1.2;4.3.2.1
12341,6.3.2.14;6.3.5.11;6.3.5.9;6.3.5.10;6.3.5.-|6.3.5.13;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
12385,1.4.3.13;1.1.3.15;1.4.3.2;1.4.3.3;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.4.3.1|1.4.3.11|1.4.3.2|1.4.3.3|1.4.3.7;1.3.3.16
12429,1.6.5.4;1.1.1.184|1.11.1.1;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
12533,1.8.98.5;1.3.4.1|1.3.98.2;1.8.98.1;1.8.98.4;1.8.7.3;1.14.13.25;4.99.1.2;1.14.18.3;1.14.13.8;1.8.1.14;2.8.1.8
12541,6.1.1.7
12585,1.14.14.1;1.14.99.9
12594,2.7.8.5;2.7.8.45;2.7.8.8;2.7.8.1;2.7.8.2;2.7.8.11;2.7.8.39;2.7.8.41;2.7.8.-|2.7.8.44;2.4.1.96;2.7.8.28
12606,2.2.1.7
12722,2.5.1|2.5.1.104|2.5.1.16
