RPAIR,Score,EC,KO
RP01274,0.119,4.1.2.13,K01622 K01623 K01624 K11645 K16305 K16306
RP01272,0.119,4.1.2.40,K01635 K08302 K16371
RP01270,0.119,4.1.2.13,K01622 K01623 K01624 K11645 K16305 K16306
RP01787,0.114,2.2.1.2,K00616 K13810
RP15837,0.107,2.2.1.11,K16305
RP11967,0.077,3.1.3.77,K09880 K16054
RP03702,0.071,2.7.1.69,K02812 K02813 K02814 K02815
RP03444,0.067,2.7.1.3,K00846
RP01797,0.066,2.7.1.14,K11214
RP00036,0.049,2.7.1.40 2.7.9.1 2.7.9.2,K00873 K01006 K01007 K12406
RP00078,0.046,4.1.1.31 4.1.1.32 4.1.1.49,K01595 K01596 K01610
RP02311,0.043,4.1.2.13,K01622 K01623 K01624 K11645 K16305 K16306
RP15826,0.037,2.2.1.11,K16305
