RPAIR,Score,EC,KO
RP02887,1.000,3.2.1.85,K01220
RP01135,1.000,3.2.1.122,K01232
RP01134,0.938,3.2.1.122 3.2.1.93,K01226 K01232
RP01590,0.874,2.4.1.25 2.4.1.8,K00691 K00705 K01196
RP00439,0.874,2.4.1.22,K00704 K07966 K07967
RP12670,0.874,3.2.1.21,K01188 K05349 K05350
RP02961,0.874,3.2.1.20,K01187 K12047 K12316 K12317 K15922
RP00324,0.874,2.4.1.20,K00702
RP01684,0.874,3.2.1.108 3.2.1.23,K01190 K01229 K12111 K12112 K12309
RP12727,0.831,3.2.1.26,K01193
RP00453,0.818,2.4.1.245 2.4.1.64 3.2.1.28,K01194 K05342 K13057
RP02451,0.778,2.4.1.15,K00697 K16055
RP00138,0.777,2.4.1.67 2.4.1.82 3.2.1.22,K01189 K06611 K06617 K07406 K07407
RP01310,0.759,3.2.1.23,K01190 K12308
RP04415,0.754,3.2.1.23,K01190
RP15890,0.736,2.4.1.284,K13550
RP01110,0.718,3.2.1.20 3.2.1.26 3.2.1.48,K01187 K01193 K01203 K12047 K12316 K12317 K15922
RP00075,0.718,2.4.1.125 2.4.1.13 2.4.1.4 2.4.1.5 2.4.1.7 3.2.1.10 3.2.1.20 3.2.1.48,K00689 K00690 K00695 K01182 K01187 K01203 K05341 K12047 K12316 K12317 K15922
RP00404,0.713,3.2.1.3 3.2.1.33,K01178 K01196 K12047
RP04765,0.709,2.4.1.208,K13677
RP02924,0.701,3.2.1.52,K01207
RP02187,0.694,3.2.1.26,K01193
RP12501,0.692,2.4.1.66,K13646
RP01092,0.685,2.4.1.14,K00696
RP14106,0.685,2.4.1.246,K13058
RP12311,0.669,3.2.1.67,K01213
RP01760,0.666,3.2.1.10 3.2.1.3,K01178 K01182 K01203 K12047
RP14222,0.630,2.4.1.283,K13550
RP09413,0.630,2.4.1.236,K13080
RP00666,0.628,2.4.1.274 3.2.1.23,K01190 K07553 K12309
RP00725,0.628,3.2.1.22,K01189 K07406 K07407
RP11796,0.623,2.4.1.236,K13080
RP14230,0.622,2.4.2.49,K13554
RP13374,0.619,3.2.1.165,K15855
RP05111,0.595,2.4.1.-,K14367
RP05618,0.591,,K16009
RP11963,0.588,2.4.1.226,K00747 K03419 K13499 K13500
RP03248,0.584,3.2.1.26,K01193
RP11506,0.584,2.4.1.236,K13080
RP11150,0.583,3.2.1.15,K01184
RP14234,0.580,2.4.1.285,K13556
RP09294,0.578,3.2.1.105,K12693
RP05611,0.570,,K15989 K15990
RP00205,0.568,2.4.1.10 3.2.1.10 3.2.1.20 3.2.1.48,K00692 K01182 K01187 K01203 K12047 K12316 K12317 K15922
RP09311,0.566,2.4.1.236,K13080
RP11892,0.559,2.4.1.297,K12933
RP14599,0.543,,K15934
RP11748,0.540,2.4.1.297,K12933
RP16203,0.533,2.4.2.51,K17193
RP01890,0.532,3.2.1.15 3.2.1.67,K01184 K01213
RP11895,0.521,2.4.1.297,K12933
RP05615,0.518,2.4.1.-,K15994
RP16205,0.514,2.4.2.51,K17193
RP09495,0.510,2.4.1.-,K15961
RP09523,0.505,2.4.1.-,K15939
RP16207,0.496,2.4.2.51,K17193
RP04319,0.494,2.4.1.17,K00699
RP05640,0.486,2.4.1.-,K14375
RP05649,0.485,2.4.1.-,K14375
RP09496,0.483,,K15960 K15962
RP15081,0.482,2.4.1.254,K12937
RP09517,0.477,2.4.1.-,K15939
RP05643,0.476,2.4.1.-,K14375
RP05645,0.475,2.4.1.-,K14375
RP05651,0.475,2.4.1.-,K14375
RP05653,0.475,2.4.1.-,K14375
RP11915,0.472,2.4.1.254,K12937
RP05623,0.470,2.4.1.277,K16004 K16005
RP09520,0.470,,K15938
RP05647,0.464,2.4.1.-,K14375
RP05655,0.463,2.4.1.-,K14375
RP14578,0.463,2.4.1.-,K15948
RP03852,0.462,2.4.2.27,K04341
RP11978,0.461,2.4.1.202,K13227 K13228
RP09519,0.460,,K15937
RP14600,0.458,,K15935
RP05114,0.457,2.4.1.278,K14368 K15997
RP02259,0.455,2.4.1.17,K00699
RP03988,0.447,2.4.1.17,K00699
RP02244,0.447,2.4.1.17,K00699
RP05624,0.445,2.4.1.277,K16004 K16005
RP05621,0.444,,K16010
RP15162,0.443,2.4.2.52,K05966 K13927 K13930
RP00773,0.441,3.2.1.23,K12309
RP05642,0.440,2.4.1.-,K14375
RP09458,0.439,2.4.1.-,K14375
RP12693,0.439,2.4.1.17,K00699
RP12695,0.439,2.4.1.17,K00699
RP05646,0.436,2.4.1.-,K14375
RP09460,0.435,2.4.1.-,K14375
RP14603,0.429,2.4.1.-,K15965
RP05644,0.426,2.4.1.-,K14375
RP09459,0.425,2.4.1.-,K14375
RP09494,0.421,2.4.1.-,K15960
RP09514,0.420,,K15938
RP05648,0.420,2.4.1.-,K14375
RP09461,0.419,2.4.1.-,K14375
RP00377,0.391,4.2.2.2 4.2.2.9,K01728
RP03641,0.389,3.2.1.18,K01186 K12357
RP05661,0.383,,K15998
RP11646,0.368,2.4.1.276,K14596
RP09521,0.361,,K15937 K15938 K15939
RP05136,0.358,3.2.1.22,K01189 K07406 K07407
RP09131,0.358,3.2.1.125,K12695
RP01436,0.349,3.2.1.22,K01189 K07406 K07407
RP01306,0.349,3.2.1.22,K01189 K07406 K07407
RP12713,0.349,3.2.1.10,K01182 K01203
RP06028,0.347,3.2.1.21,K01188 K05349 K05350
RP09518,0.341,,K15938 K15939
RP00261,0.335,2.4.1.241 3.2.1.22,K01189 K07406 K07407 K09480
RP02661,0.332,3.2.1.117 3.2.1.21,K01188 K05349 K05350 K13031
RP04731,0.329,3.2.1.86,K01223
RP04728,0.325,3.2.1.86,K01222
RP05613,0.325,,K15993
RP00448,0.318,3.2.1.22,K01189 K07406 K07407
RP15238,0.315,2.4.1.252,K13657
RP13324,0.312,4.2.1.126,K07106
RP12474,0.311,2.4.1.175,K00747 K13499 K13500
RP01540,0.303,3.2.1.31,K01195 K14756
RP13408,0.303,2.4.1.17,K00699
