RPAIR,Score,EC,KO
RP14983,0.411,1.14.13.121,K15472
RP15863,0.408,1.14.13.121,K15472
RP05626,0.354,,K16006
RP02755,0.347,1.14.14.1,K07408
RP09455,0.346,1.14.13.77,K12922
RP09453,0.343,1.14.99.37,K14039
RP03434,0.341,1.14.11.11,K12692
RP04871,0.336,1.14.-.-,K14366
RP05627,0.336,,K16006
RP02148,0.334,1.14.14.1,K07408 K07424
RP15511,0.312,1.14.13.145,K16084
RP15674,0.310,,K16037
RP11153,0.305,,K10722
RP03022,0.297,1.14.14.1,K07408 K07424
RP05617,0.293,,K16008
RP11410,0.290,,K10722
RP15861,0.289,1.14.13.106,K12645
RP14616,0.289,1.14.13.106,K12645
RP14619,0.289,1.14.13.106,K12645
RP11352,0.288,1.14.13.154,K14370
RP05628,0.287,1.14.-.-,K14372
RP05630,0.287,1.14.-.-,K14372
RP05629,0.286,1.14.-.-,K14372
RP11681,0.286,1.14.13.154,K14370
RP05631,0.286,1.14.-.-,K14372
RP15491,0.286,1.14.13.143,K16083
RP15487,0.274,1.3.99.4,K05898
RP09456,0.252,1.14.13.76,K12924
RP05517,0.244,,K12917
RP03364,0.235,1.14.11.14,K12692
RP04467,0.231,1.14.99.9,K00512
RP03406,0.231,1.14.99.9,K00512
RP02044,0.229,1.14.99.9,K00512
RP02240,0.228,1.14.13.47,K15089
RP04468,0.206,1.14.99.9,K00512
RP04449,0.206,1.14.13.95,K07431
RP14150,0.206,1.14.13.17,K00489
RP05435,0.204,1.14.11.20,K12697
RP14138,0.204,1.14.13.100,K07430
RP11947,0.203,1.14.13.100,K07430
RP11916,0.203,1.14.13.99,K07439
RP01527,0.203,1.14.13.17,K00489
RP12007,0.203,1.14.-.-,K09590 K12640
RP13726,0.203,1.14.13.100,K07430
RP04760,0.203,1.14.13.100 1.14.13.17 1.14.13.60,K00489 K07430
RP11994,0.202,1.14.-.-,K09590 K12640
RP11998,0.202,1.14.-.-,K09590 K12640
RP04466,0.201,1.14.15.4,K00497 K07433
RP02946,0.201,1.14.15.4,K00497 K07433
RP02547,0.201,1.14.15.4,K00497 K07433
RP11996,0.201,1.14.-.-,K09590 K12640
RP02047,0.200,1.14.15.4,K00497 K07433
RP03469,0.200,1.14.15.4,K00497 K07433
RP02439,0.200,1.14.15.4,K00497 K07433
RP02239,0.199,1.14.13.48,K07381 K14732
RP02493,0.195,4.2.1.44,K03335
RP11658,0.192,4.2.1.100,K07537
RP11603,0.186,1.14.13.83,K02229
RP09452,0.185,1.14.13.79,K04123
RP09451,0.183,1.14.13.79,K04123
RP11657,0.182,1.14.11.-,K10674
RP05266,0.181,,K03335
RP14140,0.179,1.14.15.4,K00497
RP14593,0.179,,K15927
RP09446,0.172,1.14.11.13,K04125
RP09443,0.171,1.14.11.13,K04125
RP02682,0.170,1.14.11.13,K04125
RP09263,0.170,1.14.11.13,K04125
RP12997,0.169,1.14.14.1,K07408 K07409 K07411 K07412 K07413 K07424
RP02750,0.169,4.2.1.10,K03785 K03786 K13830 K13832
RP05557,0.165,1.14.13.107,K14733
RP14685,0.165,1.14.13.107,K14733
RP05592,0.165,,K13314 K16435
RP03220,0.164,1.14.13.13,K07438
RP09442,0.163,1.14.11.15,K04124
RP15616,0.160,5.3.3.1,K01822
RP09096,0.160,,K16021
RP15717,0.157,1.14.13.-,K03184 K06134
RP09445,0.156,,K12920
RP00671,0.155,1.17.1.1,K00523 K12452
RP14197,0.149,,K13328
RP10265,0.145,3.3.2.9,K01253
RP10262,0.145,3.3.2.9,K01253
RP05586,0.143,4.2.3.108,K07385
RP05373,0.143,3.3.2.8,K10533
RP14687,0.142,3.3.2.8,K10533
RP11738,0.137,1.14.99.45,K09837
RP11567,0.134,1.14.99.45,K09837
RP14116,0.134,2.6.1.86,K13063
RP11645,0.133,,K09836
RP11566,0.133,1.14.13.129,K02294
RP11743,0.132,,K09836
RP11747,0.131,1.14.13.129,K02294
RP11641,0.130,1.14.13.129,K02294
RP11742,0.128,,K09836
RP11367,0.127,1.14.13.129,K02294
RP11732,0.127,,K09836
RP12052,0.126,,K09836
RP12053,0.125,1.14.13.129,K02294
RP11368,0.125,,K02292 K09836
