EC,Weighted Score,Observed Freq,Reactions
1.3.1,159.9,50,R01171 R01278 R01403 R01404 R01689 ... (43 reactions)
1.3.99,48.8,28,R01175 R01279 R02979 R03777 R03857 ... (20 reactions)
1.3.8,33.8,23,R01171 R01175 R01178 R01279 R03777 ... (13 reactions)
5.3.3,16.8,5,R02244 R04100 R04756 R07639 R07872
1.3.3,15.2,12,R01175 R01279 R03777 R03857 R03990 ... (12 reactions)
2.3.1,13.0,13,R04429 R04724 R04725 R04955 R04956 ... (13 reactions)
1.14.11,8.2,,
1.3.5,7.5,7,R04786 R04787 R04798 R04800 R07511
1.3.-,5.4,,
1.14.21,4.7,,
1.17.99,2.0,,
1.1.-,1.5,,
1.1.1,1.5,,
1.14.99,1.0,1,R07517
1.14.-,1.0,1,R06519
5.2.1,1.0,1,R03627
5.5.1,0.9,,
1.14.14,0.9,,
1.14.12,0.9,,
1.3.7,0.8,,
1.3.98,0.5,,
