EC,Weighted Score,Observed Freq,Reactions
2.5.1,172.2,19,R00018 R01919 R01920 R02869 R03066 ... (14 reactions)
1.5.3,13.6,12,R01914 R03899 R08702 R09074 R09075 ... (9 reactions)
1.4.3,6.8,6,R02919 R04894 R05862 R05863 R08347
1.5.1,4.5,4,R02313 R02315 R09079 R09080
4.2.1,4.2,1,R03359
4.4.1,3.6,,
1.5.99,3.4,3,R01914 R01915 R05708
2.4.1,3.4,,
1.14.15,2.3,2,R05565 R05567
4.1.99,1.7,,
2.3.1,1.6,,
1.14.14,1.1,1,R08287
4.1.3,1.1,,
1.14.11,1.0,1,R09785
4.3.3,1.0,1,R05381
1.21.4,1.0,1,R07227
3.5.-,1.0,1,R08125
3.5.99,0.9,,
2.1.2,0.8,,
3.3.1,0.8,,
3.5.1,0.8,,
3.2.1,0.7,,
2.4.2,0.6,,
3.3.2,0.5,,
3.1.1,0.2,,
