Reaction ID,SelenzymeRF
R00357,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.1.3.15;1.14.18.1
R10835,2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.245;2.4.1.15;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.266;2.4.1.202;2.4.1.22;2.4.1.-|2.4.1.284;2.4.1.85;2.4.1.173
R10532,4.2.1.140|4.2.1.39|4.2.1.82;4.2.1.68|4.2.1.7;4.2.1.8;4.2.1.146|4.2.1.68;4.2.1.140|4.2.1.39|4.2.1.6
R12161,2.5.1.78
R08869,2.7.8.23;2.3.1.180
R02360,2.4.1.43;2.4.1.17;3.2.1.15|3.2.1.67
R13099,2.5.1.41;2.5.1.62;2.5.1.89;2.5.1.31;2.5.1.81;1.3.1.83;2.5.1.-|2.5.1.32
R10446,1.14.11.13;1.13.11.15;1.14.13.1;4.1.1.68;4.1.1.77;1.13.11.1;1.14.14.36;4.1.1.55;1.13.11.16;4.1.1.98
R02161,1.6.5.2
R10966,2.5.1.121;2.5.1.34;2.5.1.39
R13401,2.7.1.40;3.6.1.5;1.2.1.38|2.3.1.1|2.6.1.11|2.7.2.8
R07532,4.2.1.131;2.1.1.210;5.5.1.-|5.5.1.19;5.5.1.-|5.5.1.18;1.3.99.27;1.14.15.9;1.3.5.6;1.3.5.6|1.3.99.26|1.3.99.30|1.3.99.31;1.3.5.6|1.3.99.26|1.3.99.28|1.3.99.30;5.2.1.12;5.2.1.-|5.2.1.13;1.3.5.5;1.3.8.2;2.5.1.150;1.3.99.29;2.4.1.8|3.2.1.20|4.2.1.131
R08891,2.6.1.-|2.6.1.101;2.6.1.-|2.6.1.100;2.6.1.50;1.1.1.-|1.1.1.329;2.6.1.104;4.3.1.15;2.6.1.-|2.6.1.106;2.6.1.15;4.2.1.40;4.2.1.42;4.2.1.158;4.2.1.156;2.6.1.-|2.6.1.34;4.4.1.13;2.6.1.16
R01627,1.13.11.1;1.13.11.15;1.13.11.-|1.13.11.3;1.13.11.2;1.3.1.25;1.13.11.57|1.13.11.8;1.3.1.87;1.14.12.-|1.14.12.26;1.3.1.29;1.13.11.-|1.13.11.16|1.13.11.2|1.13.11.39
R13286,1.14.14.1
R04321,2.7.8.2;2.3.1.149;3.1.1.47;2.7.8.41;3.6.1.26;2.7.8.24;2.3.1.23|2.3.1.63;2.4.99.3;3.1.1.4
R00626,3.1.3.1|3.1.3.2
R08510,
R00087,3.6.1.5;2.7.1.20|2.7.1.74;6.3.2.39;6.3.2.14;3.6.1.21;2.7.4.3
R02925,1.14.14.34|1.14.14.5|1.14.14.ah;1.1.1.12|1.1.1.14;1.1.1.15;1.1.1.16;1.1.99.3;1.1.1.289;1.3.8.2;1.1.5.3|1.1.99.5
R05136,4.1.2.45|4.2.1.-;4.1.2.34;2.7.3.9;4.1.3.27
R10243,2.1.1.258|2.3.1.169;1.2.1.18;2.3.1.180
R00715,1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;2.5.1.46
R07475,2.5.1.-|2.5.1.31;2.5.1.-|2.5.1.33;2.5.1.-|2.5.1.30;2.5.1.87|2.5.1.91;2.5.1.81;2.5.1.89;2.5.1.142;2.5.1.88;2.5.1.83;2.5.1.20;2.5.1.86;2.5.1.-|2.5.1.84|2.5.1.85;2.5.1.142|2.5.1.92;2.5.1.10
R04769,4.2.99.24|4.2.99.d;2.5.1.39
R08208,
R00499,1.8.4.2;1.8.1.12;3.1.2.6
R02750,2.7.1.15|2.7.1.229;2.7.1.40;5.4.2|5.4.2.2|5.4.2.7
R04264,1.1.1.181;1.1.1.145|5.3.3.1;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.6.5.4;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
R04026,6.3.2.2|6.3.2.3
R11382,1.14.13.222;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.223;1.14.12.10;1.14.13.87;1.14.13.26;1.6.5.4;1.14.13.246;1.14.18.9;1.14.13.25
R10537,3.6.1.5;3.1.4.16;6.5.1.5;3.1.3.32;6.5.1.4;4.6.1.2
R12147,1.13.11.86;1.13.11.1;1.13.11.-|1.13.11.3;1.14.18.1;1.13.11.-|1.13.11.64;1.13.11.4;1.13.11.37;1.13.11.16;1.10.3|1.10.3.-|1.10.3.1|1.14.18.1
R10500,2.3.1.169;2.3.1.180
R12352,3.6.1.5;3.5.1.1;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
R01490,1.6.5.4;1.6.3.2;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.2.1.19|1.2.1.3|1.2.1.4|1.2.1.5|1.2.1.7
R12244,1.14.99.46;1.13.11.39;2.3.1.76;2.4.99.20;1.13.11.2;1.13.11.1;1.13.11.-|1.13.11.16|1.13.11.2|1.13.11.39
R03887,3.5.99.5;5.3.2.-|5.3.2.6;3.5.99.11;3.7.1.9;4.1.1.77;4.4.1.1|4.4.1.11|4.4.1.2;3.7.1.8;4.2.1.132|4.2.1.80;4.1.1.68;5.3.3.17;1.1.5.4
R09497,1.7.6.1;1.9.6.1;1.7.5.1;1.7.7.2;1.14.13.210;1.7.1.1|1.7.1.2
R05274,1.14.13.82;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.69;1.14.12.-|1.14.12.10;1.14.13.223;1.14.13.84;1.14.13.87;1.6.5.4;1.14.13.2|1.14.13.33;1.14.13.25;1.14.13.113
R02590,2.7.7.15;2.7.7.14|2.7.7.an;2.7.7.91;3.6.1.26;2.7.8.41;2.7.7.2;3.6.1.-|3.6.1.19
R05691,1.1.1.270;1.6.3.2;1.11.1.1|1.11.1.2;1.1.1.170;1.12.1.3|1.12.1.5;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
R01320,2.1.1.16|2.1.1.71;2.1.1.17;2.1.1.354|2.1.1.355|2.1.1.59|2.1.1.60;2.1.1.80;2.1.1.77
R05499,1.21.99.5|1.97.1.8;1.14.12.-|1.14.12.26;1.14.14.172;1.14.14.173;1.3.1.119|1.3.1.19|1.3.1.an;1.13.11.-|1.13.11.1|1.13.11.M6;2.5.1.18
R01962,1.1.3.10;1.1.99.18;1.1.3.41;1.4.3.13;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.1.3.15
R02815,3.5.4.15;6.3.4.1|6.3.5.2
R11739,1.14.14.45;1.14.14.43;2.5.1.18
R12304,4.1.1.17;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
R00742,6.4.1.2;6.4.1.5;2.7.1.40
R01161,2.6.1.38;2.6.1.1;2.6.1.27;2.6.1.1|2.6.1.27|2.6.1.42|2.6.1.5|2.6.1.57|2.6.1.9
R09588,6.1.2.1|6.3.2.4
R02929,2.7.1.40;3.6.1.5;3.1.2.6
R03429,2.7.1.159;3.1.3.36;2.7.1.127|2.7.1.159;2.7.1.40
R13241,3.6.1.5;6.3.2.14;1.10.3.1;2.7.4.3
R02667,2.1.1.222
