Reaction Name,E-zyme1,E-zyme2
R00001,,
R00026,2.4.1;3.2.1;2.4.2;3.1.4;4.2.2;5.1.3;6.5.1;2.4.99;6.1.1;4.2.1;3.1.3;3.6.1;2.7.8;3.1.1,3.2.1;3.2.1;3.2.1;3.2.1;3.2.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;3.2.1;3.2.1;3.2.1;3.2.1;2.4.1;2.4.1;3.2.1;2.4.1;3.2.1;3.2.1;3.2.1;2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.2;2.4.1;3.2.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;4.2.2;2.4.1;2.4.1;2.4.1;3.2.1;3.2.1;3.2.1;3.2.1;3.2.1;2.4.1;3.2.1;3.2.1;2.4.2;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1
R00055,1.1.3;1.1.1;1.1.99;1.14.13;1.3.3;1.3.2;1.10.3,1.1.3;1.1.3;1.1.3;1.14.15;1.1.1;1.14.14;1.14.14
R00114,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00213,4.3.1;3.5.1,4.4.1;4.4.1;1.4.99;1.4.1;2.6.1;4.4.1;2.6.1;2.6.1;4.4.1;1.4.3;1.4.3;4.4.1;4.4.1;4.3.1;4.3.1;4.4.1;1.4.3;1.4.3;1.4.1;2.6.1;1.4.1;2.6.1;1.4.1;2.5.1;1.4.1;2.6.1;2.6.1;4.4.1;4.4.1;4.4.1;1.4.1;4.4.1;4.3.1;4.4.1;4.4.1;1.4.3;2.6.1;4.4.1;4.4.1;1.5.1;1.4.99;1.4.1;1.5.1;1.4.1;4.4.1;2.6.1
R00265,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00325,4.1.3;2.3.3;4.2.99;2.3.1;2.4.2;4.1.1;3.3.2;4.1.2,4.1.3;4.1.3;4.1.3;4.1.3;4.1.3;4.1.2;4.1.2;4.1.3;4.1.3;2.1.2;4.1.3
R00376,5.4.2,3.1.5;2.7.7;3.1.3;2.7.7;2.7.7;2.7.7;2.7.7;2.7.6;2.7.7;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.6;3.1.7;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.6.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.4.1;3.1.3;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;3.1.3;2.7.1;3.1.3;2.7.1;2.7.1;3.1.3;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.6;3.1.3;2.7.1;2.7.8;2.7.1;2.7.1;3.1.3;3.1.3;3.1.3;3.1.3;2.7.1;3.1.7;3.1.3
R00421,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00424,,
R00430,,
R00431,,
R00434,4.6.1,4.6.1;4.6.1;3.1.4;3.1.4;3.1.4;2.7.7
R00439,5.1.3;1.1.1;3.2.2;2.4.1;2.6.1;5.1.99;2.1.1;3.8.1;2.4.2;2.6.99,5.1.3;4.2.2;5.1.3;5.1.3;5.1.3;5.1.3;1.1.1;1.1.1;5.1.3;5.3.99;5.1.3;5.1.3;5.1.3;5.3.1;5.1.3;1.1.1;4.2.3;4.2.3;5.3.1;5.3.1;5.3.1;5.3.1;5.1.3;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;4.1.99;4.2.1;1.1.1;5.1.3;5.3.3;4.2.1;4.2.1;5.1.3;4.2.1;5.4.4;1.1.3;1.3.2;4.2.1;2.1.1;4.2.1;4.2.1;4.2.1;4.3.1;4.2.99;1.21.-;1.14.20;4.2.3;4.2.3;4.2.3;1.1.3;4.2.3;1.3.3;5.4.99;2.2.1;5.3.1;1.14.14;1.14.11;2.6.1;5.3.3;4.5.1;1.14.11;4.2.1;1.3.1;1.1.1;4.1.1;4.2.1;4.1.1;1.3.-;4.2.1;1.3.1;4.5.1;1.14.14;1.14.14;1.10.3;1.14.13;1.14.11;1.3.99;4.2.3
R00449,1.13.12;2.1.1;1.14.13;1.14.14;1.11.1;1.14.99,1.11.1;1.13.12
