RPAIR,Score,EC,KO
RP04606,1.000,3.2.1.21,K01188 K05349 K05350
RP00723,0.841,2.4.1.111,K12356
RP00476,0.814,2.4.1.111,K12356
RP13802,0.766,2.4.1.-,K15776
RP04731,0.753,3.2.1.86,K01223
RP13880,0.735,2.4.1.-,K13235
RP04728,0.735,3.2.1.86,K01222
RP11816,0.712,2.4.1.170,K13263
RP11247,0.711,2.4.1.170,K13263
RP11825,0.709,2.4.1.170,K13263
RP11671,0.709,2.4.1.-,K13078
RP00700,0.705,2.4.1.111,K12356
RP13825,0.703,2.4.1.-,K15775
RP13813,0.700,2.4.1.-,K15774
RP09208,0.693,2.4.1.170,K13263
RP02612,0.690,2.4.1.170,K13263
RP11936,0.677,2.4.1.170,K13263
RP11822,0.663,2.4.1.170,K13263
RP13882,0.661,2.4.1.-,K13235
RP11617,0.648,2.4.1.-,K12938
RP16215,0.632,2.4.1.300,K17192
RP11758,0.629,2.4.1.298 2.4.1.299,K12338 K17194
RP09566,0.628,,K12717
RP09568,0.628,,K12711
RP09067,0.626,2.4.1.115,K12930
RP09359,0.613,2.4.1.91,K10757
RP09360,0.613,2.4.1.234,K13269
RP16161,0.607,2.4.1.300,K17192
RP09078,0.607,2.4.1.298 2.4.1.299,K12338 K17194
RP09068,0.600,2.4.1.115,K12930
RP14598,0.594,,K15931
RP02008,0.593,2.4.1.91,K10757
RP15389,0.591,2.4.1.-,K15787
RP12148,0.587,2.4.1.238 2.4.1.249,K12939
RP11896,0.580,2.4.1.298 2.4.1.299,K12338 K17194
RP16217,0.577,2.4.1.300,K17192
RP02149,0.572,2.4.1.17,K00699
RP02213,0.572,2.4.1.-,K15787
RP11906,0.570,2.4.1.-,K15929
RP09072,0.569,2.4.1.115,K12930
RP11752,0.566,2.4.1.-,K12938
RP02756,0.561,2.4.1.17,K00699
RP09092,0.554,2.4.1.298,K12338
RP09331,0.546,2.4.1.17,K00699
RP12697,0.541,2.4.1.17 3.2.1.31,K00699 K01195
RP09332,0.535,2.4.1.17,K00699
RP12699,0.489,2.4.1.17,K00699
RP12153,0.485,2.4.1.238,K12939
RP09326,0.449,3.2.1.31,K01195
RP06028,0.444,3.2.1.21,K01188 K05349 K05350
RP12155,0.440,2.4.1.238,K12939
RP14601,0.420,2.4.1.-,K15964
RP00448,0.398,3.2.1.22,K01189 K07406 K07407
RP02413,0.371,2.4.1.157,K03429
RP02415,0.371,2.4.1.46,K03715
RP00806,0.362,2.4.1.178 2.4.1.63 2.4.1.85 3.2.1.21,K01188 K05349 K05350 K13030
RP03237,0.362,2.4.1.63 3.2.1.21,K01188 K05349 K05350 K16266
RP02308,0.362,3.2.1.118 3.2.1.21,K01188 K05349 K05350 K13032
RP01980,0.358,2.4.1.203,K13492
RP11953,0.358,2.4.1.215,K13495
RP15821,0.357,3.2.1.21,K01188 K05349 K05350 K16266
RP09572,0.357,,K12726 K12727
RP02608,0.356,3.2.1.22,K01189 K07406 K07407
RP13408,0.355,2.4.1.17,K00699
RP01540,0.355,3.2.1.31,K01195 K14756
RP09308,0.350,2.4.1.85 3.2.1.21,K01188 K05349 K05350 K13030
RP11359,0.344,2.4.1.-,K13496
RP02999,0.342,2.4.1.50,K11703 K13646
RP05356,0.338,2.4.1.217,K05947
RP02661,0.334,3.2.1.117 3.2.1.21,K01188 K05349 K05350 K13031
RP11978,0.331,2.4.1.202,K13227 K13228
RP15154,0.309,3.2.1.169,K15719
RP11200,0.308,,K06119
RP01306,0.307,3.2.1.22,K01189 K07406 K07407
RP01436,0.307,3.2.1.22,K01189 K07406 K07407
RP12713,0.307,3.2.1.10,K01182 K01203
RP01981,0.305,2.4.2.40,K13494
RP09294,0.305,3.2.1.105,K12693
RP00261,0.303,2.4.1.241 3.2.1.22,K01189 K07406 K07407 K09480
