Reaction ID,BridgIT
R06382,
R02869,2.5.1.23;1.3.1.96;4.4.1.20;2.4.1.332;2.1.3.12;2.4.2.27
R10000,
R00045,
R04662,2.4.1.145;2.4.2.34;2.4.99.18
R02353,
R06804,2.4.1.91;2.4.2.56;2.4.99.18
R09628,3.1.7.6;3.1.5.1;3.1.3.74;3.6.1.7;3.2.1.42;2.4.1.17;4.2.3.1;5.1.3.14;3.1.4.46;3.11.1.1;3.1.1.59;4.6.1.13;3.1.2.28;3.7.1.8;3.1.6.1;2.3.1.85;4.2.1.155
R09672,3.2.1.169;3.1.1.93;3.2.2.11;4.3.3.5
R10253,2.3.1.224;2.3.3.9;6.2.1.1;2.1.3.7;2.3.2.30;6.1.2.2;1.2.1.95;6.3.1.20;6.3.4.10;2.1.2.5
R04249,
R11784,2.7.7.96;2.7.1.86;2.7.2.4;2.7.3.3;2.7.14.1;6.3.5.5;2.7.11.7;2.7.4.26;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.28;2.7.99.1
R11899,4.4.1.23;4.5.1.2
R07672,2.4.2.22;2.4.1.118;2.4.99.18
R03275,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239
R02433,2.6.1.1;2.6.99.2;2.7.8.29
R05748,
R07619,
R06310,2.3.1.166;2.1.3.12;2.3.3.17;2.3.2.19;6.2.1.11;6.1.2.2;2.1.2.13;1.2.1.95;6.3.1.20;6.3.4.10
R03407,
R04459,2.7.8.42;2.7.1.163;2.7.7.47;2.7.6.1;2.7.11.7;2.7.99.1;2.7.2.13;2.7.4.24;6.3.5.5;2.7.10.1;2.7.12.1;2.7.3.2;2.7.14.1
R04564,1.13.99.1;1.14.13.179;1.13.11.25;1.13.12.2
R04682,
R13232,2.5.1.39;1.3.1.96;2.4.1.192;2.4.2.34;2.1.3.12;4.4.1.20
R01418,3.5.3.11;3.5.1.53;3.5.2.2;3.4.13.4;3.5.5.4;4.2.1.48;2.3.2.2;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.4.1;3.4.11.1;1.2.7.12;3.4.14.13;3.4.17.21;3.4.19.13;3.8.1.8;3.1.1.1;3.13.1.6;2.1.2.3;4.3.2.4;3.5.99.6
R02003,2.5.1.20;1.3.1.96;2.4.1.137;2.4.2.34;2.1.3.12;4.4.1.20
R09227,1.14.12.7;1.14.13.227;1.14.15.3;1.14.14.1;1.14.18.1;1.2.3.9;1.14.99.2;1.14.21.11;1.14.11.40;1.14.16.4;1.10.3.4;1.14.19.17
R07190,
R10622,3.1.3.10;3.1.4.48;3.2.1.42;2.4.1.17;5.1.3.14;4.2.3.1;3.1.1.93;3.6.1.57;4.6.1.13;3.1.5.1;3.1.7.3;3.1.6.3;3.11.1.3;3.1.2.31;2.3.1.85;3.7.1.8;4.2.1.155
R12425,3.5.1.99;3.5.2.11;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.5.4;4.2.1.48;2.3.2.2;3.4.19.13;3.4.14.13;3.4.13.22;3.4.11.1;3.4.17.21;3.1.1.1;3.5.3.11;3.5.4.1;3.13.1.6;1.2.7.12;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4
R03197,3.1.1.82;4.1.1.48;4.1.2.8;4.2.1.20;4.1.99.11;4.1.3.17;1.1.1.286;4.2.99.21;2.1.2.11;1.3.8.6
R05595,1.11.1.8
R06400,1.14.13.239;1.13.11.52;1.13.99.1;1.13.12.9
R05436,
R04209,4.1.1.21;4.1.2.19;4.1.99.12;1.1.1.262;4.2.99.21;4.1.3.6;4.2.1.20;2.1.2.11;1.3.8.6;3.1.1.82
R02887,3.2.1.74;3.1.1.93;3.2.2.11;4.3.3.5
