Reaction ID,BridgIT
R03123,
R09929,
R07336,2.4.1.226;2.4.2.34;2.4.99.7
R01252,1.14.11.2;1.14.18.5;1.14.15.3;1.14.19.32;1.10.3.3;1.14.13.168;1.14.12.19;1.14.14.1;1.2.3.9;1.14.21.11;1.14.99.46;1.14.16.7
R12785,
R01281,2.3.1.50;2.3.3.17;6.2.1.11;2.3.2.14;1.2.1.95;6.3.1.20;6.3.4.10;6.1.2.2;2.1.3.12;2.1.2.13
R10356,1.14.13.239;1.13.11.25;1.13.99.1;1.13.12.23
R01943,6.2.1.12;3.1.2.28;4.2.1.155;2.3.1.85
R02295,
R10451,2.1.1.277;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2
R12658,
R07498,
R08597,2.4.2.9;2.4.1.71;2.4.99.18
R00331,2.7.4.6;2.7.1.148;2.7.7.53;2.7.3.8;2.7.2.6;6.3.5.5;2.7.11.15;2.7.14.1;2.7.10.1;2.7.12.1;2.7.6.1;2.7.8.38;2.7.99.1
R06757,2.5.1.122;1.3.1.96;2.4.1.85;2.1.3.12;2.4.2.34;4.4.1.20
R11537,
R08533,2.4.1.126;2.4.2.9;2.4.99.18
R00656,4.1.1.57;1.1.1.381;4.2.1.155;4.1.2.35;4.1.3.39;1.3.8.6;2.1.2.11;4.1.99.2;4.2.99.21;3.1.1.82
R11798,1.14.13.128;1.13.99.1;1.13.12.1;1.13.11.54
R04359,2.4.1.193;2.4.2.9;2.4.99.18
R11026,
R09757,2.4.1.271;2.4.2.9;2.4.99.18
R02003,2.5.1.20;1.3.1.96;2.4.1.137;2.4.2.34;2.1.3.12;4.4.1.20
R08396,3.1.7.6;3.1.5.1;3.1.3.74;3.6.1.7;4.2.3.1;3.2.1.42;3.1.4.46;2.4.1.17;5.1.3.14;3.11.1.1;3.1.1.35;4.6.1.13;3.7.1.8;3.1.2.28;3.1.6.1;2.3.1.85;4.2.1.155
R05312,
R01730,
